[803478820(TR: 15.41174, TS: 14.40818) -> {1690660220=3}]
[1965016978(TR: 15.41370, TS: 14.45794) -> {1690660220=2}]
[1192465255(TR: 15.41381, TS: 14.45862) -> {1690660220=1}]
[1558538773(TR: 15.41474, TS: 14.41389) -> {1690660220=2}]
[1031961789(TR: 15.41481, TS: 14.45677) -> {1690660220=2}]
[838884116(TR: 15.41481, TS: 14.45677) -> {1690660220=2}]
[967322001(TR: 15.42558, TS: 14.51496) -> {1690660220=1}]
[1315588467(TR: 15.43326, TS: 14.52257) -> {1690660220=1}]
[1621336983(TR: 15.43360, TS: 14.47590) -> {1690660220=3}]
[1347128428(TR: 15.45345, TS: 14.38868) -> {1690660220=3}]
