[1192465255(TR: 15.41381, TS: 14.45862) -> {1690660220=1}]
[413545825(TR: 15.41522, TS: 14.45902) -> {1690660220=1}]
[1504324332(TR: 15.41562, TS: 14.41444) -> {1690660220=1}]
[1539484048(TR: 15.43426, TS: 14.37920) -> {1690660220=2}]
[1088645045(TR: 15.44240, TS: 14.42065) -> {1690660220=2}]
[464542821(TR: 15.44550, TS: 14.49299) -> {1690660220=2}]
[848588623(TR: 15.45753, TS: 14.32487) -> {1690660220=3}]
[2085932708(TR: 15.48852, TS: 14.41003) -> {1690660220=1}]
[659673172(TR: 15.50761, TS: 14.38237) -> {1690660220=2}]
[1050403759(TR: 15.60263, TS: 14.48050) -> {1690660220=2}]
