[1203913495(TR: 15.44438, TS: 14.38850) -> {1690660220=1}]
[515204555(TR: 15.49310, TS: 14.36995) -> {1690660220=1}]
[2096342841(TR: 15.61976, TS: 14.43156) -> {1690660220=1}]
[1737925705(TR: 15.73756, TS: 14.52574) -> {1690660220=1}]
[457203813(TR: 15.81067, TS: 14.55091) -> {1690660220=3}]
[1313821409(TR: 15.82003, TS: 14.55659) -> {1690660220=4}]
[803536510(TR: 15.83798, TS: 14.57683) -> {1690660220=2}]
[2105713447(TR: 15.84283, TS: 14.58358) -> {1690660220=1}]
[1700378554(TR: 15.96152, TS: 14.66558) -> {1690660220=2}]
[1370831274(TR: 16.14478, TS: 14.78572) -> {1690660220=2}]
