[396429548(TR: 15.32340, TS: 14.29507) -> {1080600537=1}]
[670326116(TR: 15.37790, TS: 14.32551) -> {1080600537=1}]
[127923263(TR: 15.43694, TS: 14.33182) -> {1080600537=1}]
[1164558703(TR: 15.43982, TS: 14.33342) -> {1080600537=4}]
[191362965(TR: 15.45032, TS: 14.33671) -> {1080600537=4}]
[337537149(TR: 15.45902, TS: 14.32841) -> {1080600537=2}]
[293865703(TR: 15.51410, TS: 14.40061) -> {1080600537=3}]
[451789057(TR: 15.51695, TS: 14.30184) -> {1080600537=1}]
[780293782(TR: 15.52553, TS: 14.37772) -> {1080600537=6}]
[1228443323(TR: 15.58700, TS: 14.40572) -> {1080600537=3}]
