[545920837(TR: 15.32280, TS: 14.26229) -> {1080600537=3}]
[1268911236(TR: 15.32340, TS: 14.29507) -> {1080600537=1}]
[1204194662(TR: 15.32345, TS: 14.29493) -> {1080600537=4}]
[66438(TR: 15.32345, TS: 14.29509) -> {1080600537=8}]
[2089720905(TR: 15.32377, TS: 14.29521) -> {1080600537=8}]
[206474402(TR: 15.32453, TS: 14.29551) -> {1080600537=7}]
[2131795440(TR: 15.34148, TS: 14.25611) -> {1080600537=7}]
[1996860583(TR: 15.38800, TS: 14.23568) -> {1080600537=1}]
[2145454810(TR: 15.39743, TS: 14.23441) -> {1080600537=7}]
[129151512(TR: 15.45385, TS: 14.31096) -> {1080600537=1}]
