[1268911236(TR: 15.32340, TS: 14.29507) -> {1080600537=1}]
[396429548(TR: 15.32340, TS: 14.29507) -> {1080600537=1}]
[1666921938(TR: 15.32345, TS: 14.29509) -> {1080600537=7}]
[1570849072(TR: 15.32453, TS: 14.29551) -> {1080600537=7}]
[1768608989(TR: 15.32669, TS: 14.29638) -> {1080600537=12}]
[846672728(TR: 15.32743, TS: 14.28591) -> {1080600537=3}]
[137917793(TR: 15.33967, TS: 14.26201) -> {1080600537=1}]
[1606884759(TR: 15.36287, TS: 14.25769) -> {1080600537=7}]
[1614079630(TR: 15.36888, TS: 14.30887) -> {1080600537=6}]
[1808987171(TR: 15.37874, TS: 14.45080) -> {1080600537=5}]
