[396429548(TR: 15.32340, TS: 14.29507) -> {1080600537=1}]
[280972994(TR: 15.32667, TS: 14.29637) -> {1080600537=6}]
[40068180(TR: 15.32805, TS: 14.29692) -> {1080600537=6}]
[1113079946(TR: 15.33271, TS: 14.29744) -> {1080600537=3}]
[71083113(TR: 15.35346, TS: 14.34406) -> {1080600537=5}]
[1847534450(TR: 15.37170, TS: 14.30989) -> {1080600537=3}]
[2001185569(TR: 15.37604, TS: 14.30620) -> {1080600537=2}]
[1998317907(TR: 15.38677, TS: 14.25204) -> {1080600537=1}]
[375723061(TR: 15.40195, TS: 14.32445) -> {1080600537=3}]
[32940344(TR: 15.48317, TS: 14.39667) -> {1080600537=4}]
