[38566654(TR: 10.90006, TS: 10.56615) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[108355716(TR: 10.90060, TS: 10.54233) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[33862562(TR: 10.90666, TS: 10.58038) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[421954085(TR: 10.91436, TS: 10.56421) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[2019328117(TR: 10.91945, TS: 10.45869) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[1434500794(TR: 10.92241, TS: 10.50234) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[1916706315(TR: 10.92705, TS: 10.57890) -> {880680199=142, 1689826712=63, 1119091505=63, 1998680479=63}]
[277684062(TR: 10.93344, TS: 10.57120) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[1604591043(TR: 10.93449, TS: 10.55291) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[1130848618(TR: 10.93511, TS: 10.57222) -> {880680199=294, 1689826712=131, 1119091505=115, 1998680479=114, 55964929=12, 1720288815=9, 1236336798=9, 1313328519=8, 1561859852=5, 869939083=3, 635680347=3, 426551051=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[331506386(TR: 10.94127, TS: 10.57677) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[353003623(TR: 10.94271, TS: 10.49462) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[1782523136(TR: 10.94495, TS: 10.52198) -> {880680199=142, 1689826712=63, 1119091505=63, 1998680479=63}]
[313226524(TR: 10.94609, TS: 10.59679) -> {880680199=142, 1689826712=63, 1119091505=63, 1998680479=63}]
[310329705(TR: 10.94888, TS: 10.67779) -> {880680199=192, 1689826712=84, 1119091505=84, 1998680479=84}]
[1416645137(TR: 10.94920, TS: 10.62952) -> {880680199=142, 1689826712=63, 1119091505=63, 1998680479=63}]
[1207198394(TR: 10.95430, TS: 10.72361) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[239008973(TR: 10.95764, TS: 10.47825) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[1713541226(TR: 10.96016, TS: 10.68657) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[810839677(TR: 10.96162, TS: 10.70338) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
