[381098763(TR: 10.90038, TS: 10.55942) -> {880680199=236, 1689826712=106, 1119091505=106, 1998680479=106}]
[723970097(TR: 10.90038, TS: 10.67178) -> {880680199=336, 1689826712=146, 1119091505=146, 1998680479=146}]
[944501511(TR: 10.90052, TS: 10.54828) -> {880680199=272, 1689826712=126, 1119091505=126, 1998680479=126}]
[727633478(TR: 10.90059, TS: 10.56549) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[85981029(TR: 10.90059, TS: 10.58785) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[434430103(TR: 10.90064, TS: 10.54338) -> {880680199=340, 1689826712=152, 1119091505=152, 1998680479=152}]
[2127625063(TR: 10.90064, TS: 10.54338) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[597767685(TR: 10.90089, TS: 10.49006) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[1501518283(TR: 10.90143, TS: 10.49323) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[1738668587(TR: 10.90157, TS: 10.47591) -> {880680199=335, 1689826712=149, 1119091505=141, 1998680479=141, 1720288815=3, 1236336798=3, 55964929=3, 1313328519=2, 426551051=2, 1561859852=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[517156475(TR: 10.90169, TS: 10.54285) -> {880680199=479, 1689826712=213, 1119091505=205, 1998680479=205, 1720288815=3, 1236336798=3, 55964929=3, 1313328519=2, 426551051=2, 1561859852=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[879243962(TR: 10.90172, TS: 10.54545) -> {880680199=406, 1689826712=179, 1119091505=179, 1998680479=179}]
[402294013(TR: 10.90178, TS: 10.58529) -> {880680199=216, 1689826712=96, 1119091505=96, 1998680479=96}]
