[685081525(TR: 9.54388, TS: 9.03380) -> {880680199=5553550, 1689826712=2496161, 1119091505=2487105, 1998680479=2486539, 55964929=6792, 1720288815=5094, 1236336798=5094, 1313328519=4528, 1561859852=2830, 869939083=1698, 635680347=1698, 426551051=1132, 2138915098=566, 338809723=566, 1509037246=566, 184418917=566}]
[1266702166(TR: 9.62110, TS: 9.08117) -> {880680199=1686068, 1689826712=757854, 1119091505=755070, 1998680479=754896, 55964929=2088, 1720288815=1566, 1236336798=1566, 1313328519=1392, 1561859852=870, 869939083=522, 635680347=522, 426551051=348, 2138915098=174, 338809723=174, 1509037246=174, 184418917=174}]
[76789840(TR: 9.62180, TS: 9.14862) -> {880680199=843034, 1689826712=378927, 1119091505=377535, 1998680479=377448, 55964929=1044, 1720288815=783, 1236336798=783, 1313328519=696, 1561859852=435, 869939083=261, 635680347=261, 426551051=174, 2138915098=87, 338809723=87, 1509037246=87, 184418917=87}]
[834715986(TR: 9.62219, TS: 9.30728) -> {880680199=8432180, 1689826712=3789304, 1119091505=3774952, 1998680479=3774055, 55964929=10764, 1720288815=8073, 1236336798=8073, 1313328519=7176, 1561859852=4485, 869939083=2691, 635680347=2691, 426551051=1794, 2138915098=897, 338809723=897, 1509037246=897, 184418917=897}]
[898381044(TR: 9.62254, TS: 9.25825) -> {880680199=19272192, 1689826712=8660330, 1119091505=8627338, 1998680479=8625276, 55964929=24744, 1720288815=18558, 1236336798=18558, 1313328519=16496, 1561859852=10310, 869939083=6186, 635680347=6186, 426551051=4124, 2138915098=2062, 338809723=2062, 1509037246=2062, 184418917=2062}]
[2088759284(TR: 9.62427, TS: 9.14775) -> {880680199=843034, 1689826712=378927, 1119091505=377535, 1998680479=377448, 55964929=1044, 1720288815=783, 1236336798=783, 1313328519=696, 1561859852=435, 869939083=261, 635680347=261, 426551051=174, 2138915098=87, 338809723=87, 1509037246=87, 184418917=87}]
[1706531091(TR: 9.62469, TS: 9.16926) -> {880680199=843034, 1689826712=378927, 1119091505=377535, 1998680479=377448, 55964929=1044, 1720288815=783, 1236336798=783, 1313328519=696, 1561859852=435, 869939083=261, 635680347=261, 426551051=174, 2138915098=87, 338809723=87, 1509037246=87, 184418917=87}]
[1388973734(TR: 9.62646, TS: 9.19436) -> {880680199=12621590, 1689826712=5672055, 1119091505=5650647, 1998680479=5649309, 55964929=16056, 1720288815=12042, 1236336798=12042, 1313328519=10704, 1561859852=6690, 869939083=4014, 635680347=4014, 426551051=2676, 2138915098=1338, 338809723=1338, 1509037246=1338, 184418917=1338}]
[885357224(TR: 9.62683, TS: 9.17021) -> {880680199=843034, 1689826712=378927, 1119091505=377535, 1998680479=377448, 55964929=1044, 1720288815=783, 1236336798=783, 1313328519=696, 1561859852=435, 869939083=261, 635680347=261, 426551051=174, 2138915098=87, 338809723=87, 1509037246=87, 184418917=87}]
[112569247(TR: 9.62693, TS: 9.17012) -> {880680199=6969482, 1689826712=3131953, 1119091505=3120049, 1998680479=3119305, 55964929=8928, 1720288815=6696, 1236336798=6696, 1313328519=5952, 1561859852=3720, 869939083=2232, 635680347=2232, 426551051=1488, 2138915098=744, 338809723=744, 1509037246=744, 184418917=744}]
[95876338(TR: 9.62694, TS: 9.17044) -> {880680199=3792432, 1689826712=1704716, 1119091505=1698556, 1998680479=1698171, 55964929=4620, 1720288815=3465, 1236336798=3465, 1313328519=3080, 1561859852=1925, 869939083=1155, 635680347=1155, 426551051=770, 2138915098=385, 338809723=385, 1509037246=385, 184418917=385}]
[1544591958(TR: 9.62697, TS: 9.17011) -> {880680199=3428674, 1689826712=1540899, 1119091505=1535123, 1998680479=1534762, 55964929=4332, 1720288815=3249, 1236336798=3249, 1313328519=2888, 1561859852=1805, 869939083=1083, 635680347=1083, 426551051=722, 2138915098=361, 338809723=361, 1509037246=361, 184418917=361}]
[1580011596(TR: 9.62708, TS: 9.16955) -> {880680199=3730368, 1689826712=1676492, 1119091505=1670188, 1998680479=1669794, 55964929=4728, 1720288815=3546, 1236336798=3546, 1313328519=3152, 1561859852=1970, 869939083=1182, 635680347=1182, 426551051=788, 2138915098=394, 338809723=394, 1509037246=394, 184418917=394}]
[1978642757(TR: 9.62732, TS: 9.17431) -> {880680199=13564904, 1689826712=6095936, 1119091505=6072912, 1998680479=6071473, 55964929=17268, 1720288815=12951, 1236336798=12951, 1313328519=11512, 1561859852=7195, 869939083=4317, 635680347=4317, 426551051=2878, 2138915098=1439, 338809723=1439, 1509037246=1439, 184418917=1439}]
[1204607598(TR: 9.62759, TS: 9.16461) -> {880680199=843034, 1689826712=378927, 1119091505=377535, 1998680479=377448, 55964929=1044, 1720288815=783, 1236336798=783, 1313328519=696, 1561859852=435, 869939083=261, 635680347=261, 426551051=174, 2138915098=87, 338809723=87, 1509037246=87, 184418917=87}]
[534129387(TR: 9.62762, TS: 9.17101) -> {880680199=4612148, 1689826712=2072670, 1119091505=2064814, 1998680479=2064323, 55964929=5892, 1720288815=4419, 1236336798=4419, 1313328519=3928, 1561859852=2455, 869939083=1473, 635680347=1473, 426551051=982, 2138915098=491, 338809723=491, 1509037246=491, 184418917=491}]
[701494829(TR: 9.62768, TS: 9.15684) -> {880680199=7499884, 1689826712=3370890, 1119091505=3358490, 1998680479=3357715, 55964929=9300, 1720288815=6975, 1236336798=6975, 1313328519=6200, 1561859852=3875, 869939083=2325, 635680347=2325, 426551051=1550, 2138915098=775, 338809723=775, 1509037246=775, 184418917=775}]
[555884488(TR: 9.62783, TS: 9.16921) -> {880680199=10918936, 1689826712=4906816, 1119091505=4888224, 1998680479=4887062, 55964929=13944, 1720288815=10458, 1236336798=10458, 1313328519=9296, 1561859852=5810, 869939083=3486, 635680347=3486, 426551051=2324, 2138915098=1162, 338809723=1162, 1509037246=1162, 184418917=1162}]
[10268200(TR: 9.62799, TS: 9.17197) -> {880680199=7610198, 1689826712=3419753, 1119091505=3406697, 1998680479=3405881, 55964929=9792, 1720288815=7344, 1236336798=7344, 1313328519=6528, 1561859852=4080, 869939083=2448, 635680347=2448, 426551051=1632, 2138915098=816, 338809723=816, 1509037246=816, 184418917=816}]
[783502754(TR: 9.62883, TS: 9.18550) -> {880680199=843034, 1689826712=378927, 1119091505=377535, 1998680479=377448, 55964929=1044, 1720288815=783, 1236336798=783, 1313328519=696, 1561859852=435, 869939083=261, 635680347=261, 426551051=174, 2138915098=87, 338809723=87, 1509037246=87, 184418917=87}]
[2015078599(TR: 9.62970, TS: 9.17055) -> {880680199=3730368, 1689826712=1676492, 1119091505=1670188, 1998680479=1669794, 55964929=4728, 1720288815=3546, 1236336798=3546, 1313328519=3152, 1561859852=1970, 869939083=1182, 635680347=1182, 426551051=788, 2138915098=394, 338809723=394, 1509037246=394, 184418917=394}]
[1240872019(TR: 9.63026, TS: 9.16380) -> {880680199=4271708, 1689826712=1919826, 1119091505=1912658, 1998680479=1912210, 55964929=5376, 1720288815=4032, 1236336798=4032, 1313328519=3584, 1561859852=2240, 869939083=1344, 635680347=1344, 426551051=896, 2138915098=448, 338809723=448, 1509037246=448, 184418917=448}]
[746466987(TR: 9.63096, TS: 9.21492) -> {880680199=6767164, 1689826712=3040826, 1119091505=3029162, 1998680479=3028433, 55964929=8748, 1720288815=6561, 1236336798=6561, 1313328519=5832, 1561859852=3645, 869939083=2187, 635680347=2187, 426551051=1458, 2138915098=729, 338809723=729, 1509037246=729, 184418917=729}]
[404011227(TR: 9.63132, TS: 9.18123) -> {880680199=13111044, 1689826712=5891896, 1119091505=5869544, 1998680479=5868147, 55964929=16764, 1720288815=12573, 1236336798=12573, 1313328519=11176, 1561859852=6985, 869939083=4191, 635680347=4191, 426551051=2794, 2138915098=1397, 338809723=1397, 1509037246=1397, 184418917=1397}]
[1030518414(TR: 9.63135, TS: 9.18046) -> {880680199=1686068, 1689826712=757854, 1119091505=755070, 1998680479=754896, 55964929=2088, 1720288815=1566, 1236336798=1566, 1313328519=1392, 1561859852=870, 869939083=522, 635680347=522, 426551051=348, 2138915098=174, 338809723=174, 1509037246=174, 184418917=174}]
[1161857500(TR: 9.63161, TS: 9.18141) -> {880680199=6154288, 1689826712=2766016, 1119091505=2755792, 1998680479=2755153, 55964929=7668, 1720288815=5751, 1236336798=5751, 1313328519=5112, 1561859852=3195, 869939083=1917, 635680347=1917, 426551051=1278, 2138915098=639, 338809723=639, 1509037246=639, 184418917=639}]
[404159657(TR: 9.63179, TS: 9.18472) -> {880680199=5477260, 1689826712=2461770, 1119091505=2452714, 1998680479=2452148, 55964929=6792, 1720288815=5094, 1236336798=5094, 1313328519=4528, 1561859852=2830, 869939083=1698, 635680347=1698, 426551051=1132, 2138915098=566, 338809723=566, 1509037246=566, 184418917=566}]
[628706576(TR: 9.63207, TS: 9.26975) -> {880680199=2968298, 1689826712=1334219, 1119091505=1329371, 1998680479=1329068, 55964929=3636, 1720288815=2727, 1236336798=2727, 1313328519=2424, 1561859852=1515, 869939083=909, 635680347=909, 426551051=606, 2138915098=303, 338809723=303, 1509037246=303, 184418917=303}]
[2080343863(TR: 9.63229, TS: 9.18097) -> {880680199=2529102, 1689826712=1136781, 1119091505=1132605, 1998680479=1132344, 55964929=3132, 1720288815=2349, 1236336798=2349, 1313328519=2088, 1561859852=1305, 869939083=783, 635680347=783, 426551051=522, 2138915098=261, 338809723=261, 1509037246=261, 184418917=261}]
[984678397(TR: 9.63238, TS: 9.17159) -> {880680199=843034, 1689826712=378927, 1119091505=377535, 1998680479=377448, 55964929=1044, 1720288815=783, 1236336798=783, 1313328519=696, 1561859852=435, 869939083=261, 635680347=261, 426551051=174, 2138915098=87, 338809723=87, 1509037246=87, 184418917=87}]
[367833014(TR: 9.63429, TS: 9.16519) -> {880680199=12721870, 1689826712=5717009, 1119091505=5695377, 1998680479=5694025, 55964929=16224, 1720288815=12168, 1236336798=12168, 1313328519=10816, 1561859852=6760, 869939083=4056, 635680347=4056, 426551051=2704, 2138915098=1352, 338809723=1352, 1509037246=1352, 184418917=1352}]
[2056417750(TR: 9.63435, TS: 9.23218) -> {880680199=12071588, 1689826712=5425226, 1119091505=5405098, 1998680479=5403840, 55964929=15096, 1720288815=11322, 1236336798=11322, 1313328519=10064, 1561859852=6290, 869939083=3774, 635680347=3774, 426551051=2516, 2138915098=1258, 338809723=1258, 1509037246=1258, 184418917=1258}]
[2102626188(TR: 9.63463, TS: 9.16233) -> {880680199=10201264, 1689826712=4584658, 1119091505=4567570, 1998680479=4566502, 55964929=12816, 1720288815=9612, 1236336798=9612, 1313328519=8544, 1561859852=5340, 869939083=3204, 635680347=3204, 426551051=2136, 2138915098=1068, 338809723=1068, 1509037246=1068, 184418917=1068}]
[1075957964(TR: 9.63472, TS: 9.18512) -> {880680199=2529102, 1689826712=1136781, 1119091505=1132605, 1998680479=1132344, 55964929=3132, 1720288815=2349, 1236336798=2349, 1313328519=2088, 1561859852=1305, 869939083=783, 635680347=783, 426551051=522, 2138915098=261, 338809723=261, 1509037246=261, 184418917=261}]
[817911393(TR: 9.63546, TS: 9.14302) -> {880680199=9275214, 1689826712=4168231, 1119091505=4152487, 1998680479=4151503, 55964929=11808, 1720288815=8856, 1236336798=8856, 1313328519=7872, 1561859852=4920, 869939083=2952, 635680347=2952, 426551051=1968, 2138915098=984, 338809723=984, 1509037246=984, 184418917=984}]
[1496681838(TR: 9.63567, TS: 9.15395) -> {880680199=7610198, 1689826712=3419753, 1119091505=3406697, 1998680479=3405881, 55964929=9792, 1720288815=7344, 1236336798=7344, 1313328519=6528, 1561859852=4080, 869939083=2448, 635680347=2448, 426551051=1632, 2138915098=816, 338809723=816, 1509037246=816, 184418917=816}]
[951787043(TR: 9.63582, TS: 9.15359) -> {880680199=3730368, 1689826712=1676492, 1119091505=1670188, 1998680479=1669794, 55964929=4728, 1720288815=3546, 1236336798=3546, 1313328519=3152, 1561859852=1970, 869939083=1182, 635680347=1182, 426551051=788, 2138915098=394, 338809723=394, 1509037246=394, 184418917=394}]
[1985089096(TR: 9.63588, TS: 9.15672) -> {880680199=1686068, 1689826712=757854, 1119091505=755070, 1998680479=754896, 55964929=2088, 1720288815=1566, 1236336798=1566, 1313328519=1392, 1561859852=870, 869939083=522, 635680347=522, 426551051=348, 2138915098=174, 338809723=174, 1509037246=174, 184418917=174}]
[1142107581(TR: 9.63628, TS: 9.22851) -> {880680199=2426958, 1689826712=1090885, 1119091505=1086901, 1998680479=1086652, 55964929=2988, 1720288815=2241, 1236336798=2241, 1313328519=1992, 1561859852=1245, 869939083=747, 635680347=747, 426551051=498, 2138915098=249, 338809723=249, 1509037246=249, 184418917=249}]
[825788076(TR: 9.63683, TS: 9.16164) -> {880680199=2426958, 1689826712=1090885, 1119091505=1086901, 1998680479=1086652, 55964929=2988, 1720288815=2241, 1236336798=2241, 1313328519=1992, 1561859852=1245, 869939083=747, 635680347=747, 426551051=498, 2138915098=249, 338809723=249, 1509037246=249, 184418917=249}]
[1368575150(TR: 9.63687, TS: 9.15533) -> {880680199=3410882, 1689826712=1532959, 1119091505=1527231, 1998680479=1526873, 55964929=4296, 1720288815=3222, 1236336798=3222, 1313328519=2864, 1561859852=1790, 869939083=1074, 635680347=1074, 426551051=716, 2138915098=358, 338809723=358, 1509037246=358, 184418917=358}]
[928299162(TR: 9.63692, TS: 9.21456) -> {880680199=9654498, 1689826712=4338391, 1119091505=4321815, 1998680479=4320779, 55964929=12432, 1720288815=9324, 1236336798=9324, 1313328519=8288, 1561859852=5180, 869939083=3108, 635680347=3108, 426551051=2072, 2138915098=1036, 338809723=1036, 1509037246=1036, 184418917=1036}]
[1794573576(TR: 9.63706, TS: 9.18940) -> {880680199=7091540, 1689826712=3187148, 1119091505=3175228, 1998680479=3174483, 55964929=8940, 1720288815=6705, 1236336798=6705, 1313328519=5960, 1561859852=3725, 869939083=2235, 635680347=2235, 426551051=1490, 2138915098=745, 338809723=745, 1509037246=745, 184418917=745}]
[521138972(TR: 9.63709, TS: 9.19900) -> {880680199=4664582, 1689826712=2096263, 1119091505=2088327, 1998680479=2087831, 55964929=5952, 1720288815=4464, 1236336798=4464, 1313328519=3968, 1561859852=2480, 869939083=1488, 635680347=1488, 426551051=992, 2138915098=496, 338809723=496, 1509037246=496, 184418917=496}]
[1488960495(TR: 9.63710, TS: 9.28925) -> {880680199=2585640, 1689826712=1161972, 1119091505=1157588, 1998680479=1157314, 55964929=3288, 1720288815=2466, 1236336798=2466, 1313328519=2192, 1561859852=1370, 869939083=822, 635680347=822, 426551051=548, 2138915098=274, 338809723=274, 1509037246=274, 184418917=274}]
[1253918730(TR: 9.63712, TS: 9.19149) -> {880680199=8453232, 1689826712=3798680, 1119091505=3784232, 1998680479=3783329, 55964929=10836, 1720288815=8127, 1236336798=8127, 1313328519=7224, 1561859852=4515, 869939083=2709, 635680347=2709, 426551051=1806, 2138915098=903, 338809723=903, 1509037246=903, 184418917=903}]
[405850896(TR: 9.63735, TS: 9.15709) -> {880680199=3269992, 1689826712=1469812, 1119091505=1464436, 1998680479=1464100, 55964929=4032, 1720288815=3024, 1236336798=3024, 1313328519=2688, 1561859852=1680, 869939083=1008, 635680347=1008, 426551051=672, 2138915098=336, 338809723=336, 1509037246=336, 184418917=336}]
[2026331161(TR: 9.63744, TS: 9.17074) -> {880680199=3730368, 1689826712=1676492, 1119091505=1670188, 1998680479=1669794, 55964929=4728, 1720288815=3546, 1236336798=3546, 1313328519=3152, 1561859852=1970, 869939083=1182, 635680347=1182, 426551051=788, 2138915098=394, 338809723=394, 1509037246=394, 184418917=394}]
[1560469549(TR: 9.63767, TS: 9.16469) -> {880680199=4612148, 1689826712=2072670, 1119091505=2064814, 1998680479=2064323, 55964929=5892, 1720288815=4419, 1236336798=4419, 1313328519=3928, 1561859852=2455, 869939083=1473, 635680347=1473, 426551051=982, 2138915098=491, 338809723=491, 1509037246=491, 184418917=491}]
[2111770271(TR: 9.63853, TS: 9.15260) -> {880680199=1686068, 1689826712=757854, 1119091505=755070, 1998680479=754896, 55964929=2088, 1720288815=1566, 1236336798=1566, 1313328519=1392, 1561859852=870, 869939083=522, 635680347=522, 426551051=348, 2138915098=174, 338809723=174, 1509037246=174, 184418917=174}]
[1672028799(TR: 9.63895, TS: 9.19108) -> {880680199=9395150, 1689826712=4222067, 1119091505=4206083, 1998680479=4205084, 55964929=11988, 1720288815=8991, 1236336798=8991, 1313328519=7992, 1561859852=4995, 869939083=2997, 635680347=2997, 426551051=1998, 2138915098=999, 338809723=999, 1509037246=999, 184418917=999}]
[558669191(TR: 9.63896, TS: 9.24100) -> {880680199=11017820, 1689826712=4951276, 1119091505=4932540, 1998680479=4931369, 55964929=14052, 1720288815=10539, 1236336798=10539, 1313328519=9368, 1561859852=5855, 869939083=3513, 635680347=3513, 426551051=2342, 2138915098=1171, 338809723=1171, 1509037246=1171, 184418917=1171}]
[1795490315(TR: 9.63936, TS: 9.25833) -> {880680199=1686068, 1689826712=757854, 1119091505=755070, 1998680479=754896, 55964929=2088, 1720288815=1566, 1236336798=1566, 1313328519=1392, 1561859852=870, 869939083=522, 635680347=522, 426551051=348, 2138915098=174, 338809723=174, 1509037246=174, 184418917=174}]
[1848328706(TR: 9.63941, TS: 9.17634) -> {880680199=7660934, 1689826712=3442853, 1119091505=3429973, 1998680479=3429168, 55964929=9660, 1720288815=7245, 1236336798=7245, 1313328519=6440, 1561859852=4025, 869939083=2415, 635680347=2415, 426551051=1610, 2138915098=805, 338809723=805, 1509037246=805, 184418917=805}]
[1153118050(TR: 9.63980, TS: 9.21439) -> {880680199=7610198, 1689826712=3419753, 1119091505=3406697, 1998680479=3405881, 55964929=9792, 1720288815=7344, 1236336798=7344, 1313328519=6528, 1561859852=4080, 869939083=2448, 635680347=2448, 426551051=1632, 2138915098=816, 338809723=816, 1509037246=816, 184418917=816}]
[31335127(TR: 9.63990, TS: 9.18178) -> {880680199=6217764, 1689826712=2794518, 1119091505=2784230, 1998680479=2783587, 55964929=7716, 1720288815=5787, 1236336798=5787, 1313328519=5144, 1561859852=3215, 869939083=1929, 635680347=1929, 426551051=1286, 2138915098=643, 338809723=643, 1509037246=643, 184418917=643}]
