[729753371(TR: 9.41823, TS: 8.92781) -> {880680199=21905508, 1689826712=9844708, 1119091505=9807940, 1998680479=9805642, 55964929=27576, 1720288815=20682, 1236336798=20682, 1313328519=18384, 1561859852=11490, 869939083=6894, 635680347=6894, 426551051=4596, 2138915098=2298, 338809723=2298, 1509037246=2298, 184418917=2298}]
[1284346318(TR: 9.41849, TS: 8.85471) -> {880680199=43260088, 1689826712=19443040, 1119091505=19371472, 1998680479=19366999, 55964929=53676, 1720288815=40257, 1236336798=40257, 1313328519=35784, 1561859852=22365, 869939083=13419, 635680347=13419, 426551051=8946, 2138915098=4473, 338809723=4473, 1509037246=4473, 184418917=4473}]
[717315376(TR: 9.41926, TS: 8.87941) -> {880680199=70620778, 1689826712=31739345, 1119091505=31621761, 1998680479=31614412, 55964929=88188, 1720288815=66141, 1236336798=66141, 1313328519=58792, 1561859852=36745, 869939083=22047, 635680347=22047, 426551051=14698, 2138915098=7349, 338809723=7349, 1509037246=7349, 184418917=7349}]
[1195150685(TR: 9.41930, TS: 8.87732) -> {880680199=129918634, 1689826712=58387889, 1119091505=58170001, 1998680479=58156383, 55964929=163416, 1720288815=122562, 1236336798=122562, 1313328519=108944, 1561859852=68090, 869939083=40854, 635680347=40854, 426551051=27236, 2138915098=13618, 338809723=13618, 1509037246=13618, 184418917=13618}]
[363408734(TR: 9.42031, TS: 8.88586) -> {880680199=167625172, 1689826712=75334768, 1119091505=75054368, 1998680479=75036843, 55964929=210300, 1720288815=157725, 1236336798=157725, 1313328519=140200, 1561859852=87625, 869939083=52575, 635680347=52575, 426551051=35050, 2138915098=17525, 338809723=17525, 1509037246=17525, 184418917=17525}]
[889900484(TR: 9.42045, TS: 8.87552) -> {880680199=43811016, 1689826712=19689416, 1119091505=19615880, 1998680479=19611284, 55964929=55152, 1720288815=41364, 1236336798=41364, 1313328519=36768, 1561859852=22980, 869939083=13788, 635680347=13788, 426551051=9192, 2138915098=4596, 338809723=4596, 1509037246=4596, 184418917=4596}]
[360853128(TR: 9.42076, TS: 8.91297) -> {880680199=27459058, 1689826712=12340869, 1119091505=12295045, 1998680479=12292181, 55964929=34368, 1720288815=25776, 1236336798=25776, 1313328519=22912, 1561859852=14320, 869939083=8592, 635680347=8592, 426551051=5728, 2138915098=2864, 338809723=2864, 1509037246=2864, 184418917=2864}]
[922164992(TR: 9.42092, TS: 8.91330) -> {880680199=128714128, 1689826712=57848576, 1119091505=57634432, 1998680479=57621048, 55964929=160608, 1720288815=120456, 1236336798=120456, 1313328519=107072, 1561859852=66920, 869939083=40152, 635680347=40152, 426551051=26768, 2138915098=13384, 338809723=13384, 1509037246=13384, 184418917=13384}]
[1785202525(TR: 9.42125, TS: 8.92881) -> {880680199=51729906, 1689826712=23249105, 1119091505=23163057, 1998680479=23157679, 55964929=64536, 1720288815=48402, 1236336798=48402, 1313328519=43024, 1561859852=26890, 869939083=16134, 635680347=16134, 426551051=10756, 2138915098=5378, 338809723=5378, 1509037246=5378, 184418917=5378}]
[166691641(TR: 9.42133, TS: 8.94584) -> {880680199=21905508, 1689826712=9844708, 1119091505=9807940, 1998680479=9805642, 55964929=27576, 1720288815=20682, 1236336798=20682, 1313328519=18384, 1561859852=11490, 869939083=6894, 635680347=6894, 426551051=4596, 2138915098=2298, 338809723=2298, 1509037246=2298, 184418917=2298}]
[220007138(TR: 9.42135, TS: 8.86528) -> {880680199=21905508, 1689826712=9844708, 1119091505=9807940, 1998680479=9805642, 55964929=27576, 1720288815=20682, 1236336798=20682, 1313328519=18384, 1561859852=11490, 869939083=6894, 635680347=6894, 426551051=4596, 2138915098=2298, 338809723=2298, 1509037246=2298, 184418917=2298}]
[60558174(TR: 9.42145, TS: 8.84401) -> {880680199=78329344, 1689826712=35203662, 1119091505=35073214, 1998680479=35065061, 55964929=97836, 1720288815=73377, 1236336798=73377, 1313328519=65224, 1561859852=40765, 869939083=24459, 635680347=24459, 426551051=16306, 2138915098=8153, 338809723=8153, 1509037246=8153, 184418917=8153}]
[702854815(TR: 9.42145, TS: 8.87748) -> {880680199=21905508, 1689826712=9844708, 1119091505=9807940, 1998680479=9805642, 55964929=27576, 1720288815=20682, 1236336798=20682, 1313328519=18384, 1561859852=11490, 869939083=6894, 635680347=6894, 426551051=4596, 2138915098=2298, 338809723=2298, 1509037246=2298, 184418917=2298}]
[1558646481(TR: 9.42145, TS: 8.87748) -> {880680199=21905508, 1689826712=9844708, 1119091505=9807940, 1998680479=9805642, 55964929=27576, 1720288815=20682, 1236336798=20682, 1313328519=18384, 1561859852=11490, 869939083=6894, 635680347=6894, 426551051=4596, 2138915098=2298, 338809723=2298, 1509037246=2298, 184418917=2298}]
[969426357(TR: 9.42169, TS: 8.89354) -> {880680199=76730438, 1689826712=34486221, 1119091505=34359261, 1998680479=34351326, 55964929=95220, 1720288815=71415, 1236336798=71415, 1313328519=63480, 1561859852=39675, 869939083=23805, 635680347=23805, 426551051=15870, 2138915098=7935, 338809723=7935, 1509037246=7935, 184418917=7935}]
[1525509929(TR: 9.42254, TS: 8.90502) -> {880680199=21905508, 1689826712=9844708, 1119091505=9807940, 1998680479=9805642, 55964929=27576, 1720288815=20682, 1236336798=20682, 1313328519=18384, 1561859852=11490, 869939083=6894, 635680347=6894, 426551051=4596, 2138915098=2298, 338809723=2298, 1509037246=2298, 184418917=2298}]
[1454471845(TR: 9.42297, TS: 9.01709) -> {880680199=59612046, 1689826712=26791587, 1119091505=26692307, 1998680479=26686102, 55964929=74460, 1720288815=55845, 1236336798=55845, 1313328519=49640, 1561859852=31025, 869939083=18615, 635680347=18615, 426551051=12410, 2138915098=6205, 338809723=6205, 1509037246=6205, 184418917=6205}]
[851732260(TR: 9.42312, TS: 8.95521) -> {880680199=60471666, 1689826712=27177899, 1119091505=27077195, 1998680479=27070901, 55964929=75528, 1720288815=56646, 1236336798=56646, 1313328519=50352, 1561859852=31470, 869939083=18882, 635680347=18882, 426551051=12588, 2138915098=6294, 338809723=6294, 1509037246=6294, 184418917=6294}]
[1239054628(TR: 9.42324, TS: 8.96750) -> {880680199=51171162, 1689826712=22997861, 1119091505=22912549, 1998680479=22907217, 55964929=63984, 1720288815=47988, 1236336798=47988, 1313328519=42656, 1561859852=26660, 869939083=15996, 635680347=15996, 426551051=10664, 2138915098=5332, 338809723=5332, 1509037246=5332, 184418917=5332}]
[2021638929(TR: 9.42348, TS: 8.95079) -> {880680199=117388714, 1689826712=52758447, 1119091505=52563103, 1998680479=52550894, 55964929=146508, 1720288815=109881, 1236336798=109881, 1313328519=97672, 1561859852=61045, 869939083=36627, 635680347=36627, 426551051=24418, 2138915098=12209, 338809723=12209, 1509037246=12209, 184418917=12209}]
[633797353(TR: 9.42351, TS: 9.02609) -> {880680199=94882348, 1689826712=42642426, 1119091505=42483722, 1998680479=42473803, 55964929=119028, 1720288815=89271, 1236336798=89271, 1313328519=79352, 1561859852=49595, 869939083=29757, 635680347=29757, 426551051=19838, 2138915098=9919, 338809723=9919, 1509037246=9919, 184418917=9919}]
