[693581115(TR: 9.64114, TS: 9.20143) -> {880680199=843034, 1689826712=378927, 1119091505=377535, 1998680479=377448, 55964929=1044, 1720288815=783, 1236336798=783, 1313328519=696, 1561859852=435, 869939083=261, 635680347=261, 426551051=174, 2138915098=87, 338809723=87, 1509037246=87, 184418917=87}]
[890050429(TR: 9.64138, TS: 9.19988) -> {880680199=843034, 1689826712=378927, 1119091505=377535, 1998680479=377448, 55964929=1044, 1720288815=783, 1236336798=783, 1313328519=696, 1561859852=435, 869939083=261, 635680347=261, 426551051=174, 2138915098=87, 338809723=87, 1509037246=87, 184418917=87}]
[100072639(TR: 9.64190, TS: 9.20679) -> {880680199=843034, 1689826712=378927, 1119091505=377535, 1998680479=377448, 55964929=1044, 1720288815=783, 1236336798=783, 1313328519=696, 1561859852=435, 869939083=261, 635680347=261, 426551051=174, 2138915098=87, 338809723=87, 1509037246=87, 184418917=87}]
[2110271951(TR: 9.64418, TS: 9.19063) -> {880680199=2887334, 1689826712=1297565, 1119091505=1292653, 1998680479=1292346, 55964929=3684, 1720288815=2763, 1236336798=2763, 1313328519=2456, 1561859852=1535, 869939083=921, 635680347=921, 426551051=614, 2138915098=307, 338809723=307, 1509037246=307, 184418917=307}]
[2007858999(TR: 9.64431, TS: 9.20329) -> {880680199=2426958, 1689826712=1090885, 1119091505=1086901, 1998680479=1086652, 55964929=2988, 1720288815=2241, 1236336798=2241, 1313328519=1992, 1561859852=1245, 869939083=747, 635680347=747, 426551051=498, 2138915098=249, 338809723=249, 1509037246=249, 184418917=249}]
[1740857876(TR: 9.65400, TS: 9.18380) -> {880680199=2988144, 1689826712=1343040, 1119091505=1338112, 1998680479=1337804, 55964929=3696, 1720288815=2772, 1236336798=2772, 1313328519=2464, 1561859852=1540, 869939083=924, 635680347=924, 426551051=616, 2138915098=308, 338809723=308, 1509037246=308, 184418917=308}]
[1432512855(TR: 9.65427, TS: 9.31841) -> {880680199=3869742, 1689826712=1738937, 1119091505=1732329, 1998680479=1731916, 55964929=4956, 1720288815=3717, 1236336798=3717, 1313328519=3304, 1561859852=2065, 869939083=1239, 635680347=1239, 426551051=826, 2138915098=413, 338809723=413, 1509037246=413, 184418917=413}]
[1763208317(TR: 9.65544, TS: 9.20320) -> {880680199=4562438, 1689826712=2050367, 1119091505=2042623, 1998680479=2042139, 55964929=5808, 1720288815=4356, 1236336798=4356, 1313328519=3872, 1561859852=2420, 869939083=1452, 635680347=1452, 426551051=968, 2138915098=484, 338809723=484, 1509037246=484, 184418917=484}]
[1968239278(TR: 9.65718, TS: 9.12990) -> {880680199=2044300, 1689826712=918638, 1119091505=915118, 1998680479=914898, 55964929=2640, 1720288815=1980, 1236336798=1980, 1313328519=1760, 1561859852=1100, 869939083=660, 635680347=660, 426551051=440, 2138915098=220, 338809723=220, 1509037246=220, 184418917=220}]
[159378898(TR: 9.65728, TS: 9.18469) -> {880680199=1686068, 1689826712=757854, 1119091505=755070, 1998680479=754896, 55964929=2088, 1720288815=1566, 1236336798=1566, 1313328519=1392, 1561859852=870, 869939083=522, 635680347=522, 426551051=348, 2138915098=174, 338809723=174, 1509037246=174, 184418917=174}]
[1326515579(TR: 9.65940, TS: 9.20813) -> {880680199=6767164, 1689826712=3040826, 1119091505=3029162, 1998680479=3028433, 55964929=8748, 1720288815=6561, 1236336798=6561, 1313328519=5832, 1561859852=3645, 869939083=2187, 635680347=2187, 426551051=1458, 2138915098=729, 338809723=729, 1509037246=729, 184418917=729}]
