[1022667424(TR: 9.82713, TS: 9.31418) -> {880680199=319486, 1689826712=143533, 1119091505=142957, 1998680479=142921, 55964929=432, 1720288815=324, 1236336798=324, 1313328519=288, 1561859852=180, 869939083=108, 635680347=108, 426551051=72, 2138915098=36, 338809723=36, 1509037246=36, 184418917=36}]
[695460363(TR: 9.82891, TS: 9.31512) -> {880680199=783854, 1689826712=352137, 1119091505=350713, 1998680479=350624, 55964929=1068, 1720288815=801, 1236336798=801, 1313328519=712, 1561859852=445, 869939083=267, 635680347=267, 426551051=178, 2138915098=89, 338809723=89, 1509037246=89, 184418917=89}]
[1732710710(TR: 9.82891, TS: 9.31512) -> {880680199=319486, 1689826712=143533, 1119091505=142957, 1998680479=142921, 55964929=432, 1720288815=324, 1236336798=324, 1313328519=288, 1561859852=180, 869939083=108, 635680347=108, 426551051=72, 2138915098=36, 338809723=36, 1509037246=36, 184418917=36}]
[704853295(TR: 9.82891, TS: 9.31512) -> {880680199=562294, 1689826712=252645, 1119091505=251669, 1998680479=251608, 55964929=732, 1720288815=549, 1236336798=549, 1313328519=488, 1561859852=305, 869939083=183, 635680347=183, 426551051=122, 2138915098=61, 338809723=61, 1509037246=61, 184418917=61}]
[2090644299(TR: 9.82891, TS: 9.31512) -> {880680199=442358, 1689826712=198809, 1119091505=198073, 1998680479=198027, 55964929=552, 1720288815=414, 1236336798=414, 1313328519=368, 1561859852=230, 869939083=138, 635680347=138, 426551051=92, 2138915098=46, 338809723=46, 1509037246=46, 184418917=46}]
[1696901074(TR: 9.82896, TS: 9.45052) -> {880680199=319486, 1689826712=143533, 1119091505=142957, 1998680479=142921, 55964929=432, 1720288815=324, 1236336798=324, 1313328519=288, 1561859852=180, 869939083=108, 635680347=108, 426551051=72, 2138915098=36, 338809723=36, 1509037246=36, 184418917=36}]
[1408328391(TR: 9.82940, TS: 9.31671) -> {880680199=696412, 1689826712=313026, 1119091505=311858, 1998680479=311785, 55964929=876, 1720288815=657, 1236336798=657, 1313328519=584, 1561859852=365, 869939083=219, 635680347=219, 426551051=146, 2138915098=73, 338809723=73, 1509037246=73, 184418917=73}]
[1625853915(TR: 9.84959, TS: 9.34546) -> {880680199=500858, 1689826712=225007, 1119091505=224111, 1998680479=224055, 55964929=672, 1720288815=504, 1236336798=504, 1313328519=448, 1561859852=280, 869939083=168, 635680347=168, 426551051=112, 2138915098=56, 338809723=56, 1509037246=56, 184418917=56}]
[2046262886(TR: 9.85418, TS: 9.38492) -> {880680199=467190, 1689826712=209981, 1119091505=209197, 1998680479=209148, 55964929=588, 1720288815=441, 1236336798=441, 1313328519=392, 1561859852=245, 869939083=147, 635680347=147, 426551051=98, 2138915098=49, 338809723=49, 1509037246=49, 184418917=49}]
[959270077(TR: 9.85497, TS: 9.33754) -> {880680199=849278, 1689826712=381437, 1119091505=379885, 1998680479=379788, 55964929=1164, 1720288815=873, 1236336798=873, 1313328519=776, 1561859852=485, 869939083=291, 635680347=291, 426551051=194, 2138915098=97, 338809723=97, 1509037246=97, 184418917=97}]
[1628632581(TR: 9.86637, TS: 9.36091) -> {880680199=740506, 1689826712=332783, 1119091505=331535, 1998680479=331457, 55964929=936, 1720288815=702, 1236336798=702, 1313328519=624, 1561859852=390, 869939083=234, 635680347=234, 426551051=156, 2138915098=78, 338809723=78, 1509037246=78, 184418917=78}]
