[1460953294(TR: 9.20407, TS: 8.65358) -> {880680199=633479430, 1689826712=284701113, 1119091505=283641945, 1998680479=283575747, 55964929=794376, 1720288815=595782, 1236336798=595782, 1313328519=529584, 1561859852=330990, 869939083=198594, 635680347=198594, 426551051=132396, 2138915098=66198, 338809723=66198, 1509037246=66198, 184418917=66198}]
[866496682(TR: 9.20595, TS: 8.66421) -> {880680199=266735882, 1689826712=119877403, 1119091505=119431515, 1998680479=119403647, 55964929=334416, 1720288815=250812, 1236336798=250812, 1313328519=222944, 1561859852=139340, 869939083=83604, 635680347=83604, 426551051=55736, 2138915098=27868, 338809723=27868, 1509037246=27868, 184418917=27868}]
[1771722870(TR: 9.20639, TS: 8.65568) -> {880680199=266735882, 1689826712=119877403, 1119091505=119431515, 1998680479=119403647, 55964929=334416, 1720288815=250812, 1236336798=250812, 1313328519=222944, 1561859852=139340, 869939083=83604, 635680347=83604, 426551051=55736, 2138915098=27868, 338809723=27868, 1509037246=27868, 184418917=27868}]
[706148705(TR: 9.20924, TS: 8.66040) -> {880680199=288641390, 1689826712=129722111, 1119091505=129239455, 1998680479=129209289, 55964929=361992, 1720288815=271494, 1236336798=271494, 1313328519=241328, 1561859852=150830, 869939083=90498, 635680347=90498, 426551051=60332, 2138915098=30166, 338809723=30166, 1509037246=30166, 184418917=30166}]
[1186395083(TR: 9.20968, TS: 8.65971) -> {880680199=1117669408, 1689826712=502308052, 1119091505=500439252, 1998680479=500322452, 55964929=1401600, 1720288815=1051200, 1236336798=1051200, 1313328519=934400, 1561859852=584000, 869939083=350400, 635680347=350400, 426551051=233600, 2138915098=116800, 338809723=116800, 1509037246=116800, 184418917=116800}]
[852556227(TR: 9.20988, TS: 8.66144) -> {880680199=310546898, 1689826712=139566819, 1119091505=139047395, 1998680479=139014931, 55964929=389568, 1720288815=292176, 1236336798=292176, 1313328519=259712, 1561859852=162320, 869939083=97392, 635680347=97392, 426551051=64928, 2138915098=32464, 338809723=32464, 1509037246=32464, 184418917=32464}]
[745422803(TR: 9.21075, TS: 8.66207) -> {880680199=633479430, 1689826712=284701113, 1119091505=283641945, 1998680479=283575747, 55964929=794376, 1720288815=595782, 1236336798=595782, 1313328519=529584, 1561859852=330990, 869939083=198594, 635680347=198594, 426551051=132396, 2138915098=66198, 338809723=66198, 1509037246=66198, 184418917=66198}]
[833488590(TR: 9.21179, TS: 8.66512) -> {880680199=633479430, 1689826712=284701113, 1119091505=283641945, 1998680479=283575747, 55964929=794376, 1720288815=595782, 1236336798=595782, 1313328519=529584, 1561859852=330990, 869939083=198594, 635680347=198594, 426551051=132396, 2138915098=66198, 338809723=66198, 1509037246=66198, 184418917=66198}]
[1081578395(TR: 9.21181, TS: 8.73919) -> {880680199=266735882, 1689826712=119877403, 1119091505=119431515, 1998680479=119403647, 55964929=334416, 1720288815=250812, 1236336798=250812, 1313328519=222944, 1561859852=139340, 869939083=83604, 635680347=83604, 426551051=55736, 2138915098=27868, 338809723=27868, 1509037246=27868, 184418917=27868}]
[1977377975(TR: 9.21217, TS: 8.65470) -> {880680199=1684303000, 1689826712=756965802, 1119091505=754148666, 1998680479=753972595, 55964929=2112852, 1720288815=1584639, 1236336798=1584639, 1313328519=1408568, 1561859852=880355, 869939083=528213, 635680347=528213, 426551051=352142, 2138915098=176071, 338809723=176071, 1509037246=176071, 184418917=176071}]
[680611192(TR: 9.21222, TS: 8.66263) -> {880680199=1856291426, 1689826712=834264831, 1119091505=831162847, 1998680479=830968973, 55964929=2326488, 1720288815=1744866, 1236336798=1744866, 1313328519=1550992, 1561859852=969370, 869939083=581622, 635680347=581622, 426551051=387748, 2138915098=193874, 338809723=193874, 1509037246=193874, 184418917=193874}]
[1774757586(TR: 9.21222, TS: 8.66263) -> {880680199=1120200450, 1689826712=503446661, 1119091505=501574949, 1998680479=501457967, 55964929=1403784, 1720288815=1052838, 1236336798=1052838, 1313328519=935856, 1561859852=584910, 869939083=350946, 635680347=350946, 426551051=233964, 2138915098=116982, 338809723=116982, 1509037246=116982, 184418917=116982}]
[366943035(TR: 9.21222, TS: 8.66263) -> {880680199=2717181656, 1689826712=1221171636, 1119091505=1216631860, 1998680479=1216348124, 55964929=3404832, 1720288815=2553624, 1236336798=2553624, 1313328519=2269888, 1561859852=1418680, 869939083=851208, 635680347=851208, 426551051=567472, 2138915098=283736, 338809723=283736, 1509037246=283736, 184418917=283736}]
[53492971(TR: 9.21371, TS: 8.65814) -> {880680199=1117669408, 1689826712=502308052, 1119091505=500439252, 1998680479=500322452, 55964929=1401600, 1720288815=1051200, 1236336798=1051200, 1313328519=934400, 1561859852=584000, 869939083=350400, 635680347=350400, 426551051=233600, 2138915098=116800, 338809723=116800, 1509037246=116800, 184418917=116800}]
[560483192(TR: 9.21450, TS: 8.59864) -> {880680199=266735882, 1689826712=119877403, 1119091505=119431515, 1998680479=119403647, 55964929=334416, 1720288815=250812, 1236336798=250812, 1313328519=222944, 1561859852=139340, 869939083=83604, 635680347=83604, 426551051=55736, 2138915098=27868, 338809723=27868, 1509037246=27868, 184418917=27868}]
[221943729(TR: 9.22230, TS: 8.74955) -> {880680199=266735882, 1689826712=119877403, 1119091505=119431515, 1998680479=119403647, 55964929=334416, 1720288815=250812, 1236336798=250812, 1313328519=222944, 1561859852=139340, 869939083=83604, 635680347=83604, 426551051=55736, 2138915098=27868, 338809723=27868, 1509037246=27868, 184418917=27868}]
[1624331246(TR: 9.22537, TS: 8.59521) -> {880680199=633479430, 1689826712=284701113, 1119091505=283641945, 1998680479=283575747, 55964929=794376, 1720288815=595782, 1236336798=595782, 1313328519=529584, 1561859852=330990, 869939083=198594, 635680347=198594, 426551051=132396, 2138915098=66198, 338809723=66198, 1509037246=66198, 184418917=66198}]
