3,526.7375
2,526.80457
1,530.3613
0,532.3075
5,529.8916
6,527.677
4,532.7773
7,529.4218
10,523.51624
8,527.34143
9,526.9388
11,531.972
12,526.4019
13,530.764
15,524.3887
14,537.542
16,527.7441
17,527.60986
18,527.14014
19,532.1062
21,525.05975
20,534.1866
22,532.3075
23,533.51544
24,520.899
26,527.8112
25,536.4011
27,534.25366
28,527.677
29,532.9115
30,531.70355
31,534.3208
32,509.96027
34,493.85413
33,501.0348
35,511.63797
37,481.64032
38,491.77374
36,520.5635
39,514.3223
40,501.8401
41,489.42496
42,510.63135
43,482.51273
44,489.0894
46,458.8233
45,503.04803
47,458.48776
48,433.59036
49,432.78506
