1,132.54001
2,133.61375
3,136.70076
0,136.83498
4,139.38512
5,138.5798
7,136.49944
6,136.70076
10,133.74797
8,136.49944
9,139.51933
11,138.5127
12,137.50606
14,136.16388
13,139.51933
15,137.90872
16,138.78113
18,137.57317
17,139.18378
19,138.31137
20,138.24426
21,136.76787
22,138.5127
23,139.85487
25,136.49944
24,138.84824
26,140.0562
27,141.26416
28,135.22437
29,137.23763
30,135.29147
31,135.09015
32,136.9692
33,138.04294
34,137.37184
35,139.51933
36,139.65355
37,135.5599
38,140.19041
39,136.76787
41,137.0363
40,142.47212
42,138.5798
43,140.7273
44,138.04294
45,138.31137
46,138.78113
47,139.65355
48,109.65588
49,109.11901
