[880912341(TR: 8.96483, TS: 8.18383) -> {880680199=11885254890, 2087390487=308888921, 1689826712=1279581, 289890178=1279581, 597022555=1279581}]
[1125460824(TR: 8.96905, TS: 8.20489) -> {880680199=13298512788, 2087390487=345618463, 1689826712=1431741, 289890178=1431741, 597022555=1431741}]
[1466946026(TR: 8.96942, TS: 8.16323) -> {880680199=23340325482, 2087390487=606597792, 1689826712=2512884, 289890178=2512884, 597022555=2512884}]
[662005302(TR: 8.96957, TS: 8.28312) -> {880680199=11885254890, 2087390487=308888921, 1689826712=1279581, 289890178=1279581, 597022555=1279581}]
[519295490(TR: 8.97124, TS: 8.34627) -> {880680199=11885254890, 2087390487=308888921, 1689826712=1279581, 289890178=1279581, 597022555=1279581}]
[579351905(TR: 8.97142, TS: 8.28595) -> {880680199=11885254890, 2087390487=308888921, 1689826712=1279581, 289890178=1279581, 597022555=1279581}]
[1951823215(TR: 8.97148, TS: 8.42979) -> {880680199=20029710746, 2087390487=520557374, 1689826712=2156455, 289890178=2156455, 597022555=2156455}]
[1570704014(TR: 8.97207, TS: 8.29626) -> {880680199=11885254890, 2087390487=308888921, 1689826712=1279581, 289890178=1279581, 597022555=1279581}]
[1364689885(TR: 8.97288, TS: 8.21077) -> {880680199=23340325482, 2087390487=606597792, 1689826712=2512884, 289890178=2512884, 597022555=2512884}]
[1370761271(TR: 8.97382, TS: 8.18880) -> {880680199=11885254890, 2087390487=308888921, 1689826712=1279581, 289890178=1279581, 597022555=1279581}]
[370066019(TR: 8.97393, TS: 8.29114) -> {880680199=27481623354, 2087390487=714227074, 1689826712=2958753, 289890178=2958753, 597022555=2958753}]
[870342998(TR: 8.97527, TS: 8.28990) -> {880680199=24253532316, 2087390487=630331317, 1689826712=2611188, 289890178=2611188, 597022555=2611188}]
[1581536668(TR: 8.97748, TS: 8.24137) -> {880680199=11885254890, 2087390487=308888921, 1689826712=1279581, 289890178=1279581, 597022555=1279581}]
[784415731(TR: 8.97800, TS: 8.29765) -> {880680199=30278274604, 2087390487=786910020, 1689826712=3259859, 289890178=3259859, 597022555=3259859}]
[1312618898(TR: 8.97928, TS: 8.31811) -> {880680199=22084055374, 2087390487=573948264, 1689826712=2377628, 289890178=2377628, 597022555=2377628}]
[2120670162(TR: 8.98070, TS: 8.37089) -> {880680199=11885254890, 2087390487=308888921, 1689826712=1279581, 289890178=1279581, 597022555=1279581}]
[49449271(TR: 8.98099, TS: 8.24499) -> {880680199=23340325482, 2087390487=606597792, 1689826712=2512884, 289890178=2512884, 597022555=2512884}]
[634074169(TR: 8.98341, TS: 8.30818) -> {880680199=25146740146, 2087390487=653545160, 1689826712=2707361, 289890178=2707361, 597022555=2707361}]
[202549627(TR: 8.98350, TS: 8.26810) -> {880680199=18826439940, 2087390487=489285190, 1689826712=2026890, 289890178=2026890, 597022555=2026890}]
[1155685216(TR: 8.98388, TS: 8.26453) -> {880680199=26522641076, 2087390487=689303819, 1689826712=2855500, 289890178=2855500, 597022555=2855500}]
[1389353466(TR: 8.98415, TS: 8.33250) -> {880680199=10198800484, 2087390487=265059343, 1689826712=1098047, 289890178=1098047, 597022555=1098047}]
[785995110(TR: 8.98497, TS: 8.33482) -> {880680199=23501464540, 2087390487=610785787, 1689826712=2530262, 289890178=2530262, 597022555=2530262}]
[924412087(TR: 8.98500, TS: 8.19425) -> {880680199=23340325482, 2087390487=606597792, 1689826712=2512884, 289890178=2512884, 597022555=2512884}]
[1635126383(TR: 8.98512, TS: 8.26614) -> {880680199=18826439940, 2087390487=489285190, 1689826712=2026890, 289890178=2026890, 597022555=2026890}]
[1306134962(TR: 8.98998, TS: 8.39319) -> {880680199=11885254890, 2087390487=308888921, 1689826712=1279581, 289890178=1279581, 597022555=1279581}]
