[373171257(TR: 9.08282, TS: 8.39836) -> {880680199=1126436586, 2087390487=29275262, 1689826712=121278, 289890178=121278, 597022555=121278}]
[2071165513(TR: 9.08783, TS: 8.48698) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[607915565(TR: 9.08789, TS: 8.36943) -> {880680199=3209270484, 2087390487=83406549, 1689826712=345513, 289890178=345513, 597022555=345513}]
[1984991504(TR: 9.08843, TS: 8.44305) -> {880680199=430231968, 2087390487=11181420, 1689826712=46323, 289890178=46323, 597022555=46323}]
[287865871(TR: 9.08859, TS: 8.47014) -> {880680199=430231968, 2087390487=11181420, 1689826712=46323, 289890178=46323, 597022555=46323}]
[1911160145(TR: 9.08884, TS: 8.49217) -> {880680199=3631363254, 2087390487=94376415, 1689826712=390954, 289890178=390954, 597022555=390954}]
[895535143(TR: 9.09058, TS: 8.49390) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1204422538(TR: 9.09103, TS: 8.43804) -> {880680199=286821312, 2087390487=7454280, 1689826712=30882, 289890178=30882, 597022555=30882}]
[366003064(TR: 9.09150, TS: 8.44816) -> {880680199=2690640284, 2087390487=69927773, 1689826712=289687, 289890178=289687, 597022555=289687}]
[728606694(TR: 9.09152, TS: 8.47765) -> {880680199=3487952598, 2087390487=90649275, 1689826712=375513, 289890178=375513, 597022555=375513}]
[411005788(TR: 9.09258, TS: 8.42463) -> {880680199=286821312, 2087390487=7454280, 1689826712=30882, 289890178=30882, 597022555=30882}]
[262066574(TR: 9.09383, TS: 8.45732) -> {880680199=2109462516, 2087390487=54823384, 1689826712=227115, 289890178=227115, 597022555=227115}]
[474355718(TR: 9.09388, TS: 8.45399) -> {880680199=1413257898, 2087390487=36729542, 1689826712=152160, 289890178=152160, 597022555=152160}]
[1515380479(TR: 9.09394, TS: 8.40777) -> {880680199=286821312, 2087390487=7454280, 1689826712=30882, 289890178=30882, 597022555=30882}]
[961848186(TR: 9.09436, TS: 8.46020) -> {880680199=1413257898, 2087390487=36729542, 1689826712=152160, 289890178=152160, 597022555=152160}]
[1350893899(TR: 9.09446, TS: 8.46104) -> {880680199=983025930, 2087390487=25548122, 1689826712=105837, 289890178=105837, 597022555=105837}]
[1086261119(TR: 9.09459, TS: 8.41821) -> {880680199=1126436586, 2087390487=29275262, 1689826712=121278, 289890178=121278, 597022555=121278}]
[1813356870(TR: 9.09472, TS: 8.39617) -> {880680199=286821312, 2087390487=7454280, 1689826712=30882, 289890178=30882, 597022555=30882}]
[545009437(TR: 9.09534, TS: 8.43740) -> {880680199=1413257898, 2087390487=36729542, 1689826712=152160, 289890178=152160, 597022555=152160}]
[1009714971(TR: 9.09605, TS: 8.47382) -> {880680199=1126436586, 2087390487=29275262, 1689826712=121278, 289890178=121278, 597022555=121278}]
[68381470(TR: 9.09623, TS: 8.40938) -> {880680199=286821312, 2087390487=7454280, 1689826712=30882, 289890178=30882, 597022555=30882}]
[1171121483(TR: 9.09646, TS: 8.39360) -> {880680199=1104752176, 2087390487=28711710, 1689826712=118946, 289890178=118946, 597022555=118946}]
[76037672(TR: 9.09647, TS: 8.39406) -> {880680199=2690640284, 2087390487=69927773, 1689826712=289687, 289890178=289687, 597022555=289687}]
[1079764605(TR: 9.09655, TS: 8.41567) -> {880680199=2687208738, 2087390487=69838555, 1689826712=289308, 289890178=289308, 597022555=289308}]
[1603223283(TR: 9.09663, TS: 8.35287) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1975681012(TR: 9.09686, TS: 8.42892) -> {880680199=1126436586, 2087390487=29275262, 1689826712=121278, 289890178=121278, 597022555=121278}]
[813594138(TR: 9.09697, TS: 8.41715) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[797509222(TR: 9.09701, TS: 8.42273) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[156753346(TR: 9.09734, TS: 8.47476) -> {880680199=286821312, 2087390487=7454280, 1689826712=30882, 289890178=30882, 597022555=30882}]
[1863069379(TR: 9.09740, TS: 8.42776) -> {880680199=430231968, 2087390487=11181420, 1689826712=46323, 289890178=46323, 597022555=46323}]
[746675102(TR: 9.09741, TS: 8.39143) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1264370270(TR: 9.09742, TS: 8.43753) -> {880680199=2183385210, 2087390487=56744592, 1689826712=235077, 289890178=235077, 597022555=235077}]
[2094182202(TR: 9.09746, TS: 8.47191) -> {880680199=2620241930, 2087390487=68098187, 1689826712=282112, 289890178=282112, 597022555=282112}]
[1915157589(TR: 9.09761, TS: 8.42289) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1423770660(TR: 9.09785, TS: 8.41360) -> {880680199=4741382398, 2087390487=123225001, 1689826712=510464, 289890178=510464, 597022555=510464}]
[2042520275(TR: 9.09837, TS: 8.41802) -> {880680199=1556668554, 2087390487=40456682, 1689826712=167601, 289890178=167601, 597022555=167601}]
[276605345(TR: 9.09852, TS: 8.41949) -> {880680199=2690640284, 2087390487=69927773, 1689826712=289687, 289890178=289687, 597022555=289687}]
[1442655151(TR: 9.09856, TS: 8.45138) -> {880680199=1269847242, 2087390487=33002402, 1689826712=136719, 289890178=136719, 597022555=136719}]
[1765665040(TR: 9.09882, TS: 8.39622) -> {880680199=3631363254, 2087390487=94376415, 1689826712=390954, 289890178=390954, 597022555=390954}]
[1671407134(TR: 9.09890, TS: 8.45484) -> {880680199=1269847242, 2087390487=33002402, 1689826712=136719, 289890178=136719, 597022555=136719}]
[383461997(TR: 9.09894, TS: 8.44982) -> {880680199=1269847242, 2087390487=33002402, 1689826712=136719, 289890178=136719, 597022555=136719}]
[709348170(TR: 9.09895, TS: 8.49614) -> {880680199=2690640284, 2087390487=69927773, 1689826712=289687, 289890178=289687, 597022555=289687}]
[741655163(TR: 9.09922, TS: 8.47133) -> {880680199=983025930, 2087390487=25548122, 1689826712=105837, 289890178=105837, 597022555=105837}]
[847589045(TR: 9.09922, TS: 8.42905) -> {880680199=573642624, 2087390487=14908560, 1689826712=61764, 289890178=61764, 597022555=61764}]
[2101539530(TR: 9.09934, TS: 8.44732) -> {880680199=1269847242, 2087390487=33002402, 1689826712=136719, 289890178=136719, 597022555=136719}]
[1774939059(TR: 9.09936, TS: 8.48128) -> {880680199=956071040, 2087390487=24847600, 1689826712=102940, 289890178=102940, 597022555=102940}]
[1676041195(TR: 9.09942, TS: 8.49798) -> {880680199=2690640284, 2087390487=69927773, 1689826712=289687, 289890178=289687, 597022555=289687}]
[2022515108(TR: 9.09962, TS: 8.40221) -> {880680199=573642624, 2087390487=14908560, 1689826712=61764, 289890178=61764, 597022555=61764}]
[313739485(TR: 9.09974, TS: 8.48847) -> {880680199=2039974554, 2087390487=53017452, 1689826712=219636, 289890178=219636, 597022555=219636}]
[538390475(TR: 9.09985, TS: 8.48391) -> {880680199=2688835450, 2087390487=69880813, 1689826712=289478, 289890178=289478, 597022555=289478}]
[1904152865(TR: 9.09992, TS: 8.47949) -> {880680199=2396283828, 2087390487=62277664, 1689826712=257997, 289890178=257997, 597022555=257997}]
[1617862315(TR: 9.10020, TS: 8.42561) -> {880680199=1126436586, 2087390487=29275262, 1689826712=121278, 289890178=121278, 597022555=121278}]
[1746130907(TR: 9.10041, TS: 8.45073) -> {880680199=3386844902, 2087390487=88021615, 1689826712=364642, 289890178=364642, 597022555=364642}]
[1910752357(TR: 9.10046, TS: 8.49330) -> {880680199=3695587508, 2087390487=96045617, 1689826712=397885, 289890178=397885, 597022555=397885}]
[2023503201(TR: 9.10070, TS: 8.43915) -> {880680199=286821312, 2087390487=7454280, 1689826712=30882, 289890178=30882, 597022555=30882}]
[1821599519(TR: 9.10076, TS: 8.46472) -> {880680199=2547229628, 2087390487=66200633, 1689826712=274246, 289890178=274246, 597022555=274246}]
[449370201(TR: 9.10080, TS: 8.41637) -> {880680199=430231968, 2087390487=11181420, 1689826712=46323, 289890178=46323, 597022555=46323}]
[1978136457(TR: 9.10095, TS: 8.47257) -> {880680199=1126436586, 2087390487=29275262, 1689826712=121278, 289890178=121278, 597022555=121278}]
[1816781673(TR: 9.10095, TS: 8.44200) -> {880680199=717053280, 2087390487=18635700, 1689826712=77205, 289890178=77205, 597022555=77205}]
[462805600(TR: 9.10108, TS: 8.42768) -> {880680199=717053280, 2087390487=18635700, 1689826712=77205, 289890178=77205, 597022555=77205}]
[1204011867(TR: 9.10121, TS: 8.41886) -> {880680199=2396283828, 2087390487=62277664, 1689826712=257997, 289890178=257997, 597022555=257997}]
[223489941(TR: 9.10121, TS: 8.49712) -> {880680199=2547229628, 2087390487=66200633, 1689826712=274246, 289890178=274246, 597022555=274246}]
[774096893(TR: 9.10130, TS: 8.40104) -> {880680199=573642624, 2087390487=14908560, 1689826712=61764, 289890178=61764, 597022555=61764}]
[466636419(TR: 9.10142, TS: 8.46533) -> {880680199=430231968, 2087390487=11181420, 1689826712=46323, 289890178=46323, 597022555=46323}]
[1112575929(TR: 9.10143, TS: 8.47815) -> {880680199=1269847242, 2087390487=33002402, 1689826712=136719, 289890178=136719, 597022555=136719}]
[1583492833(TR: 9.10144, TS: 8.38619) -> {880680199=1222043690, 2087390487=31760022, 1689826712=131572, 289890178=131572, 597022555=131572}]
[1859000063(TR: 9.10150, TS: 8.43012) -> {880680199=2252873172, 2087390487=58550524, 1689826712=242556, 289890178=242556, 597022555=242556}]
[2012477939(TR: 9.10158, TS: 8.43302) -> {880680199=3817076870, 2087390487=99203035, 1689826712=410965, 289890178=410965, 597022555=410965}]
[823696883(TR: 9.10176, TS: 8.48576) -> {880680199=430231968, 2087390487=11181420, 1689826712=46323, 289890178=46323, 597022555=46323}]
[2118301719(TR: 9.10184, TS: 8.48280) -> {880680199=961341520, 2087390487=24984570, 1689826712=103505, 289890178=103505, 597022555=103505}]
[1621438670(TR: 9.10187, TS: 8.48215) -> {880680199=1343769936, 2087390487=34923610, 1689826712=144681, 289890178=144681, 597022555=144681}]
[141648200(TR: 9.10192, TS: 8.49037) -> {880680199=1056948624, 2087390487=27469330, 1689826712=113799, 289890178=113799, 597022555=113799}]
[2113110704(TR: 9.10193, TS: 8.42033) -> {880680199=5696284234, 2087390487=148042270, 1689826712=613289, 289890178=613289, 597022555=613289}]
[379199257(TR: 9.10195, TS: 8.43054) -> {880680199=573642624, 2087390487=14908560, 1689826712=61764, 289890178=61764, 597022555=61764}]
