[1922455410(TR: 9.26314, TS: 8.70534) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1139587249(TR: 9.40315, TS: 8.96876) -> {880680199=91409256, 2087390487=2375654, 1689826712=9840, 289890178=9840, 597022555=9840}]
[209782181(TR: 9.42430, TS: 8.94342) -> {880680199=74457616, 2087390487=1935094, 1689826712=8015, 289890178=8015, 597022555=8015}]
[901176842(TR: 9.42543, TS: 8.99810) -> {880680199=91409256, 2087390487=2375654, 1689826712=9840, 289890178=9840, 597022555=9840}]
[1968910857(TR: 9.43155, TS: 8.92321) -> {880680199=90985086, 2087390487=2364634, 1689826712=9795, 289890178=9795, 597022555=9795}]
[1398027555(TR: 9.43208, TS: 9.00647) -> {880680199=53756692, 2087390487=1397102, 1689826712=5789, 289890178=5789, 597022555=5789}]
[1476177601(TR: 9.43252, TS: 8.87817) -> {880680199=91409256, 2087390487=2375654, 1689826712=9840, 289890178=9840, 597022555=9840}]
[1413053626(TR: 9.43375, TS: 8.87061) -> {880680199=91409256, 2087390487=2375654, 1689826712=9840, 289890178=9840, 597022555=9840}]
[2027865934(TR: 9.43528, TS: 8.89967) -> {880680199=122399754, 2087390487=3181072, 1689826712=13176, 289890178=13176, 597022555=13176}]
[1771722870(TR: 9.43594, TS: 8.87141) -> {880680199=91409256, 2087390487=2375654, 1689826712=9840, 289890178=9840, 597022555=9840}]
[173086811(TR: 9.43654, TS: 8.87544) -> {880680199=174987564, 2087390487=4547788, 1689826712=18837, 289890178=18837, 597022555=18837}]
[954807670(TR: 9.43692, TS: 9.01127) -> {880680199=21869806, 2087390487=568378, 1689826712=2354, 289890178=2354, 597022555=2354}]
[665469565(TR: 9.43856, TS: 8.98746) -> {880680199=53756692, 2087390487=1397102, 1689826712=5789, 289890178=5789, 597022555=5789}]
[700450161(TR: 9.44082, TS: 8.93910) -> {880680199=30718004, 2087390487=798338, 1689826712=3307, 289890178=3307, 597022555=3307}]
