[375468525(TR: 8.71921, TS: 7.97457) -> {880680199=35655764670, 2087390487=926666763, 1689826712=3838743, 289890178=3838743, 597022555=3838743}]
[1709228339(TR: 8.72082, TS: 7.92257) -> {880680199=79025800898, 2087390487=2053821929, 1689826712=8508082, 289890178=8508082, 597022555=8508082}]
[1830096864(TR: 8.72098, TS: 7.92350) -> {880680199=138452075348, 2087390487=3598266534, 1689826712=14905987, 289890178=14905987, 597022555=14905987}]
[622459349(TR: 8.72150, TS: 7.92796) -> {880680199=158051601796, 2087390487=4107643858, 1689826712=17016164, 289890178=17016164, 597022555=17016164}]
[361684922(TR: 8.72180, TS: 7.92844) -> {880680199=359149624156, 2087390487=9334031907, 1689826712=38666693, 289890178=38666693, 597022555=38666693}]
[184515263(TR: 8.72419, TS: 8.06245) -> {880680199=90911055788, 2087390487=2362710850, 1689826712=9787663, 289890178=9787663, 597022555=9787663}]
[1330650639(TR: 8.72444, TS: 7.95578) -> {880680199=193707366466, 2087390487=5034310621, 1689826712=20854907, 289890178=20854907, 597022555=20854907}]
[636322145(TR: 8.72474, TS: 7.94592) -> {880680199=11885254890, 2087390487=308888921, 1689826712=1279581, 289890178=1279581, 597022555=1279581}]
[1182656873(TR: 8.72554, TS: 7.93127) -> {880680199=426708461844, 2087390487=11089836216, 1689826712=45940290, 289890178=45940290, 597022555=45940290}]
[933644699(TR: 8.72566, TS: 7.92194) -> {880680199=79025800898, 2087390487=2053821929, 1689826712=8508082, 289890178=8508082, 597022555=8508082}]
[2018089222(TR: 8.72576, TS: 8.01981) -> {880680199=35655764670, 2087390487=926666763, 1689826712=3838743, 289890178=3838743, 597022555=3838743}]
[828828135(TR: 8.72753, TS: 7.90118) -> {880680199=79025800898, 2087390487=2053821929, 1689826712=8508082, 289890178=8508082, 597022555=8508082}]
[419002371(TR: 8.72808, TS: 7.96729) -> {880680199=318640731820, 2087390487=8281236000, 1689826712=34305470, 289890178=34305470, 597022555=34305470}]
[496373782(TR: 8.72877, TS: 8.00521) -> {880680199=35655764670, 2087390487=926666763, 1689826712=3838743, 289890178=3838743, 597022555=3838743}]
[698563339(TR: 8.72884, TS: 7.96378) -> {880680199=169936856686, 2087390487=4416532779, 1689826712=18295745, 289890178=18295745, 597022555=18295745}]
[797758985(TR: 8.72884, TS: 7.96378) -> {880680199=169936856686, 2087390487=4416532779, 1689826712=18295745, 289890178=18295745, 597022555=18295745}]
[2095487643(TR: 8.72911, TS: 7.93303) -> {880680199=205592621356, 2087390487=5343199542, 1689826712=22134488, 289890178=22134488, 597022555=22134488}]
[1365062577(TR: 8.72944, TS: 7.97482) -> {880680199=35655764670, 2087390487=926666763, 1689826712=3838743, 289890178=3838743, 597022555=3838743}]
[1637229042(TR: 8.72948, TS: 8.04792) -> {880680199=102796310678, 2087390487=2671599771, 1689826712=11067244, 289890178=11067244, 597022555=11067244}]
[677617495(TR: 8.72959, TS: 7.91865) -> {880680199=254546898814, 2087390487=6615484768, 1689826712=27404972, 289890178=27404972, 597022555=27404972}]
[1620699778(TR: 8.72989, TS: 7.95222) -> {880680199=79025800898, 2087390487=2053821929, 1689826712=8508082, 289890178=8508082, 597022555=8508082}]
[1491176859(TR: 8.73022, TS: 7.92022) -> {880680199=102796310678, 2087390487=2671599771, 1689826712=11067244, 289890178=11067244, 597022555=11067244}]
[136883908(TR: 8.73044, TS: 7.98610) -> {880680199=169936856686, 2087390487=4416532779, 1689826712=18295745, 289890178=18295745, 597022555=18295745}]
[1015353777(TR: 8.73063, TS: 8.06260) -> {880680199=242661643924, 2087390487=6306595847, 1689826712=26125391, 289890178=26125391, 597022555=26125391}]
[325525849(TR: 8.73070, TS: 7.98439) -> {880680199=434525568194, 2087390487=11292996876, 1689826712=46781860, 289890178=46781860, 597022555=46781860}]
[1203698683(TR: 8.73140, TS: 8.02932) -> {880680199=169936856686, 2087390487=4416532779, 1689826712=18295745, 289890178=18295745, 597022555=18295745}]
[179118918(TR: 8.73143, TS: 7.98997) -> {880680199=138452075348, 2087390487=3598266534, 1689826712=14905987, 289890178=14905987, 597022555=14905987}]
[514962235(TR: 8.73193, TS: 8.05392) -> {880680199=487883502474, 2087390487=12679730087, 1689826712=52526511, 289890178=52526511, 597022555=52526511}]
[888550493(TR: 8.73212, TS: 8.07932) -> {880680199=90911055788, 2087390487=2362710850, 1689826712=9787663, 289890178=9787663, 597022555=9787663}]
[69693467(TR: 8.73222, TS: 7.96151) -> {880680199=47541019560, 2087390487=1235555684, 1689826712=5118324, 289890178=5118324, 597022555=5118324}]
[1744028874(TR: 8.73235, TS: 7.93626) -> {880680199=398869803524, 2087390487=10366330113, 1689826712=42943117, 289890178=42943117, 597022555=42943117}]
