[2013582883(TR: 8.19164, TS: 7.34121) -> {880680199=403569241901996, 2087390487=10488464789138, 1689826712=43448996344, 289890178=43448996344, 597022555=43448996344}]
[1074610806(TR: 8.19508, TS: 7.36690) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[1529600448(TR: 8.19549, TS: 7.35935) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[1275570270(TR: 8.19586, TS: 7.35955) -> {880680199=2017846209509980, 2087390487=52442323945690, 1689826712=217244981720, 289890178=217244981720, 597022555=217244981720}]
[416418365(TR: 8.19601, TS: 7.37778) -> {880680199=1614276967607984, 2087390487=41953859156552, 1689826712=173795985376, 289890178=173795985376, 597022555=173795985376}]
[1186558666(TR: 8.19706, TS: 7.41277) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[1821214361(TR: 8.19780, TS: 7.35928) -> {880680199=3750936062327126, 2087390487=97484041723158, 1689826712=403832577574, 289890178=403832577574, 597022555=403832577574}]
[498697742(TR: 8.19811, TS: 7.36906) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[364049510(TR: 8.19820, TS: 7.37365) -> {880680199=1614276967607984, 2087390487=41953859156552, 1689826712=173795985376, 289890178=173795985376, 597022555=173795985376}]
[412154680(TR: 8.19935, TS: 7.36179) -> {880680199=2978885778091110, 2087390487=77419028382650, 1689826712=320712243390, 289890178=320712243390, 597022555=320712243390}]
[413732861(TR: 8.20018, TS: 7.43109) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[1232167696(TR: 8.20089, TS: 7.35368) -> {880680199=1614276967607984, 2087390487=41953859156552, 1689826712=173795985376, 289890178=173795985376, 597022555=173795985376}]
[1273147292(TR: 8.20137, TS: 7.36166) -> {880680199=3632123177117964, 2087390487=94396183102242, 1689826712=391040967096, 289890178=391040967096, 597022555=391040967096}]
[1412748515(TR: 8.20220, TS: 7.35768) -> {880680199=3087540014490126, 2087390487=80242871271818, 1689826712=332410156494, 289890178=332410156494, 597022555=332410156494}]
[70451071(TR: 8.20317, TS: 7.36541) -> {880680199=3632123177117964, 2087390487=94396183102242, 1689826712=391040967096, 289890178=391040967096, 597022555=391040967096}]
[1176073482(TR: 8.20440, TS: 7.37587) -> {880680199=2017846209509980, 2087390487=52442323945690, 1689826712=217244981720, 289890178=217244981720, 597022555=217244981720}]
[416918554(TR: 8.20445, TS: 7.29749) -> {880680199=403569241901996, 2087390487=10488464789138, 1689826712=43448996344, 289890178=43448996344, 597022555=43448996344}]
[1782116398(TR: 8.20447, TS: 7.22419) -> {880680199=1210707725705988, 2087390487=31465394367414, 1689826712=130346989032, 289890178=130346989032, 597022555=130346989032}]
[2036478737(TR: 8.20458, TS: 7.33835) -> {880680199=3929734769119186, 2087390487=102130887286009, 1689826712=423082370915, 289890178=423082370915, 597022555=423082370915}]
[1952364562(TR: 8.20463, TS: 7.35269) -> {880680199=1614276967607984, 2087390487=41953859156552, 1689826712=173795985376, 289890178=173795985376, 597022555=173795985376}]
[556954623(TR: 8.20575, TS: 7.35712) -> {880680199=3929734769119186, 2087390487=102130887286009, 1689826712=423082370915, 289890178=423082370915, 597022555=423082370915}]
[203841143(TR: 8.20575, TS: 7.35918) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[1681137241(TR: 8.20581, TS: 7.44747) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[1697363173(TR: 8.20612, TS: 7.45207) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[1471454772(TR: 8.20652, TS: 7.42631) -> {880680199=2017846209509980, 2087390487=52442323945690, 1689826712=217244981720, 289890178=217244981720, 597022555=217244981720}]
[1767876435(TR: 8.20685, TS: 7.38278) -> {880680199=2017846209509980, 2087390487=52442323945690, 1689826712=217244981720, 289890178=217244981720, 597022555=217244981720}]
[769506039(TR: 8.20707, TS: 7.44235) -> {880680199=2421415451411976, 2087390487=62930788734828, 1689826712=260693978064, 289890178=260693978064, 597022555=260693978064}]
[359247669(TR: 8.20780, TS: 7.36647) -> {880680199=2824984693313972, 2087390487=73419253523966, 1689826712=304142974408, 289890178=304142974408, 597022555=304142974408}]
[1725945490(TR: 8.20802, TS: 7.35444) -> {880680199=2421415451411976, 2087390487=62930788734828, 1689826712=260693978064, 289890178=260693978064, 597022555=260693978064}]
[1915654181(TR: 8.20825, TS: 7.47312) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[853841557(TR: 8.20865, TS: 7.44698) -> {880680199=2421415451411976, 2087390487=62930788734828, 1689826712=260693978064, 289890178=260693978064, 597022555=260693978064}]
[1789695995(TR: 8.20876, TS: 7.29659) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[1927260026(TR: 8.20926, TS: 7.34442) -> {880680199=2824984693313972, 2087390487=73419253523966, 1689826712=304142974408, 289890178=304142974408, 597022555=304142974408}]
[1953935036(TR: 8.20939, TS: 7.37993) -> {880680199=3632123177117964, 2087390487=94396183102242, 1689826712=391040967096, 289890178=391040967096, 597022555=391040967096}]
[1655758489(TR: 8.20965, TS: 7.42435) -> {880680199=3894678498294118, 2087390487=101219800850094, 1689826712=419308149182, 289890178=419308149182, 597022555=419308149182}]
[1814924923(TR: 8.20987, TS: 7.41674) -> {880680199=1210707725705988, 2087390487=31465394367414, 1689826712=130346989032, 289890178=130346989032, 597022555=130346989032}]
[1673920755(TR: 8.21009, TS: 7.40234) -> {880680199=2017846209509980, 2087390487=52442323945690, 1689826712=217244981720, 289890178=217244981720, 597022555=217244981720}]
[579096953(TR: 8.21049, TS: 7.35896) -> {880680199=1210707725705988, 2087390487=31465394367414, 1689826712=130346989032, 289890178=130346989032, 597022555=130346989032}]
