[192853047(TR: 9.17858, TS: 8.55729) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1705086669(TR: 9.18047, TS: 8.54008) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[64009759(TR: 9.18262, TS: 8.60216) -> {880680199=579534810, 2087390487=15061671, 1689826712=62391, 289890178=62391, 597022555=62391}]
[1225963105(TR: 9.18331, TS: 8.60644) -> {880680199=887418826, 2087390487=23063362, 1689826712=95543, 289890178=95543, 597022555=95543}]
[934505592(TR: 9.18334, TS: 8.60394) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1623791809(TR: 9.18335, TS: 8.60568) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1586322341(TR: 9.18344, TS: 8.60716) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1491824165(TR: 9.18423, TS: 8.52538) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[76966631(TR: 9.18466, TS: 8.61863) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[686429857(TR: 9.18502, TS: 8.57822) -> {880680199=722945466, 2087390487=18788811, 1689826712=77832, 289890178=77832, 597022555=77832}]
[470687850(TR: 9.18619, TS: 8.55777) -> {880680199=387698896, 2087390487=10076010, 1689826712=41741, 289890178=41741, 597022555=41741}]
[521666440(TR: 9.18719, TS: 8.54364) -> {880680199=496432474, 2087390487=12901900, 1689826712=53444, 289890178=53444, 597022555=53444}]
[677478367(TR: 9.18780, TS: 8.62765) -> {880680199=1202115656, 2087390487=31242129, 1689826712=129430, 289890178=129430, 597022555=129430}]
[1355168620(TR: 9.18885, TS: 8.61627) -> {880680199=387698896, 2087390487=10076010, 1689826712=41741, 289890178=41741, 597022555=41741}]
[1034312814(TR: 9.18905, TS: 8.57640) -> {880680199=621535316, 2087390487=16153237, 1689826712=66913, 289890178=66913, 597022555=66913}]
[493690861(TR: 9.18927, TS: 8.55745) -> {880680199=1223043222, 2087390487=31785973, 1689826712=131670, 289890178=131670, 597022555=131670}]
[1053889560(TR: 9.19111, TS: 8.51780) -> {880680199=920162720, 2087390487=23914365, 1689826712=99070, 289890178=99070, 597022555=99070}]
[1596802549(TR: 9.19181, TS: 8.61273) -> {880680199=286821312, 2087390487=7454280, 1689826712=30882, 289890178=30882, 597022555=30882}]
