[72818471(TR: 10.52319, TS: 10.09662) -> {880680199=1092, 2087390487=28}]
[653762821(TR: 10.52322, TS: 10.07802) -> {880680199=546, 2087390487=14}]
[1073382672(TR: 10.52322, TS: 10.04683) -> {880680199=5430, 2087390487=140}]
[945160514(TR: 10.52323, TS: 10.07248) -> {880680199=3276, 2087390487=84}]
[71606088(TR: 10.52331, TS: 10.05730) -> {880680199=2184, 2087390487=56}]
[530639180(TR: 10.52355, TS: 10.05009) -> {880680199=1092, 2087390487=28}]
[1956199853(TR: 10.52358, TS: 10.06042) -> {880680199=3276, 2087390487=84}]
[2093837933(TR: 10.52381, TS: 10.02753) -> {880680199=546, 2087390487=14}]
[1548947555(TR: 10.52385, TS: 10.01671) -> {880680199=1638, 2087390487=42}]
[1151428652(TR: 10.52405, TS: 10.04787) -> {880680199=1092, 2087390487=28}]
[2045268288(TR: 10.52425, TS: 10.06376) -> {880680199=2184, 2087390487=56}]
[1858205206(TR: 10.52480, TS: 10.16513) -> {880680199=1638, 2087390487=42}]
[710222757(TR: 10.52493, TS: 10.06680) -> {880680199=2730, 2087390487=70}]
[1702547147(TR: 10.52508, TS: 10.04473) -> {880680199=5976, 2087390487=154}]
[1587798389(TR: 10.52518, TS: 10.06654) -> {880680199=1638, 2087390487=42}]
[1068752369(TR: 10.52534, TS: 10.09813) -> {880680199=1638, 2087390487=42}]
[1014536617(TR: 10.52536, TS: 10.05228) -> {880680199=1638, 2087390487=42}]
[256316539(TR: 10.52542, TS: 10.13132) -> {880680199=1092, 2087390487=28}]
[1320084655(TR: 10.52551, TS: 10.07477) -> {880680199=2730, 2087390487=70}]
[1867773150(TR: 10.52553, TS: 10.08584) -> {880680199=1092, 2087390487=28}]
[396270924(TR: 10.52560, TS: 10.00686) -> {880680199=546, 2087390487=14}]
[550352648(TR: 10.52563, TS: 10.04732) -> {880680199=5976, 2087390487=154}]
[436188194(TR: 10.52588, TS: 10.07073) -> {880680199=2730, 2087390487=70}]
[1778009799(TR: 10.52613, TS: 10.07136) -> {880680199=1638, 2087390487=42}]
[174969417(TR: 10.52627, TS: 10.06097) -> {880680199=2730, 2087390487=70}]
[1205162491(TR: 10.52639, TS: 10.07397) -> {880680199=1638, 2087390487=42}]
[594523015(TR: 10.52644, TS: 10.02111) -> {880680199=1092, 2087390487=28}]
[412616019(TR: 10.52649, TS: 10.05546) -> {880680199=1638, 2087390487=42}]
[2080596883(TR: 10.52652, TS: 10.09705) -> {880680199=546, 2087390487=14}]
