[1264660160(TR: 9.14800, TS: 8.36932) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1252946000(TR: 9.16705, TS: 8.57159) -> {880680199=722945466, 2087390487=18788811, 1689826712=77832, 289890178=77832, 597022555=77832}]
[994773404(TR: 9.16895, TS: 8.54254) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[79214314(TR: 9.17085, TS: 8.50730) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1181585299(TR: 9.17317, TS: 8.52306) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[2146978814(TR: 9.17431, TS: 8.56679) -> {880680199=1301910372, 2087390487=33835684, 1689826712=140166, 289890178=140166, 597022555=140166}]
[471640692(TR: 9.17442, TS: 8.52719) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1574064379(TR: 9.17461, TS: 8.58843) -> {880680199=191214208, 2087390487=4969520, 1689826712=20588, 289890178=20588, 597022555=20588}]
[2003393989(TR: 9.17510, TS: 8.59702) -> {880680199=722945466, 2087390487=18788811, 1689826712=77832, 289890178=77832, 597022555=77832}]
[1249075053(TR: 9.17596, TS: 8.53683) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[860164957(TR: 9.17732, TS: 8.52633) -> {880680199=922466594, 2087390487=23974214, 1689826712=99313, 289890178=99313, 597022555=99313}]
[2095040582(TR: 9.17800, TS: 8.54809) -> {880680199=770749018, 2087390487=20031191, 1689826712=82979, 289890178=82979, 597022555=82979}]
[1105536365(TR: 9.17827, TS: 8.65126) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[297636363(TR: 9.17847, TS: 8.55667) -> {880680199=818552570, 2087390487=21273571, 1689826712=88126, 289890178=88126, 597022555=88126}]
[175744154(TR: 9.17858, TS: 8.55729) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[192853047(TR: 9.17858, TS: 8.55729) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[149344363(TR: 9.17861, TS: 8.55736) -> {880680199=1062219104, 2087390487=27606300, 1689826712=114364, 289890178=114364, 597022555=114364}]
[1614824023(TR: 9.17864, TS: 8.54695) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[487635358(TR: 9.17912, TS: 8.55004) -> {880680199=770127312, 2087390487=20015050, 1689826712=82917, 289890178=82917, 597022555=82917}]
[1510638546(TR: 9.17913, TS: 8.57459) -> {880680199=286821312, 2087390487=7454280, 1689826712=30882, 289890178=30882, 597022555=30882}]
[1691448688(TR: 9.17931, TS: 8.58863) -> {880680199=1322921274, 2087390487=34381752, 1689826712=142431, 289890178=142431, 597022555=142431}]
[107073863(TR: 9.17934, TS: 8.55077) -> {880680199=496432474, 2087390487=12901900, 1689826712=53444, 289890178=53444, 597022555=53444}]
[514151516(TR: 9.17941, TS: 8.53800) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[272580681(TR: 9.17978, TS: 8.58267) -> {880680199=1030829482, 2087390487=26790502, 1689826712=110984, 289890178=110984, 597022555=110984}]
[2141900235(TR: 9.18007, TS: 8.54200) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[2009714832(TR: 9.18010, TS: 8.52847) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1132096897(TR: 9.18012, TS: 8.60763) -> {880680199=1534031304, 2087390487=39868324, 1689826712=165153, 289890178=165153, 597022555=165153}]
[699220143(TR: 9.18039, TS: 8.59942) -> {880680199=835417426, 2087390487=21711876, 1689826712=89942, 289890178=89942, 597022555=89942}]
[12588228(TR: 9.18047, TS: 8.54008) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[968104220(TR: 9.18047, TS: 8.54008) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[699563470(TR: 9.18049, TS: 8.55802) -> {880680199=967966272, 2087390487=25156745, 1689826712=104217, 289890178=104217, 597022555=104217}]
[1784281199(TR: 9.18054, TS: 8.54029) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1790949332(TR: 9.18078, TS: 8.54607) -> {880680199=435502448, 2087390487=11318390, 1689826712=46888, 289890178=46888, 597022555=46888}]
[1943682918(TR: 9.18107, TS: 8.59036) -> {880680199=722323760, 2087390487=18772670, 1689826712=77770, 289890178=77770, 597022555=77770}]
[1237082334(TR: 9.18125, TS: 8.54296) -> {880680199=469639824, 2087390487=12205588, 1689826712=50562, 289890178=50562, 597022555=50562}]
[1812165382(TR: 9.18173, TS: 8.55957) -> {880680199=387698896, 2087390487=10076010, 1689826712=41741, 289890178=41741, 597022555=41741}]
[2073389125(TR: 9.18174, TS: 8.57164) -> {880680199=1562560740, 2087390487=40609793, 1689826712=168228, 289890178=168228, 597022555=168228}]
[1494636894(TR: 9.18186, TS: 8.56375) -> {880680199=1004276696, 2087390487=26100434, 1689826712=108130, 289890178=108130, 597022555=108130}]
[1929803826(TR: 9.18186, TS: 8.60274) -> {880680199=1910763004, 2087390487=49659306, 1689826712=205715, 289890178=205715, 597022555=205715}]
[82492951(TR: 9.18187, TS: 8.58311) -> {880680199=1649150442, 2087390487=42860200, 1689826712=177552, 289890178=177552, 597022555=177552}]
[1416444303(TR: 9.18191, TS: 8.55068) -> {880680199=1063573376, 2087390487=27641505, 1689826712=114511, 289890178=114511, 597022555=114511}]
[1062885109(TR: 9.18233, TS: 8.61179) -> {880680199=1088472052, 2087390487=28288560, 1689826712=117182, 289890178=117182, 597022555=117182}]
[2136833732(TR: 9.18252, TS: 8.60234) -> {880680199=905763978, 2087390487=23540119, 1689826712=97512, 289890178=97512, 597022555=97512}]
[781614398(TR: 9.18256, TS: 8.61299) -> {880680199=1166754834, 2087390487=30323084, 1689826712=125613, 289890178=125613, 597022555=125613}]
[327850018(TR: 9.18262, TS: 8.60216) -> {880680199=579534810, 2087390487=15061671, 1689826712=62391, 289890178=62391, 597022555=62391}]
[2123012440(TR: 9.18271, TS: 8.57406) -> {880680199=779055938, 2087390487=20247074, 1689826712=83872, 289890178=83872, 597022555=83872}]
[1781883667(TR: 9.18275, TS: 8.59663) -> {880680199=239017760, 2087390487=6211900, 1689826712=25735, 289890178=25735, 597022555=25735}]
[2010619110(TR: 9.18277, TS: 8.56207) -> {880680199=983025930, 2087390487=25548122, 1689826712=105837, 289890178=105837, 597022555=105837}]
[811286966(TR: 9.18282, TS: 8.59869) -> {880680199=887418826, 2087390487=23063362, 1689826712=95543, 289890178=95543, 597022555=95543}]
[439443132(TR: 9.18287, TS: 8.61481) -> {880680199=613050480, 2087390487=15932728, 1689826712=66003, 289890178=66003, 597022555=66003}]
[1541245714(TR: 9.18330, TS: 8.61264) -> {880680199=639843130, 2087390487=16629040, 1689826712=68885, 289890178=68885, 597022555=68885}]
[279317539(TR: 9.18341, TS: 8.60678) -> {880680199=286821312, 2087390487=7454280, 1689826712=30882, 289890178=30882, 597022555=30882}]
[2048571760(TR: 9.18344, TS: 8.60708) -> {880680199=286821312, 2087390487=7454280, 1689826712=30882, 289890178=30882, 597022555=30882}]
[1783548977(TR: 9.18371, TS: 8.60082) -> {880680199=1707044028, 2087390487=44364797, 1689826712=183780, 289890178=183780, 597022555=183780}]
[1576816497(TR: 9.18376, TS: 8.61643) -> {880680199=826859490, 2087390487=21489454, 1689826712=89019, 289890178=89019, 597022555=89019}]
[2107344889(TR: 9.18409, TS: 8.60754) -> {880680199=430231968, 2087390487=11181420, 1689826712=46323, 289890178=46323, 597022555=46323}]
[1390764035(TR: 9.18411, TS: 8.52847) -> {880680199=531109552, 2087390487=13803150, 1689826712=57182, 289890178=57182, 597022555=57182}]
[1314263338(TR: 9.18427, TS: 8.61569) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1911445590(TR: 9.18427, TS: 8.61569) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1357626845(TR: 9.18454, TS: 8.58808) -> {880680199=1618671212, 2087390487=42068056, 1689826712=174268, 289890178=174268, 597022555=174268}]
[704068283(TR: 9.18475, TS: 8.61139) -> {880680199=239017760, 2087390487=6211900, 1689826712=25735, 289890178=25735, 597022555=25735}]
[1473683950(TR: 9.18482, TS: 8.52467) -> {880680199=531109552, 2087390487=13803150, 1689826712=57182, 289890178=57182, 597022555=57182}]
[1425637290(TR: 9.18483, TS: 8.61670) -> {880680199=1144160032, 2087390487=29735878, 1689826712=123185, 289890178=123185, 597022555=123185}]
[1500591549(TR: 9.18488, TS: 8.58995) -> {880680199=1063573376, 2087390487=27641505, 1689826712=114511, 289890178=114511, 597022555=114511}]
[1237581514(TR: 9.18503, TS: 8.55370) -> {880680199=1104841316, 2087390487=28714007, 1689826712=118948, 289890178=118948, 597022555=118948}]
[729345997(TR: 9.18514, TS: 8.52697) -> {880680199=1341998992, 2087390487=34877573, 1689826712=144485, 289890178=144485, 597022555=144485}]
[878956839(TR: 9.18517, TS: 8.57789) -> {880680199=1101176034, 2087390487=28618745, 1689826712=118554, 289890178=118554, 597022555=118554}]
[1685046987(TR: 9.18531, TS: 8.55181) -> {880680199=779055938, 2087390487=20247074, 1689826712=83872, 289890178=83872, 597022555=83872}]
[848056610(TR: 9.18534, TS: 8.54311) -> {880680199=531109552, 2087390487=13803150, 1689826712=57182, 289890178=57182, 597022555=57182}]
[1592182329(TR: 9.18541, TS: 8.61281) -> {880680199=613050480, 2087390487=15932728, 1689826712=66003, 289890178=66003, 597022555=66003}]
[1957092907(TR: 9.18545, TS: 8.53867) -> {880680199=722945466, 2087390487=18788811, 1689826712=77832, 289890178=77832, 597022555=77832}]
[1860507626(TR: 9.18552, TS: 8.60188) -> {880680199=1359323314, 2087390487=35327809, 1689826712=146348, 289890178=146348, 597022555=146348}]
[1043357269(TR: 9.18564, TS: 8.57925) -> {880680199=2042150020, 2087390487=53073926, 1689826712=219851, 289890178=219851, 597022555=219851}]
[1443860644(TR: 9.18568, TS: 8.56345) -> {880680199=800066840, 2087390487=20793142, 1689826712=86137, 289890178=86137, 597022555=86137}]
[337267656(TR: 9.18571, TS: 8.56282) -> {880680199=1322921274, 2087390487=34381752, 1689826712=142431, 289890178=142431, 597022555=142431}]
[1376146662(TR: 9.18579, TS: 8.52168) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1861773829(TR: 9.18592, TS: 8.53147) -> {880680199=826859490, 2087390487=21489454, 1689826712=89019, 289890178=89019, 597022555=89019}]
[1146641870(TR: 9.18616, TS: 8.53190) -> {880680199=861536568, 2087390487=22390704, 1689826712=92757, 289890178=92757, 597022555=92757}]
[47848070(TR: 9.18622, TS: 8.58542) -> {880680199=1043371588, 2087390487=27116445, 1689826712=112328, 289890178=112328, 597022555=112328}]
[1645989727(TR: 9.18632, TS: 8.62227) -> {880680199=1807581546, 2087390487=46977727, 1689826712=194613, 289890178=194613, 597022555=194613}]
[1327380827(TR: 9.18635, TS: 8.57678) -> {880680199=387698896, 2087390487=10076010, 1689826712=41741, 289890178=41741, 597022555=41741}]
[1227795291(TR: 9.18647, TS: 8.61054) -> {880680199=565246928, 2087390487=14690348, 1689826712=60856, 289890178=60856, 597022555=60856}]
[460494546(TR: 9.18669, TS: 8.58020) -> {880680199=1706881788, 2087390487=44360587, 1689826712=183765, 289890178=183765, 597022555=183765}]
[657445844(TR: 9.18669, TS: 8.62254) -> {880680199=191214208, 2087390487=4969520, 1689826712=20588, 289890178=20588, 597022555=20588}]
[424014475(TR: 9.18692, TS: 8.57641) -> {880680199=1692683046, 2087390487=43991561, 1689826712=182232, 289890178=182232, 597022555=182232}]
[630060683(TR: 9.18694, TS: 8.60018) -> {880680199=483306000, 2087390487=12560770, 1689826712=52035, 289890178=52035, 597022555=52035}]
[709239022(TR: 9.18695, TS: 8.54981) -> {880680199=674520208, 2087390487=17530290, 1689826712=72623, 289890178=72623, 597022555=72623}]
[1932457729(TR: 9.18703, TS: 8.56607) -> {880680199=334624864, 2087390487=8696660, 1689826712=36029, 289890178=36029, 597022555=36029}]
[1170833989(TR: 9.18704, TS: 8.61828) -> {880680199=1202115656, 2087390487=31242129, 1689826712=129430, 289890178=129430, 597022555=129430}]
[255466969(TR: 9.18709, TS: 8.56278) -> {880680199=1307321914, 2087390487=33976323, 1689826712=140747, 289890178=140747, 597022555=140747}]
[350231936(TR: 9.18731, TS: 8.58906) -> {880680199=1313542086, 2087390487=34137973, 1689826712=141414, 289890178=141414, 597022555=141414}]
[275936994(TR: 9.18744, TS: 8.54804) -> {880680199=1416595194, 2087390487=36816265, 1689826712=152514, 289890178=152514, 597022555=152514}]
[429917443(TR: 9.18745, TS: 8.59623) -> {880680199=382428416, 2087390487=9939040, 1689826712=41176, 289890178=41176, 597022555=41176}]
[1177225019(TR: 9.18777, TS: 8.59315) -> {880680199=500630322, 2087390487=13011006, 1689826712=53898, 289890178=53898, 597022555=53898}]
[1379081827(TR: 9.18801, TS: 8.58170) -> {880680199=1706881788, 2087390487=44360587, 1689826712=183765, 289890178=183765, 597022555=183765}]
[1366669217(TR: 9.18807, TS: 8.59655) -> {880680199=374032720, 2087390487=9720828, 1689826712=40268, 289890178=40268, 597022555=40268}]
[1222916241(TR: 9.18813, TS: 8.56619) -> {880680199=1248251972, 2087390487=32441147, 1689826712=134389, 289890178=134389, 597022555=134389}]
[1458105449(TR: 9.18815, TS: 8.60273) -> {880680199=596237426, 2087390487=15495766, 1689826712=64192, 289890178=64192, 597022555=64192}]
[484585681(TR: 9.18818, TS: 8.56001) -> {880680199=578913104, 2087390487=15045530, 1689826712=62329, 289890178=62329, 597022555=62329}]
[1616266323(TR: 9.18825, TS: 8.56325) -> {880680199=613050480, 2087390487=15932728, 1689826712=66003, 289890178=66003, 597022555=66003}]
[161470584(TR: 9.18832, TS: 8.61854) -> {880680199=2361296136, 2087390487=61368394, 1689826712=254235, 289890178=254235, 597022555=254235}]
[411428486(TR: 9.18841, TS: 8.55013) -> {880680199=1292301466, 2087390487=33585936, 1689826712=139127, 289890178=139127, 597022555=139127}]
[367802879(TR: 9.18857, TS: 8.58286) -> {880680199=674520208, 2087390487=17530290, 1689826712=72623, 289890178=72623, 597022555=72623}]
[1196069837(TR: 9.18860, TS: 8.56167) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[811716420(TR: 9.18863, TS: 8.56696) -> {880680199=1541698036, 2087390487=40067602, 1689826712=165983, 289890178=165983, 597022555=165983}]
[132627992(TR: 9.18879, TS: 8.57672) -> {880680199=621535316, 2087390487=16153237, 1689826712=66913, 289890178=66913, 597022555=66913}]
[1940933850(TR: 9.18880, TS: 8.51275) -> {880680199=1202115656, 2087390487=31242129, 1689826712=129430, 289890178=129430, 597022555=129430}]
[1626832282(TR: 9.18891, TS: 8.61619) -> {880680199=918808448, 2087390487=23879160, 1689826712=98923, 289890178=98923, 597022555=98923}]
[1582466351(TR: 9.18939, TS: 8.54633) -> {880680199=286821312, 2087390487=7454280, 1689826712=30882, 289890178=30882, 597022555=30882}]
[1694496643(TR: 9.18951, TS: 8.56888) -> {880680199=2003082742, 2087390487=52058650, 1689826712=215657, 289890178=215657, 597022555=215657}]
[358134106(TR: 9.18966, TS: 8.55641) -> {880680199=1786518842, 2087390487=46430316, 1689826712=192343, 289890178=192343, 597022555=192343}]
[1318585798(TR: 9.18971, TS: 8.57593) -> {880680199=2030463778, 2087390487=52770224, 1689826712=218597, 289890178=218597, 597022555=218597}]
[78224071(TR: 9.18974, TS: 8.61826) -> {880680199=1559335322, 2087390487=40525995, 1689826712=167887, 289890178=167887, 597022555=167887}]
[527509054(TR: 9.18998, TS: 8.59354) -> {880680199=525839072, 2087390487=13666180, 1689826712=56617, 289890178=56617, 597022555=56617}]
[1332975339(TR: 9.19026, TS: 8.53190) -> {880680199=2189655222, 2087390487=56907513, 1689826712=235740, 289890178=235740, 597022555=235740}]
[1103826166(TR: 9.19051, TS: 8.56482) -> {880680199=1306507344, 2087390487=33955170, 1689826712=140664, 289890178=140664, 597022555=140664}]
[159173034(TR: 9.19056, TS: 8.55242) -> {880680199=2116997660, 2087390487=55019213, 1689826712=227923, 289890178=227923, 597022555=227923}]
[531258989(TR: 9.19074, TS: 8.55711) -> {880680199=930951430, 2087390487=24194723, 1689826712=100223, 289890178=100223, 597022555=100223}]
[1279084477(TR: 9.19081, TS: 8.50266) -> {880680199=1380193154, 2087390487=35870208, 1689826712=148597, 289890178=148597, 597022555=148597}]
[1426607728(TR: 9.19101, TS: 8.61410) -> {880680199=744918562, 2087390487=19359876, 1689826712=80198, 289890178=80198, 597022555=80198}]
[987163874(TR: 9.19104, TS: 8.60485) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[2000852195(TR: 9.19109, TS: 8.58740) -> {880680199=871004896, 2087390487=22636780, 1689826712=93776, 289890178=93776, 597022555=93776}]
[1365521689(TR: 9.19118, TS: 8.63014) -> {880680199=1759107466, 2087390487=45717937, 1689826712=189398, 289890178=189398, 597022555=189398}]
[1174964875(TR: 9.19132, TS: 8.51925) -> {880680199=2486701706, 2087390487=64627577, 1689826712=267733, 289890178=267733, 597022555=267733}]
[1270140756(TR: 9.19133, TS: 8.59755) -> {880680199=970270146, 2087390487=25216594, 1689826712=104460, 289890178=104460, 597022555=104460}]
[674410317(TR: 9.19136, TS: 8.61126) -> {880680199=2225459834, 2087390487=57838073, 1689826712=239602, 289890178=239602, 597022555=239602}]
[1485740975(TR: 9.19143, TS: 8.54018) -> {880680199=2303208354, 2087390487=59858650, 1689826712=247959, 289890178=247959, 597022555=247959}]
[1523588839(TR: 9.19143, TS: 8.52145) -> {880680199=967966272, 2087390487=25156745, 1689826712=104217, 289890178=104217, 597022555=104217}]
[938718342(TR: 9.19148, TS: 8.47633) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
