[1022667424(TR: 9.91233, TS: 9.61159) -> {880680199=130366, 2087390487=3388, 1689826712=14, 289890178=14, 597022555=14}]
[695460363(TR: 9.91312, TS: 9.43801) -> {880680199=177014, 2087390487=4600, 1689826712=19, 289890178=19, 597022555=19}]
[704853295(TR: 9.92751, TS: 9.58044) -> {880680199=130366, 2087390487=3388, 1689826712=14, 289890178=14, 597022555=14}]
[2090644299(TR: 9.93069, TS: 9.54605) -> {880680199=130366, 2087390487=3388, 1689826712=14, 289890178=14, 597022555=14}]
[1732710710(TR: 9.93087, TS: 9.54330) -> {880680199=130366, 2087390487=3388, 1689826712=14, 289890178=14, 597022555=14}]
[1696901074(TR: 9.93124, TS: 9.56467) -> {880680199=130366, 2087390487=3388, 1689826712=14, 289890178=14, 597022555=14}]
[1408328391(TR: 9.93836, TS: 9.46641) -> {880680199=194722, 2087390487=5058, 1689826712=20, 289890178=20, 597022555=20}]
[1625853915(TR: 9.94437, TS: 9.55783) -> {880680199=716096, 2087390487=18610, 1689826712=76, 289890178=76, 597022555=76}]
[2046262886(TR: 9.94699, TS: 9.54593) -> {880680199=130366, 2087390487=3388, 1689826712=14, 289890178=14, 597022555=14}]
[959270077(TR: 9.94735, TS: 9.47900) -> {880680199=68444, 2087390487=1778, 1689826712=7, 289890178=7, 597022555=7}]
[1628632581(TR: 9.94881, TS: 9.58105) -> {880680199=130366, 2087390487=3388, 1689826712=14, 289890178=14, 597022555=14}]
[1159736235(TR: 9.95195, TS: 9.50934) -> {880680199=108570, 2087390487=2822, 1689826712=12, 289890178=12, 597022555=12}]
[124152103(TR: 9.95398, TS: 9.55946) -> {880680199=192288, 2087390487=4998, 1689826712=21, 289890178=21, 597022555=21}]
[1417512402(TR: 9.95575, TS: 9.59491) -> {880680199=393252, 2087390487=10220, 1689826712=42, 289890178=42, 597022555=42}]
[581563270(TR: 9.95636, TS: 9.58845) -> {880680199=273306, 2087390487=7104, 1689826712=30, 289890178=30, 597022555=30}]
[1720776971(TR: 9.95672, TS: 9.52235) -> {880680199=238936, 2087390487=6210, 1689826712=26, 289890178=26, 597022555=26}]
