[58623746(TR: 9.20262, TS: 8.60655) -> {880680199=278425616, 2087390487=7236068, 1689826712=29974, 289890178=29974, 597022555=29974}]
[712189703(TR: 9.20806, TS: 8.55641) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[1186720503(TR: 9.21445, TS: 8.68131) -> {880680199=309416114, 2087390487=8041486, 1689826712=33310, 289890178=33310, 597022555=33310}]
[767829560(TR: 9.21459, TS: 8.46503) -> {880680199=387698896, 2087390487=10076010, 1689826712=41741, 289890178=41741, 597022555=41741}]
[1517679125(TR: 9.21553, TS: 8.62207) -> {880680199=387698896, 2087390487=10076010, 1689826712=41741, 289890178=41741, 597022555=41741}]
[1762508099(TR: 9.21563, TS: 8.57141) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1895308999(TR: 9.21638, TS: 8.63715) -> {880680199=435502448, 2087390487=11318390, 1689826712=46888, 289890178=46888, 597022555=46888}]
[2080445190(TR: 9.21650, TS: 8.59990) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[160543689(TR: 9.21709, TS: 8.60198) -> {880680199=435502448, 2087390487=11318390, 1689826712=46888, 289890178=46888, 597022555=46888}]
[234020893(TR: 9.21728, TS: 8.60569) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[1036831042(TR: 9.21768, TS: 8.61875) -> {880680199=278425616, 2087390487=7236068, 1689826712=29974, 289890178=29974, 597022555=29974}]
[1235317982(TR: 9.21772, TS: 8.62483) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1303026136(TR: 9.21862, TS: 8.61733) -> {880680199=309416114, 2087390487=8041486, 1689826712=33310, 289890178=33310, 597022555=33310}]
[1472363128(TR: 9.21950, TS: 8.64100) -> {880680199=309416114, 2087390487=8041486, 1689826712=33310, 289890178=33310, 597022555=33310}]
[615048197(TR: 9.21961, TS: 8.61101) -> {880680199=309416114, 2087390487=8041486, 1689826712=33310, 289890178=33310, 597022555=33310}]
[203370267(TR: 9.21964, TS: 8.57641) -> {880680199=278425616, 2087390487=7236068, 1689826712=29974, 289890178=29974, 597022555=29974}]
[1322954178(TR: 9.22015, TS: 8.60961) -> {880680199=309416114, 2087390487=8041486, 1689826712=33310, 289890178=33310, 597022555=33310}]
[1462208920(TR: 9.22020, TS: 8.55519) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[326248638(TR: 9.22056, TS: 8.66647) -> {880680199=374032720, 2087390487=9720828, 1689826712=40268, 289890178=40268, 597022555=40268}]
[1726003772(TR: 9.22078, TS: 8.65415) -> {880680199=435502448, 2087390487=11318390, 1689826712=46888, 289890178=46888, 597022555=46888}]
[2102374303(TR: 9.22079, TS: 8.65482) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[374313703(TR: 9.22092, TS: 8.61189) -> {880680199=1112195032, 2087390487=28905116, 1689826712=119738, 289890178=119738, 597022555=119738}]
[351956808(TR: 9.22107, TS: 8.60669) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[1999111857(TR: 9.22118, TS: 8.57744) -> {880680199=191214208, 2087390487=4969520, 1689826712=20588, 289890178=20588, 597022555=20588}]
[2006678684(TR: 9.22119, TS: 8.62325) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[497614882(TR: 9.22123, TS: 8.60925) -> {880680199=835344326, 2087390487=21709963, 1689826712=89929, 289890178=89929, 597022555=89929}]
[1525595376(TR: 9.22124, TS: 8.65214) -> {880680199=580267376, 2087390487=15080735, 1689826712=62476, 289890178=62476, 597022555=62476}]
[1833182354(TR: 9.22135, TS: 8.56180) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1100470842(TR: 9.22136, TS: 8.65282) -> {880680199=717455384, 2087390487=18646154, 1689826712=77248, 289890178=77248, 597022555=77248}]
[350906938(TR: 9.22152, TS: 8.61415) -> {880680199=532463824, 2087390487=13838355, 1689826712=57329, 289890178=57329, 597022555=57329}]
[1003244907(TR: 9.22170, TS: 8.60338) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[2002816564(TR: 9.22178, TS: 8.65040) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[148491496(TR: 9.22181, TS: 8.58887) -> {880680199=278425616, 2087390487=7236068, 1689826712=29974, 289890178=29974, 597022555=29974}]
[1336269939(TR: 9.22206, TS: 8.57402) -> {880680199=239017760, 2087390487=6211900, 1689826712=25735, 289890178=25735, 597022555=25735}]
[383477753(TR: 9.22259, TS: 8.62082) -> {880680199=910970824, 2087390487=23675443, 1689826712=98072, 289890178=98072, 597022555=98072}]
[1706641976(TR: 9.22265, TS: 8.59963) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[591488235(TR: 9.22270, TS: 8.62978) -> {880680199=278425616, 2087390487=7236068, 1689826712=29974, 289890178=29974, 597022555=29974}]
[1114010292(TR: 9.22297, TS: 8.61768) -> {880680199=976051894, 2087390487=25366838, 1689826712=105077, 289890178=105077, 597022555=105077}]
[265232814(TR: 9.22301, TS: 8.60708) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[537416421(TR: 9.22329, TS: 8.73906) -> {880680199=413581154, 2087390487=10748668, 1689826712=44527, 289890178=44527, 597022555=44527}]
[147201075(TR: 9.22342, TS: 8.69325) -> {880680199=278425616, 2087390487=7236068, 1689826712=29974, 289890178=29974, 597022555=29974}]
[2042903629(TR: 9.22349, TS: 8.61417) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[267432074(TR: 9.22351, TS: 8.60709) -> {880680199=191214208, 2087390487=4969520, 1689826712=20588, 289890178=20588, 597022555=20588}]
[1837978859(TR: 9.22358, TS: 8.61938) -> {880680199=573731764, 2087390487=14910857, 1689826712=61766, 289890178=61766, 597022555=61766}]
[1435691757(TR: 9.22387, TS: 8.58133) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[225215046(TR: 9.22400, TS: 8.67876) -> {880680199=374032720, 2087390487=9720828, 1689826712=40268, 289890178=40268, 597022555=40268}]
[127014785(TR: 9.22423, TS: 8.58100) -> {880680199=191214208, 2087390487=4969520, 1689826712=20588, 289890178=20588, 597022555=20588}]
[4137364(TR: 9.22426, TS: 8.71679) -> {880680199=278425616, 2087390487=7236068, 1689826712=29974, 289890178=29974, 597022555=29974}]
[1119381244(TR: 9.22431, TS: 8.60371) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[732930655(TR: 9.22438, TS: 8.55827) -> {880680199=765258936, 2087390487=19888534, 1689826712=82395, 289890178=82395, 597022555=82395}]
[1016501940(TR: 9.22444, TS: 8.60860) -> {880680199=580267376, 2087390487=15080735, 1689826712=62476, 289890178=62476, 597022555=62476}]
[1163666227(TR: 9.22446, TS: 8.65391) -> {880680199=484660272, 2087390487=12595975, 1689826712=52182, 289890178=52182, 597022555=52182}]
[1146237666(TR: 9.22468, TS: 8.65533) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[314170733(TR: 9.22478, TS: 8.63589) -> {880680199=525928212, 2087390487=13668477, 1689826712=56619, 289890178=56619, 597022555=56619}]
[437439160(TR: 9.22496, TS: 8.58807) -> {880680199=421836272, 2087390487=10963208, 1689826712=45415, 289890178=45415, 597022555=45415}]
[1047734130(TR: 9.22500, TS: 8.58776) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1801705340(TR: 9.22509, TS: 8.62469) -> {880680199=226988964, 2087390487=5899274, 1689826712=24438, 289890178=24438, 597022555=24438}]
[938294728(TR: 9.22518, TS: 8.53425) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1000760967(TR: 9.22535, TS: 8.61705) -> {880680199=496432474, 2087390487=12901900, 1689826712=53444, 289890178=53444, 597022555=53444}]
[482971190(TR: 9.22540, TS: 8.55208) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1768190692(TR: 9.22545, TS: 8.60496) -> {880680199=580267376, 2087390487=15080735, 1689826712=62476, 289890178=62476, 597022555=62476}]
[934875517(TR: 9.22548, TS: 8.56957) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1067703123(TR: 9.22551, TS: 8.60615) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1875593903(TR: 9.22552, TS: 8.61205) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[636675808(TR: 9.22558, TS: 8.64864) -> {880680199=191214208, 2087390487=4969520, 1689826712=20588, 289890178=20588, 597022555=20588}]
[1514093018(TR: 9.22559, TS: 8.54932) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
