[1249450626(TR: 9.22596, TS: 8.63314) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1769293560(TR: 9.22656, TS: 8.61306) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1973597263(TR: 9.22672, TS: 8.59212) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1656548005(TR: 9.22761, TS: 8.64089) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1620267386(TR: 9.22791, TS: 8.65415) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[596810006(TR: 9.23136, TS: 8.66165) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1131565543(TR: 9.23235, TS: 8.58781) -> {880680199=139212808, 2087390487=3618034, 1689826712=14987, 289890178=14987, 597022555=14987}]
[1184785134(TR: 9.23386, TS: 8.59120) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1014817734(TR: 9.23469, TS: 8.61338) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[194090870(TR: 9.23469, TS: 8.69513) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1513951882(TR: 9.23518, TS: 8.59723) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1870762545(TR: 9.23584, TS: 8.62070) -> {880680199=387698896, 2087390487=10076010, 1689826712=41741, 289890178=41741, 597022555=41741}]
[876101332(TR: 9.23630, TS: 8.61928) -> {880680199=387698896, 2087390487=10076010, 1689826712=41741, 289890178=41741, 597022555=41741}]
[857027842(TR: 9.23654, TS: 8.63034) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[26138792(TR: 9.23671, TS: 8.60793) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[1652413106(TR: 9.23672, TS: 8.58066) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[390504119(TR: 9.23674, TS: 8.63350) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[224461944(TR: 9.23676, TS: 8.63137) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[1450848385(TR: 9.23678, TS: 8.63523) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[2052966116(TR: 9.23680, TS: 8.62470) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1991865183(TR: 9.23680, TS: 8.62684) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[1428813849(TR: 9.23712, TS: 8.61828) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1357800448(TR: 9.23717, TS: 8.61842) -> {880680199=217868272, 2087390487=5662234, 1689826712=23456, 289890178=23456, 597022555=23456}]
[1150345759(TR: 9.23717, TS: 8.61841) -> {880680199=387698896, 2087390487=10076010, 1689826712=41741, 289890178=41741, 597022555=41741}]
[2039366233(TR: 9.23721, TS: 8.63490) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1677562945(TR: 9.23742, TS: 8.61996) -> {880680199=226988964, 2087390487=5899274, 1689826712=24438, 289890178=24438, 597022555=24438}]
[1074799194(TR: 9.23763, TS: 8.58847) -> {880680199=387698896, 2087390487=10076010, 1689826712=41741, 289890178=41741, 597022555=41741}]
[55812189(TR: 9.23782, TS: 8.65934) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[147109604(TR: 9.23788, TS: 8.60962) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[127169569(TR: 9.23795, TS: 8.69370) -> {880680199=484660272, 2087390487=12595975, 1689826712=52182, 289890178=52182, 597022555=52182}]
[1188529275(TR: 9.23798, TS: 8.62477) -> {880680199=430321108, 2087390487=11183717, 1689826712=46325, 289890178=46325, 597022555=46325}]
[1478006196(TR: 9.23809, TS: 8.63943) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[1967549381(TR: 9.23809, TS: 8.61664) -> {880680199=387698896, 2087390487=10076010, 1689826712=41741, 289890178=41741, 597022555=41741}]
[1373060144(TR: 9.23839, TS: 8.64260) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[735682093(TR: 9.23840, TS: 8.65131) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[930089943(TR: 9.23846, TS: 8.65213) -> {880680199=703240456, 2087390487=18276702, 1689826712=75713, 289890178=75713, 597022555=75713}]
[1907246783(TR: 9.23856, TS: 8.64171) -> {880680199=649311458, 2087390487=16875116, 1689826712=69904, 289890178=69904, 597022555=69904}]
[426820102(TR: 9.23881, TS: 8.62575) -> {880680199=479619420, 2087390487=12464938, 1689826712=51633, 289890178=51633, 597022555=51633}]
[2118062067(TR: 9.23883, TS: 8.66121) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1227263312(TR: 9.23903, TS: 8.62464) -> {880680199=317974050, 2087390487=8263908, 1689826712=34233, 289890178=34233, 597022555=34233}]
[1254011253(TR: 9.23909, TS: 8.62027) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1438726870(TR: 9.23910, TS: 8.69840) -> {880680199=278425616, 2087390487=7236068, 1689826712=29974, 289890178=29974, 597022555=29974}]
[1401419530(TR: 9.23912, TS: 8.61901) -> {880680199=435502448, 2087390487=11318390, 1689826712=46888, 289890178=46888, 597022555=46888}]
[775334951(TR: 9.23926, TS: 8.65188) -> {880680199=309416114, 2087390487=8041486, 1689826712=33310, 289890178=33310, 597022555=33310}]
[289179021(TR: 9.23929, TS: 8.64735) -> {880680199=802778918, 2087390487=20863630, 1689826712=86428, 289890178=86428, 597022555=86428}]
[1308039926(TR: 9.23944, TS: 8.62813) -> {880680199=261612562, 2087390487=6799106, 1689826712=28163, 289890178=28163, 597022555=28163}]
[556047333(TR: 9.23967, TS: 8.64127) -> {880680199=271624964, 2087390487=7059336, 1689826712=29245, 289890178=29245, 597022555=29245}]
[988306546(TR: 9.23979, TS: 8.66186) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[1326298703(TR: 9.23981, TS: 8.63745) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[978859506(TR: 9.23984, TS: 8.64303) -> {880680199=219037154, 2087390487=5692620, 1689826712=23584, 289890178=23584, 597022555=23584}]
[1067875055(TR: 9.24045, TS: 8.59875) -> {880680199=179185412, 2087390487=4656894, 1689826712=19291, 289890178=19291, 597022555=19291}]
[1196800677(TR: 9.24062, TS: 8.65184) -> {880680199=621848280, 2087390487=16161394, 1689826712=66954, 289890178=66954, 597022555=66954}]
[1707660238(TR: 9.24069, TS: 8.65516) -> {880680199=478124660, 2087390487=12426097, 1689826712=51472, 289890178=51472, 597022555=51472}]
[516201760(TR: 9.24103, TS: 8.62243) -> {880680199=315541560, 2087390487=8200692, 1689826712=33972, 289890178=33972, 597022555=33972}]
[314174741(TR: 9.24116, TS: 8.66064) -> {880680199=478124660, 2087390487=12426097, 1689826712=51472, 289890178=51472, 597022555=51472}]
[2018770293(TR: 9.24120, TS: 8.62791) -> {880680199=435502448, 2087390487=11318390, 1689826712=46888, 289890178=46888, 597022555=46888}]
[1537607442(TR: 9.24125, TS: 8.60941) -> {880680199=478124660, 2087390487=12426097, 1689826712=51472, 289890178=51472, 597022555=51472}]
[1639034075(TR: 9.24175, TS: 8.65058) -> {880680199=357219666, 2087390487=9283866, 1689826712=38457, 289890178=38457, 597022555=38457}]
[1019028669(TR: 9.24183, TS: 8.64022) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[1541590538(TR: 9.24208, TS: 8.56576) -> {880680199=382344298, 2087390487=9936860, 1689826712=41168, 289890178=41168, 597022555=41168}]
[815258867(TR: 9.24235, TS: 8.62947) -> {880680199=483306000, 2087390487=12560770, 1689826712=52035, 289890178=52035, 597022555=52035}]
[1546418510(TR: 9.24239, TS: 8.63552) -> {880680199=440797974, 2087390487=11456000, 1689826712=47454, 289890178=47454, 597022555=47454}]
[157361850(TR: 9.24239, TS: 8.63803) -> {880680199=601554710, 2087390487=15633957, 1689826712=64762, 289890178=64762, 597022555=64762}]
[1144929026(TR: 9.24254, TS: 8.58013) -> {880680199=436856720, 2087390487=11353595, 1689826712=47035, 289890178=47035, 597022555=47035}]
[1254098738(TR: 9.24282, TS: 8.65814) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[1964634413(TR: 9.24287, TS: 8.66938) -> {880680199=649311458, 2087390487=16875116, 1689826712=69904, 289890178=69904, 597022555=69904}]
[1976389058(TR: 9.24288, TS: 8.63295) -> {880680199=481690620, 2087390487=12518778, 1689826712=51858, 289890178=51858, 597022555=51858}]
[1084132946(TR: 9.24289, TS: 8.64867) -> {880680199=525928212, 2087390487=13668477, 1689826712=56619, 289890178=56619, 597022555=56619}]
[179173604(TR: 9.24295, TS: 8.57687) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[805826565(TR: 9.24300, TS: 8.65935) -> {880680199=261612562, 2087390487=6799106, 1689826712=28163, 289890178=28163, 597022555=28163}]
[800786586(TR: 9.24334, TS: 8.58495) -> {880680199=436856720, 2087390487=11353595, 1689826712=47035, 289890178=47035, 597022555=47035}]
[459538209(TR: 9.24379, TS: 8.66085) -> {880680199=213084014, 2087390487=5537898, 1689826712=22942, 289890178=22942, 597022555=22942}]
[2121027185(TR: 9.24387, TS: 8.68879) -> {880680199=278425616, 2087390487=7236068, 1689826712=29974, 289890178=29974, 597022555=29974}]
[1910775393(TR: 9.24398, TS: 8.64138) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[116143903(TR: 9.24406, TS: 8.64787) -> {880680199=436124154, 2087390487=11334531, 1689826712=46950, 289890178=46950, 597022555=46950}]
[41044500(TR: 9.24406, TS: 8.67947) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[510755821(TR: 9.24411, TS: 8.68926) -> {880680199=309416114, 2087390487=8041486, 1689826712=33310, 289890178=33310, 597022555=33310}]
[1329041748(TR: 9.24476, TS: 8.58175) -> {880680199=47803552, 2087390487=1242380, 1689826712=5147, 289890178=5147, 597022555=5147}]
[679744354(TR: 9.24484, TS: 8.66986) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[951508620(TR: 9.24491, TS: 8.59964) -> {880680199=435502448, 2087390487=11318390, 1689826712=46888, 289890178=46888, 597022555=46888}]
[717905052(TR: 9.24497, TS: 8.61058) -> {880680199=309416114, 2087390487=8041486, 1689826712=33310, 289890178=33310, 597022555=33310}]
[1493489056(TR: 9.24498, TS: 8.65821) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1360249569(TR: 9.24503, TS: 8.66549) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[1608463601(TR: 9.24506, TS: 8.63716) -> {880680199=357219666, 2087390487=9283866, 1689826712=38457, 289890178=38457, 597022555=38457}]
[663338282(TR: 9.24506, TS: 8.60316) -> {880680199=226988964, 2087390487=5899274, 1689826712=24438, 289890178=24438, 597022555=24438}]
[1482675630(TR: 9.24520, TS: 8.66785) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[395575438(TR: 9.24559, TS: 8.66617) -> {880680199=388320602, 2087390487=10092151, 1689826712=41803, 289890178=41803, 597022555=41803}]
[835372593(TR: 9.24563, TS: 8.66134) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[1530940879(TR: 9.24568, TS: 8.66458) -> {880680199=440797974, 2087390487=11456000, 1689826712=47454, 289890178=47454, 597022555=47454}]
[2106851756(TR: 9.24573, TS: 8.68265) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1253310176(TR: 9.24587, TS: 8.70300) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[758072009(TR: 9.24594, TS: 8.61163) -> {880680199=274792516, 2087390487=7141654, 1689826712=29585, 289890178=29585, 597022555=29585}]
[1960336534(TR: 9.24632, TS: 8.65904) -> {880680199=335059598, 2087390487=8707950, 1689826712=36073, 289890178=36073, 597022555=36073}]
[689748672(TR: 9.24635, TS: 8.60147) -> {880680199=267738008, 2087390487=6958312, 1689826712=28825, 289890178=28825, 597022555=28825}]
[2089620989(TR: 9.24637, TS: 8.66926) -> {880680199=226988964, 2087390487=5899274, 1689826712=24438, 289890178=24438, 597022555=24438}]
[736307631(TR: 9.24655, TS: 8.70128) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[501873833(TR: 9.24656, TS: 8.69968) -> {880680199=708746724, 2087390487=18419785, 1689826712=76299, 289890178=76299, 597022555=76299}]
[1366265710(TR: 9.24660, TS: 8.67280) -> {880680199=179185412, 2087390487=4656894, 1689826712=19291, 289890178=19291, 597022555=19291}]
[1163483715(TR: 9.24661, TS: 8.60493) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[2009443606(TR: 9.24673, TS: 8.69440) -> {880680199=95607104, 2087390487=2484760, 1689826712=10294, 289890178=10294, 597022555=10294}]
[630922227(TR: 9.24676, TS: 8.60231) -> {880680199=357219666, 2087390487=9283866, 1689826712=38457, 289890178=38457, 597022555=38457}]
[144897233(TR: 9.24691, TS: 8.66748) -> {880680199=179185412, 2087390487=4656894, 1689826712=19291, 289890178=19291, 597022555=19291}]
[128335044(TR: 9.24716, TS: 8.67925) -> {880680199=309416114, 2087390487=8041486, 1689826712=33310, 289890178=33310, 597022555=33310}]
[1565629499(TR: 9.24718, TS: 8.63473) -> {880680199=287256046, 2087390487=7465570, 1689826712=30926, 289890178=30926, 597022555=30926}]
