[998539718(TR: 9.09822, TS: 8.41712) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[397174767(TR: 9.10077, TS: 8.51768) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[2062767002(TR: 9.11025, TS: 8.48982) -> {880680199=983025930, 2087390487=25548122, 1689826712=105837, 289890178=105837, 597022555=105837}]
[2069578453(TR: 9.11129, TS: 8.49102) -> {880680199=983025930, 2087390487=25548122, 1689826712=105837, 289890178=105837, 597022555=105837}]
[1682859721(TR: 9.11467, TS: 8.45035) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[279570096(TR: 9.11508, TS: 8.42969) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1881540796(TR: 9.11555, TS: 8.41626) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1363849607(TR: 9.11596, TS: 8.38885) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1176894793(TR: 9.11694, TS: 8.46846) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[434511707(TR: 9.11706, TS: 8.41800) -> {880680199=983025930, 2087390487=25548122, 1689826712=105837, 289890178=105837, 597022555=105837}]
[1497728819(TR: 9.11836, TS: 8.42124) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1560789781(TR: 9.11928, TS: 8.41749) -> {880680199=286821312, 2087390487=7454280, 1689826712=30882, 289890178=30882, 597022555=30882}]
[874619465(TR: 9.12021, TS: 8.42441) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[394952146(TR: 9.12390, TS: 8.40237) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[496271185(TR: 9.12403, TS: 8.41702) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1755123663(TR: 9.12404, TS: 8.40278) -> {880680199=1009766778, 2087390487=26243091, 1689826712=108714, 289890178=108714, 597022555=108714}]
[190932642(TR: 9.12576, TS: 8.47062) -> {880680199=286821312, 2087390487=7454280, 1689826712=30882, 289890178=30882, 597022555=30882}]
[845921901(TR: 9.12665, TS: 8.40229) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[205201798(TR: 9.12713, TS: 8.39949) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[215528633(TR: 9.12728, TS: 8.41699) -> {880680199=817930864, 2087390487=21257430, 1689826712=88064, 289890178=88064, 597022555=88064}]
[210540534(TR: 9.12765, TS: 8.44953) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1669060828(TR: 9.12807, TS: 8.42724) -> {880680199=1026631634, 2087390487=26681396, 1689826712=110530, 289890178=110530, 597022555=110530}]
[916058660(TR: 9.12886, TS: 8.38553) -> {880680199=2400387426, 2087390487=62384275, 1689826712=258426, 289890178=258426, 597022555=258426}]
[2133714226(TR: 9.13056, TS: 8.43476) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[393674246(TR: 9.13118, TS: 8.36670) -> {880680199=3487952598, 2087390487=90649275, 1689826712=375513, 289890178=375513, 597022555=375513}]
[712407308(TR: 9.13119, TS: 8.37020) -> {880680199=286821312, 2087390487=7454280, 1689826712=30882, 289890178=30882, 597022555=30882}]
[1393014452(TR: 9.13312, TS: 8.37031) -> {880680199=143410656, 2087390487=3727140, 1689826712=15441, 289890178=15441, 597022555=15441}]
[1125375379(TR: 9.13341, TS: 8.43655) -> {880680199=286821312, 2087390487=7454280, 1689826712=30882, 289890178=30882, 597022555=30882}]
[1664453945(TR: 9.13368, TS: 8.44321) -> {880680199=2245387868, 2087390487=58355966, 1689826712=241744, 289890178=241744, 597022555=241744}]
[2056398410(TR: 9.13405, TS: 8.43951) -> {880680199=1004947224, 2087390487=26117844, 1689826712=108198, 289890178=108198, 597022555=108198}]
[349081018(TR: 9.13416, TS: 8.52280) -> {880680199=2504706792, 2087390487=65095534, 1689826712=269676, 289890178=269676, 597022555=269676}]
[1231824373(TR: 9.13416, TS: 8.44185) -> {880680199=2033110956, 2087390487=52839035, 1689826712=218886, 289890178=218886, 597022555=218886}]
