[693581115(TR: 9.67496, TS: 9.28239) -> {880680199=733364, 2087390487=19060, 1689826712=79, 289890178=79, 597022555=79}]
[100072639(TR: 9.72026, TS: 9.28944) -> {880680199=422472, 2087390487=10978, 1689826712=45, 289890178=45, 597022555=45}]
[2110271951(TR: 9.74159, TS: 9.32293) -> {880680199=733364, 2087390487=19060, 1689826712=79, 289890178=79, 597022555=79}]
[2007858999(TR: 9.74305, TS: 9.34089) -> {880680199=1149314, 2087390487=29870, 1689826712=124, 289890178=124, 597022555=124}]
[1740857876(TR: 9.74855, TS: 9.32567) -> {880680199=733364, 2087390487=19060, 1689826712=79, 289890178=79, 597022555=79}]
[1432512855(TR: 9.74873, TS: 9.30838) -> {880680199=733364, 2087390487=19060, 1689826712=79, 289890178=79, 597022555=79}]
[1763208317(TR: 9.74873, TS: 9.32091) -> {880680199=733364, 2087390487=19060, 1689826712=79, 289890178=79, 597022555=79}]
[1968239278(TR: 9.74948, TS: 9.31996) -> {880680199=1389822, 2087390487=36115, 1689826712=147, 289890178=147, 597022555=147}]
[890050429(TR: 9.74972, TS: 9.30967) -> {880680199=1389822, 2087390487=36115, 1689826712=147, 289890178=147, 597022555=147}]
[159378898(TR: 9.74975, TS: 9.30959) -> {880680199=2123186, 2087390487=55175, 1689826712=226, 289890178=226, 597022555=226}]
[1326515579(TR: 9.75004, TS: 9.33389) -> {880680199=1389822, 2087390487=36115, 1689826712=147, 289890178=147, 597022555=147}]
[1707139936(TR: 9.75032, TS: 9.31073) -> {880680199=1409500, 2087390487=36632, 1689826712=152, 289890178=152, 597022555=152}]
[402106612(TR: 9.75034, TS: 9.29974) -> {880680199=2123186, 2087390487=55175, 1689826712=226, 289890178=226, 597022555=226}]
[1636882085(TR: 9.75089, TS: 9.30973) -> {880680199=3043428, 2087390487=79094, 1689826712=327, 289890178=327, 597022555=327}]
[653077809(TR: 9.75096, TS: 9.31761) -> {880680199=1149314, 2087390487=29870, 1689826712=124, 289890178=124, 597022555=124}]
[1146356079(TR: 9.75122, TS: 9.31688) -> {880680199=2719962, 2087390487=70684, 1689826712=291, 289890178=291, 597022555=291}]
[1859035417(TR: 9.75141, TS: 9.37753) -> {880680199=733364, 2087390487=19060, 1689826712=79, 289890178=79, 597022555=79}]
[160196507(TR: 9.75145, TS: 9.31065) -> {880680199=1882678, 2087390487=48930, 1689826712=203, 289890178=203, 597022555=203}]
[1187469118(TR: 9.75168, TS: 9.31538) -> {880680199=2123186, 2087390487=55175, 1689826712=226, 289890178=226, 597022555=226}]
[586971632(TR: 9.75195, TS: 9.36786) -> {880680199=733364, 2087390487=19060, 1689826712=79, 289890178=79, 597022555=79}]
