[377943297(TR: 7.63844, TS: 6.96109) -> {880680199=801427167112399460, 2087390487=20828496700215785, 1689826712=86283101939245, 289890178=86283101939245, 597022555=86283101939245}]
[1875704443(TR: 7.63981, TS: 6.95343) -> {880680199=801427167112399460, 2087390487=20828496700215785, 1689826712=86283101939245, 289890178=86283101939245, 597022555=86283101939245}]
[364347575(TR: 7.64190, TS: 6.91532) -> {880680199=3286230743090491584, 2087390487=85406695701677488, 1689826712=353801560319952, 289890178=353801560319952, 597022555=353801560319952}]
[2115432222(TR: 7.64569, TS: 6.90316) -> {880680199=1903698131854032256, 2087390487=49475700206668579, 1689826712=204955592615255, 289890178=204955592615255, 597022555=204955592615255}]
[1760870337(TR: 7.64584, TS: 6.89323) -> {880680199=1743412698431552364, 2087390487=45310000866625422, 1689826712=187698972227406, 289890178=187698972227406, 597022555=187698972227406}]
[1241211171(TR: 7.64655, TS: 6.88505) -> {880680199=2885137801604638056, 2087390487=74982588120776826, 1689826712=310619166981282, 289890178=310619166981282, 597022555=310619166981282}]
[1625350803(TR: 7.64679, TS: 6.85139) -> {880680199=1442568900802319028, 2087390487=37491294060388413, 1689826712=155309583490641, 289890178=155309583490641, 597022555=155309583490641}]
[700944270(TR: 7.64956, TS: 6.86814) -> {880680199=2063983565276512148, 2087390487=53641399546711736, 1689826712=222212213003104, 289890178=222212213003104, 597022555=222212213003104}]
[1677731776(TR: 7.65513, TS: 6.86984) -> {880680199=2705125298966431716, 2087390487=70304196906884364, 1689826712=291238694554500, 289890178=291238694554500, 597022555=291238694554500}]
[1986043930(TR: 7.65768, TS: 6.88367) -> {880680199=801427167112399460, 2087390487=20828496700215785, 1689826712=86283101939245, 289890178=86283101939245, 597022555=86283101939245}]
[292761663(TR: 7.65791, TS: 6.87036) -> {880680199=1121998033957359244, 2087390487=29159895380302099, 1689826712=120796342714943, 289890178=120796342714943, 597022555=120796342714943}]
[73234016(TR: 7.65945, TS: 6.84363) -> {880680199=2364827362905745484, 2087390487=61460106352948745, 1689826712=254601601739869, 289890178=254601601739869, 597022555=254601601739869}]
[1627815692(TR: 7.66348, TS: 6.84173) -> {880680199=2457005241721730764, 2087390487=63855740945264494, 1689826712=264525639309428, 289890178=264525639309428, 597022555=264525639309428}]
[311784262(TR: 7.66561, TS: 6.87722) -> {880680199=621414664474193120, 2087390487=16150105486323323, 1689826712=66902629512463, 289890178=66902629512463, 597022555=66902629512463}]
[451890147(TR: 7.66962, TS: 6.87816) -> {880680199=1422841831586592580, 2087390487=36978602186539108, 1689826712=153185731451708, 289890178=153185731451708, 597022555=153185731451708}]
[1970192552(TR: 7.67113, TS: 6.93652) -> {880680199=621414664474193120, 2087390487=16150105486323323, 1689826712=66902629512463, 289890178=66902629512463, 597022555=66902629512463}]
[658652950(TR: 7.67117, TS: 6.85701) -> {880680199=2705125298966431716, 2087390487=70304196906884364, 1689826712=291238694554500, 289890178=291238694554500, 597022555=291238694554500}]
[519337979(TR: 7.67131, TS: 6.90669) -> {880680199=1583127265009072472, 2087390487=41144301526582265, 1689826712=170442351839557, 289890178=170442351839557, 597022555=170442351839557}]
[2124711829(TR: 7.67141, TS: 6.89004) -> {880680199=781700097896673012, 2087390487=20315804826366480, 1689826712=84159249900312, 289890178=84159249900312, 597022555=84159249900312}]
[2102158185(TR: 7.67204, TS: 6.86221) -> {880680199=4019550355596396432, 2087390487=104465127654165865, 1689826712=432752079440907, 289890178=432752079440907, 597022555=432752079440907}]
[1270892889(TR: 7.67218, TS: 6.88447) -> {880680199=1723685629215825916, 2087390487=44797308992776117, 1689826712=185575120188473, 289890178=185575120188473, 597022555=185575120188473}]
[1991685237(TR: 7.67219, TS: 6.85964) -> {880680199=2505385727112498928, 2087390487=65113113819142597, 1689826712=269734370088785, 289890178=269734370088785, 597022555=269734370088785}]
[745807129(TR: 7.67262, TS: 6.84611) -> {880680199=2184814860267539144, 2087390487=56781715139056283, 1689826712=235221129313087, 289890178=235221129313087, 597022555=235221129313087}]
[851277013(TR: 7.67273, TS: 6.84785) -> {880680199=2345100293690019036, 2087390487=60947414479099440, 1689826712=252477749700936, 289890178=252477749700936, 597022555=252477749700936}]
[2080274778(TR: 7.67280, TS: 6.82539) -> {880680199=781700097896673012, 2087390487=20315804826366480, 1689826712=84159249900312, 289890178=84159249900312, 597022555=84159249900312}]
[950562636(TR: 7.67346, TS: 6.90700) -> {880680199=2777576108566690548, 2087390487=72187139625350808, 1689826712=299038880085126, 289890178=299038880085126, 597022555=299038880085126}]
[876097941(TR: 7.67367, TS: 6.86351) -> {880680199=2384554432121471932, 2087390487=61972798226798050, 1689826712=256725453778802, 289890178=256725453778802, 597022555=256725453778802}]
[1845157915(TR: 7.67473, TS: 6.83665) -> {880680199=2224268998698992040, 2087390487=57807098886754893, 1689826712=239468833390953, 289890178=239468833390953, 597022555=239468833390953}]
[1707503703(TR: 7.67507, TS: 6.90319) -> {880680199=1422841831586592580, 2087390487=36978602186539108, 1689826712=153185731451708, 289890178=153185731451708, 597022555=153185731451708}]
[519020972(TR: 7.67525, TS: 6.86232) -> {880680199=4382601950490966570, 2087390487=113900568897717040, 1689826712=471838872425250, 289890178=471838872425250, 597022555=471838872425250}]
[1798217597(TR: 7.67564, TS: 6.82941) -> {880680199=781700097896673012, 2087390487=20315804826366480, 1689826712=84159249900312, 289890178=84159249900312, 597022555=84159249900312}]
[1366179899(TR: 7.67571, TS: 6.82989) -> {880680199=2024529426845059252, 2087390487=52616015799013126, 1689826712=217964508925238, 289890178=217964508925238, 597022555=217964508925238}]
[125617801(TR: 7.67587, TS: 6.83798) -> {880680199=781700097896673012, 2087390487=20315804826366480, 1689826712=84159249900312, 289890178=84159249900312, 597022555=84159249900312}]
[1685972235(TR: 7.67597, TS: 6.82850) -> {880680199=1743412698431552364, 2087390487=45310000866625422, 1689826712=187698972227406, 289890178=187698972227406, 597022555=187698972227406}]
[2067225486(TR: 7.67612, TS: 6.83089) -> {880680199=2457005241721730764, 2087390487=63855740945264494, 1689826712=264525639309428, 289890178=264525639309428, 597022555=264525639309428}]
[1484497739(TR: 7.67621, TS: 6.82781) -> {880680199=2430061989384049760, 2087390487=63155505832898874, 1689826712=261624879907294, 289890178=261624879907294, 597022555=261624879907294}]
[970092099(TR: 7.67645, TS: 6.81316) -> {880680199=1563400195793346024, 2087390487=40631609652732960, 1689826712=168318499800624, 289890178=168318499800624, 597022555=168318499800624}]
[848073167(TR: 7.67647, TS: 6.88149) -> {880680199=2204541929483265592, 2087390487=57294407012905588, 1689826712=237344981352020, 289890178=237344981352020, 597022555=237344981352020}]
[1940277051(TR: 7.67656, TS: 6.86867) -> {880680199=3928227558699091508, 2087390487=102091716005681705, 1689826712=422920101540493, 289890178=422920101540493, 597022555=422920101540493}]
[1984091135(TR: 7.67665, TS: 6.83254) -> {880680199=2063983565276512148, 2087390487=53641399546711736, 1689826712=222212213003104, 289890178=222212213003104, 597022555=222212213003104}]
[1556617986(TR: 7.67696, TS: 6.82719) -> {880680199=2224268998698992040, 2087390487=57807098886754893, 1689826712=239468833390953, 289890178=239468833390953, 597022555=239468833390953}]
