[552226443(TR: 8.19761, TS: 7.35828) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[1432514932(TR: 8.22425, TS: 7.36305) -> {880680199=403569241901996, 2087390487=10488464789138, 1689826712=43448996344, 289890178=43448996344, 597022555=43448996344}]
[1676083060(TR: 8.22506, TS: 7.39003) -> {880680199=403569241901996, 2087390487=10488464789138, 1689826712=43448996344, 289890178=43448996344, 597022555=43448996344}]
[1878026828(TR: 8.22628, TS: 7.40191) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[496828207(TR: 8.22793, TS: 7.34905) -> {880680199=403569241901996, 2087390487=10488464789138, 1689826712=43448996344, 289890178=43448996344, 597022555=43448996344}]
[1538507833(TR: 8.22833, TS: 7.43290) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[259693924(TR: 8.22888, TS: 7.39987) -> {880680199=403569241901996, 2087390487=10488464789138, 1689826712=43448996344, 289890178=43448996344, 597022555=43448996344}]
[1672754381(TR: 8.22894, TS: 7.37415) -> {880680199=1573544474649266, 2087390487=40895251925514, 1689826712=169410651685, 289890178=169410651685, 597022555=169410651685}]
[422304275(TR: 8.22907, TS: 7.36919) -> {880680199=403569241901996, 2087390487=10488464789138, 1689826712=43448996344, 289890178=43448996344, 597022555=43448996344}]
[1560041219(TR: 8.22934, TS: 7.37619) -> {880680199=1768178052385122, 2087390487=45953634015236, 1689826712=190365254358, 289890178=190365254358, 597022555=190365254358}]
[1550436405(TR: 8.22938, TS: 7.36799) -> {880680199=403569241901996, 2087390487=10488464789138, 1689826712=43448996344, 289890178=43448996344, 597022555=43448996344}]
[129392709(TR: 8.22996, TS: 7.36971) -> {880680199=403569241901996, 2087390487=10488464789138, 1689826712=43448996344, 289890178=43448996344, 597022555=43448996344}]
[1164324386(TR: 8.23071, TS: 7.38041) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[39489503(TR: 8.23092, TS: 7.35431) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[1008764120(TR: 8.23104, TS: 7.35236) -> {880680199=403569241901996, 2087390487=10488464789138, 1689826712=43448996344, 289890178=43448996344, 597022555=43448996344}]
[136347473(TR: 8.23115, TS: 7.42126) -> {880680199=1210707725705988, 2087390487=31465394367414, 1689826712=130346989032, 289890178=130346989032, 597022555=130346989032}]
[2093172553(TR: 8.23130, TS: 7.39365) -> {880680199=1210707725705988, 2087390487=31465394367414, 1689826712=130346989032, 289890178=130346989032, 597022555=130346989032}]
[707861369(TR: 8.23141, TS: 7.47040) -> {880680199=1169975232747270, 2087390487=30406787136376, 1689826712=125961655341, 289890178=125961655341, 597022555=125961655341}]
[302992547(TR: 8.23160, TS: 7.35545) -> {880680199=403569241901996, 2087390487=10488464789138, 1689826712=43448996344, 289890178=43448996344, 597022555=43448996344}]
[425620292(TR: 8.23177, TS: 7.42820) -> {880680199=2202571142048086, 2087390487=57243187710296, 1689826712=237132802457, 289890178=237132802457, 597022555=237132802457}]
[2143389225(TR: 8.23179, TS: 7.35635) -> {880680199=1768178052385122, 2087390487=45953634015236, 1689826712=190365254358, 289890178=190365254358, 597022555=190365254358}]
[1560916091(TR: 8.23192, TS: 7.43114) -> {880680199=1614276967607984, 2087390487=41953859156552, 1689826712=173795985376, 289890178=173795985376, 597022555=173795985376}]
