[1998993516(TR: 10.49189, TS: 10.02679) -> {880680199=7910, 2087390487=206, 1689826712=1, 289890178=1, 597022555=1}]
[1483132263(TR: 10.49208, TS: 10.09724) -> {880680199=1638, 2087390487=42}]
[1257361231(TR: 10.49242, TS: 10.13669) -> {880680199=546, 2087390487=14}]
[1919112315(TR: 10.49266, TS: 10.02202) -> {880680199=2184, 2087390487=56}]
[885061379(TR: 10.49339, TS: 9.94119) -> {880680199=1092, 2087390487=28}]
[1520638217(TR: 10.49376, TS: 10.08914) -> {880680199=546, 2087390487=14}]
[518799013(TR: 10.49379, TS: 10.06996) -> {880680199=1092, 2087390487=28}]
[1992585615(TR: 10.49405, TS: 10.04936) -> {880680199=1092, 2087390487=28}]
[1158674619(TR: 10.49421, TS: 10.09727) -> {880680199=546, 2087390487=14}]
[128371266(TR: 10.49451, TS: 10.00353) -> {880680199=1092, 2087390487=28}]
[2025903365(TR: 10.49461, TS: 10.10470) -> {880680199=3276, 2087390487=84}]
[761105307(TR: 10.49462, TS: 9.98778) -> {880680199=546, 2087390487=14}]
[397239467(TR: 10.49539, TS: 10.09599) -> {880680199=3276, 2087390487=84}]
[652757190(TR: 10.49541, TS: 10.09512) -> {880680199=1092, 2087390487=28}]
[1484704227(TR: 10.49596, TS: 9.95740) -> {880680199=546, 2087390487=14}]
[431919140(TR: 10.49606, TS: 10.13574) -> {880680199=2184, 2087390487=56}]
[1699362692(TR: 10.49622, TS: 10.08685) -> {880680199=546, 2087390487=14}]
[16842131(TR: 10.49650, TS: 10.08518) -> {880680199=2184, 2087390487=56}]
[798956929(TR: 10.49726, TS: 9.97971) -> {880680199=1092, 2087390487=28}]
[1120765926(TR: 10.49727, TS: 10.00996) -> {880680199=546, 2087390487=14}]
[1989115436(TR: 10.49750, TS: 9.99650) -> {880680199=1092, 2087390487=28}]
[1885731083(TR: 10.49756, TS: 9.97762) -> {880680199=546, 2087390487=14}]
[658608531(TR: 10.49768, TS: 10.11411) -> {880680199=2184, 2087390487=56}]
[152948778(TR: 10.49793, TS: 10.03515) -> {880680199=2730, 2087390487=70}]
[74359099(TR: 10.49795, TS: 9.99608) -> {880680199=3276, 2087390487=84}]
[1536998684(TR: 10.49799, TS: 10.06590) -> {880680199=4914, 2087390487=126}]
[1887068917(TR: 10.49800, TS: 10.02726) -> {880680199=10094, 2087390487=262, 1689826712=1, 289890178=1, 597022555=1}]
[394354768(TR: 10.49800, TS: 10.07280) -> {880680199=1638, 2087390487=42}]
[1712811234(TR: 10.49814, TS: 10.02715) -> {880680199=546, 2087390487=14}]
[1482508641(TR: 10.49817, TS: 10.05263) -> {880680199=2184, 2087390487=56}]
[2064901461(TR: 10.49865, TS: 10.08863) -> {880680199=3276, 2087390487=84}]
[1728874887(TR: 10.49884, TS: 9.93312) -> {880680199=546, 2087390487=14}]
[983669240(TR: 10.49886, TS: 10.06271) -> {880680199=4914, 2087390487=126}]
[134597004(TR: 10.49899, TS: 9.94808) -> {880680199=546, 2087390487=14}]
[1826139284(TR: 10.49906, TS: 10.17909) -> {880680199=2730, 2087390487=70}]
[1864060985(TR: 10.49909, TS: 10.07422) -> {880680199=2730, 2087390487=70}]
[1497594491(TR: 10.49910, TS: 10.10575) -> {880680199=1638, 2087390487=42}]
[2142011766(TR: 10.49914, TS: 10.16427) -> {880680199=1638, 2087390487=42}]
[1454980635(TR: 10.49945, TS: 10.06850) -> {880680199=4368, 2087390487=112}]
[1662396013(TR: 10.49976, TS: 10.08819) -> {880680199=3822, 2087390487=98}]
[558106838(TR: 10.50004, TS: 10.05714) -> {880680199=3822, 2087390487=98}]
[989371065(TR: 10.50024, TS: 9.95372) -> {880680199=7410, 2087390487=190}]
[632173083(TR: 10.50033, TS: 9.99008) -> {880680199=2730, 2087390487=70}]
[2010733965(TR: 10.50040, TS: 10.14478) -> {880680199=546, 2087390487=14}]
[1994058008(TR: 10.50082, TS: 10.13025) -> {880680199=546, 2087390487=14}]
[134846504(TR: 10.50100, TS: 10.09690) -> {880680199=1638, 2087390487=42}]
[1550015960(TR: 10.50143, TS: 10.01544) -> {880680199=1092, 2087390487=28}]
