[422625706(TR: 8.67791, TS: 7.97729) -> {880680199=478325788720, 2087390487=12431332092, 1689826712=51497477, 289890178=51497477, 597022555=51497477}]
[1573739816(TR: 8.67913, TS: 7.92214) -> {880680199=507680539730, 2087390487=13194239994, 1689826712=54657784, 289890178=54657784, 597022555=54657784}]
[75708504(TR: 8.68017, TS: 7.96695) -> {880680199=351758968262, 2087390487=9141954479, 1689826712=37871071, 289890178=37871071, 597022555=37871071}]
[1274578487(TR: 8.68303, TS: 7.99848) -> {880680199=869587889320, 2087390487=22599942877, 1689826712=93621302, 289890178=93621302, 597022555=93621302}]
[1415193459(TR: 8.68309, TS: 7.96601) -> {880680199=169936856686, 2087390487=4416532779, 1689826712=18295745, 289890178=18295745, 597022555=18295745}]
[1674117325(TR: 8.68402, TS: 7.90774) -> {880680199=507680539730, 2087390487=13194239994, 1689826712=54657784, 289890178=54657784, 597022555=54657784}]
[1523995710(TR: 8.68403, TS: 7.90771) -> {880680199=507680539730, 2087390487=13194239994, 1689826712=54657784, 289890178=54657784, 597022555=54657784}]
[2123740436(TR: 8.68435, TS: 7.90881) -> {880680199=1726269671878, 2087390487=44864466374, 1689826712=185853332, 289890178=185853332, 597022555=185853332}]
[1909673423(TR: 8.68478, TS: 7.90801) -> {880680199=1416885773626, 2087390487=36823808820, 1689826712=152544536, 289890178=152544536, 597022555=152544536}]
[1956096317(TR: 8.68482, TS: 7.90713) -> {880680199=1416467481946, 2087390487=36812937519, 1689826712=152499440, 289890178=152499440, 597022555=152499440}]
[1601376266(TR: 8.68523, TS: 7.89254) -> {880680199=507680539730, 2087390487=13194239994, 1689826712=54657784, 289890178=54657784, 597022555=54657784}]
[211624933(TR: 8.68533, TS: 7.89913) -> {880680199=507680539730, 2087390487=13194239994, 1689826712=54657784, 289890178=54657784, 597022555=54657784}]
[1733012108(TR: 8.68543, TS: 7.89986) -> {880680199=507680539730, 2087390487=13194239994, 1689826712=54657784, 289890178=54657784, 597022555=54657784}]
[786184473(TR: 8.68565, TS: 7.89840) -> {880680199=1517457377960, 2087390487=39437589922, 1689826712=163372207, 289890178=163372207, 597022555=163372207}]
[1768460168(TR: 8.68565, TS: 7.89465) -> {880680199=507680539730, 2087390487=13194239994, 1689826712=54657784, 289890178=54657784, 597022555=54657784}]
[202312523(TR: 8.68636, TS: 7.90815) -> {880680199=908786942216, 2087390487=23618697525, 1689826712=97841656, 289890178=97841656, 597022555=97841656}]
[908775308(TR: 8.68636, TS: 7.90815) -> {880680199=908786942216, 2087390487=23618697525, 1689826712=97841656, 289890178=97841656, 597022555=97841656}]
[2045852833(TR: 8.68644, TS: 7.89807) -> {880680199=1272038008602, 2087390487=33059323099, 1689826712=136949991, 289890178=136949991, 597022555=136949991}]
[1422452952(TR: 8.68644, TS: 7.89496) -> {880680199=1009776838230, 2087390487=26243349928, 1689826712=108714423, 289890178=108714423, 597022555=108714423}]
[543810649(TR: 8.68654, TS: 7.89847) -> {880680199=1179713694916, 2087390487=30659882707, 1689826712=127010168, 289890178=127010168, 597022555=127010168}]
[1088358775(TR: 8.68691, TS: 7.90792) -> {880680199=1920788486790, 2087390487=49919866122, 1689826712=206795652, 289890178=206795652, 597022555=206795652}]
[809181689(TR: 8.68709, TS: 7.90980) -> {880680199=1240946384030, 2087390487=32251274680, 1689826712=133602550, 289890178=133602550, 597022555=133602550}]
[598118670(TR: 8.68710, TS: 7.89823) -> {880680199=1456617845612, 2087390487=37856415775, 1689826712=156822142, 289890178=156822142, 597022555=156822142}]
[1275257359(TR: 8.68717, TS: 7.96212) -> {880680199=578992069070, 2087390487=15047573520, 1689826712=62335270, 289890178=62335270, 597022555=62335270}]
[1949224521(TR: 8.68720, TS: 7.91131) -> {880680199=1217175874250, 2087390487=31633496838, 1689826712=131043388, 289890178=131043388, 597022555=131043388}]
[494079452(TR: 8.68725, TS: 7.91763) -> {880680199=869587889320, 2087390487=22599942877, 1689826712=93621302, 289890178=93621302, 597022555=93621302}]
[181064093(TR: 8.68759, TS: 7.96837) -> {880680199=1519682084304, 2087390487=39495408591, 1689826712=163611780, 289890178=163611780, 597022555=163611780}]
[1367562321(TR: 8.68766, TS: 7.90675) -> {880680199=713273161086, 2087390487=18537439536, 1689826712=76792272, 289890178=76792272, 597022555=76792272}]
[1398638766(TR: 8.68770, TS: 7.90365) -> {880680199=1543985613174, 2087390487=40127038740, 1689826712=166228194, 289890178=166228194, 597022555=166228194}]
[1447387892(TR: 8.68777, TS: 7.91563) -> {880680199=1114379563572, 2087390487=28961897067, 1689826712=119976144, 289890178=119976144, 597022555=119976144}]
[174000024(TR: 8.68778, TS: 7.96291) -> {880680199=434955752492, 2087390487=11304176926, 1689826712=46828138, 289890178=46828138, 597022555=46828138}]
[1096124242(TR: 8.68784, TS: 7.91552) -> {880680199=1114379563572, 2087390487=28961897067, 1689826712=119976144, 289890178=119976144, 597022555=119976144}]
[2121432878(TR: 8.68809, TS: 7.93013) -> {880680199=677617396416, 2087390487=17610772773, 1689826712=72953529, 289890178=72953529, 597022555=72953529}]
[64876758(TR: 8.68883, TS: 7.90091) -> {880680199=908786942216, 2087390487=23618697525, 1689826712=97841656, 289890178=97841656, 597022555=97841656}]
[1909216498(TR: 8.68890, TS: 7.92354) -> {880680199=1240553227264, 2087390487=32241056854, 1689826712=133560233, 289890178=133560233, 597022555=133560233}]
[483271310(TR: 8.68892, TS: 7.92312) -> {880680199=1726269671878, 2087390487=44864466374, 1689826712=185853332, 289890178=185853332, 597022555=185853332}]
