[238134849(TR: 10.59719, TS: 10.13662) -> {880680199=546, 2087390487=14}]
[950579506(TR: 10.66455, TS: 10.04789) -> {880680199=546, 2087390487=14}]
[1779908267(TR: 10.67718, TS: 10.17044) -> {880680199=546, 2087390487=14}]
[97950521(TR: 10.68860, TS: 10.09901) -> {880680199=3792, 2087390487=98}]
[1971227253(TR: 10.72437, TS: 10.01837) -> {880680199=546, 2087390487=14}]
[1987983669(TR: 10.73106, TS: 10.05179) -> {880680199=546, 2087390487=14}]
[625976119(TR: 10.74978, TS: 10.26355) -> {880680199=2598, 2087390487=67}]
[351402996(TR: 10.76509, TS: 10.03318) -> {880680199=546, 2087390487=14}]
[366863933(TR: 10.78761, TS: 10.30690) -> {880680199=1092, 2087390487=28}]
[309187106(TR: 10.78843, TS: 10.45045) -> {880680199=1092, 2087390487=28}]
[1248038211(TR: 10.80077, TS: 10.40601) -> {880680199=1092, 2087390487=28}]
[1364648352(TR: 10.80168, TS: 10.39871) -> {880680199=1092, 2087390487=28}]
[734009785(TR: 10.80326, TS: 10.40997) -> {880680199=2652, 2087390487=68}]
[1472213537(TR: 10.80494, TS: 10.34936) -> {880680199=1092, 2087390487=28}]
[18850831(TR: 10.80986, TS: 10.27745) -> {880680199=1170, 2087390487=30}]
[1730285165(TR: 10.81850, TS: 10.49033) -> {880680199=1092, 2087390487=28}]
[1283772129(TR: 10.81998, TS: 10.48899) -> {880680199=1896, 2087390487=49}]
[444836970(TR: 10.83210, TS: 10.56786) -> {880680199=1092, 2087390487=28}]
[1723878633(TR: 10.84172, TS: 10.45398) -> {880680199=1248, 2087390487=32}]
[291927866(TR: 10.84219, TS: 10.51957) -> {880680199=1092, 2087390487=28}]
[2080329777(TR: 10.84285, TS: 10.47060) -> {880680199=4080, 2087390487=105}]
[2081969112(TR: 10.84319, TS: 10.45158) -> {880680199=2340, 2087390487=60}]
[417066934(TR: 10.84431, TS: 10.47730) -> {880680199=2130, 2087390487=55}]
[983991344(TR: 10.84545, TS: 10.39093) -> {880680199=3300, 2087390487=85}]
[1004086669(TR: 10.84835, TS: 10.43580) -> {880680199=3690, 2087390487=95}]
[90257341(TR: 10.85215, TS: 10.50894) -> {880680199=1170, 2087390487=30}]
[1115737848(TR: 10.85339, TS: 10.47177) -> {880680199=2028, 2087390487=52}]
[1275676060(TR: 10.85825, TS: 10.42520) -> {880680199=624, 2087390487=16}]
[1041167581(TR: 10.86067, TS: 10.28215) -> {880680199=2130, 2087390487=55}]
[853467262(TR: 10.86192, TS: 10.47225) -> {880680199=1716, 2087390487=44}]
[1986858963(TR: 10.86292, TS: 10.44749) -> {880680199=1038, 2087390487=27}]
