[978153758(TR: 8.18079, TS: 7.32218) -> {880680199=1210707725705988, 2087390487=31465394367414, 1689826712=130346989032, 289890178=130346989032, 597022555=130346989032}]
[254068751(TR: 8.18191, TS: 7.36365) -> {880680199=3786024261895102, 2087390487=98395957960926, 1689826712=407610236078, 289890178=407610236078, 597022555=407610236078}]
[1335908859(TR: 8.18631, TS: 7.26939) -> {880680199=2017846209509980, 2087390487=52442323945690, 1689826712=217244981720, 289890178=217244981720, 597022555=217244981720}]
[1249430163(TR: 8.18994, TS: 7.34654) -> {880680199=2017846209509980, 2087390487=52442323945690, 1689826712=217244981720, 289890178=217244981720, 597022555=217244981720}]
[468485955(TR: 8.19023, TS: 7.38486) -> {880680199=1614276967607984, 2087390487=41953859156552, 1689826712=173795985376, 289890178=173795985376, 597022555=173795985376}]
[849432705(TR: 8.19046, TS: 7.36503) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[2130950319(TR: 8.19062, TS: 7.38916) -> {880680199=2421415451411976, 2087390487=62930788734828, 1689826712=260693978064, 289890178=260693978064, 597022555=260693978064}]
[1940117902(TR: 8.19085, TS: 7.39865) -> {880680199=1614276967607984, 2087390487=41953859156552, 1689826712=173795985376, 289890178=173795985376, 597022555=173795985376}]
[2013582883(TR: 8.19164, TS: 7.34121) -> {880680199=403569241901996, 2087390487=10488464789138, 1689826712=43448996344, 289890178=43448996344, 597022555=43448996344}]
[202022438(TR: 8.19177, TS: 7.34142) -> {880680199=3382455019993106, 2087390487=87907493171788, 1689826712=364161239734, 289890178=364161239734, 597022555=364161239734}]
[873980542(TR: 8.19213, TS: 7.37164) -> {880680199=403569241901996, 2087390487=10488464789138, 1689826712=43448996344, 289890178=43448996344, 597022555=43448996344}]
[1446240915(TR: 8.19284, TS: 7.34561) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[993082994(TR: 8.19300, TS: 7.33901) -> {880680199=403569241901996, 2087390487=10488464789138, 1689826712=43448996344, 289890178=43448996344, 597022555=43448996344}]
[1670544540(TR: 8.19409, TS: 7.36780) -> {880680199=1614276967607984, 2087390487=41953859156552, 1689826712=173795985376, 289890178=173795985376, 597022555=173795985376}]
[1746761346(TR: 8.19412, TS: 7.37675) -> {880680199=1614276967607984, 2087390487=41953859156552, 1689826712=173795985376, 289890178=173795985376, 597022555=173795985376}]
[561194600(TR: 8.19475, TS: 7.39474) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[327372442(TR: 8.19480, TS: 7.36026) -> {880680199=1614276967607984, 2087390487=41953859156552, 1689826712=173795985376, 289890178=173795985376, 597022555=173795985376}]
[1669703402(TR: 8.19497, TS: 7.36736) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[1622107518(TR: 8.19507, TS: 7.39523) -> {880680199=1614276967607984, 2087390487=41953859156552, 1689826712=173795985376, 289890178=173795985376, 597022555=173795985376}]
[1482121061(TR: 8.19529, TS: 7.36578) -> {880680199=3382455019993106, 2087390487=87907493171788, 1689826712=364161239734, 289890178=364161239734, 597022555=364161239734}]
[1370045803(TR: 8.19594, TS: 7.37899) -> {880680199=2421415451411976, 2087390487=62930788734828, 1689826712=260693978064, 289890178=260693978064, 597022555=260693978064}]
[525693762(TR: 8.19603, TS: 7.36040) -> {880680199=4842830902823952, 2087390487=125861577469656, 1689826712=521387956128, 289890178=521387956128, 597022555=521387956128}]
[71983427(TR: 8.19606, TS: 7.38632) -> {880680199=4439261660921956, 2087390487=115373112680518, 1689826712=477938959784, 289890178=477938959784, 597022555=477938959784}]
[1711581912(TR: 8.19612, TS: 7.34818) -> {880680199=1210707725705988, 2087390487=31465394367414, 1689826712=130346989032, 289890178=130346989032, 597022555=130346989032}]
[2120122646(TR: 8.19613, TS: 7.35672) -> {880680199=4955999494642372, 2087390487=128802745097302, 1689826712=533571891419, 289890178=533571891419, 597022555=533571891419}]
[1243947772(TR: 8.19621, TS: 7.36184) -> {880680199=1614276967607984, 2087390487=41953859156552, 1689826712=173795985376, 289890178=173795985376, 597022555=173795985376}]
[498205314(TR: 8.19631, TS: 7.36161) -> {880680199=2824984693313972, 2087390487=73419253523966, 1689826712=304142974408, 289890178=304142974408, 597022555=304142974408}]
[1587755398(TR: 8.19648, TS: 7.41794) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[1417631093(TR: 8.19650, TS: 7.35504) -> {880680199=2421415451411976, 2087390487=62930788734828, 1689826712=260693978064, 289890178=260693978064, 597022555=260693978064}]
[934199236(TR: 8.19651, TS: 7.36303) -> {880680199=1614276967607984, 2087390487=41953859156552, 1689826712=173795985376, 289890178=173795985376, 597022555=173795985376}]
[981798305(TR: 8.19651, TS: 7.36642) -> {880680199=2421415451411976, 2087390487=62930788734828, 1689826712=260693978064, 289890178=260693978064, 597022555=260693978064}]
[2108521598(TR: 8.19661, TS: 7.36494) -> {880680199=5400301229503086, 2087390487=140349817117478, 1689826712=581406221454, 289890178=581406221454, 597022555=581406221454}]
[1398229571(TR: 8.19673, TS: 7.37734) -> {880680199=4593162745699094, 2087390487=119372887539202, 1689826712=494508228766, 289890178=494508228766, 597022555=494508228766}]
[289775474(TR: 8.19680, TS: 7.36744) -> {880680199=1210707725705988, 2087390487=31465394367414, 1689826712=130346989032, 289890178=130346989032, 597022555=130346989032}]
[54485246(TR: 8.19688, TS: 7.38012) -> {880680199=4736873252923178, 2087390487=123107816864285, 1689826712=509980363603, 289890178=509980363603, 597022555=509980363603}]
[367501931(TR: 8.19704, TS: 7.36248) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[2089543622(TR: 8.19717, TS: 7.36267) -> {880680199=3632123177117964, 2087390487=94396183102242, 1689826712=391040967096, 289890178=391040967096, 597022555=391040967096}]
[1099450666(TR: 8.19737, TS: 7.34986) -> {880680199=4996731987601090, 2087390487=129861352328340, 1689826712=537957225110, 289890178=537957225110, 597022555=537957225110}]
[961079669(TR: 8.19745, TS: 7.35714) -> {880680199=1614276967607984, 2087390487=41953859156552, 1689826712=173795985376, 289890178=173795985376, 597022555=173795985376}]
[286585037(TR: 8.19753, TS: 7.39176) -> {880680199=3228553935215968, 2087390487=83907718313104, 1689826712=347591970752, 289890178=347591970752, 597022555=347591970752}]
[839028990(TR: 8.19769, TS: 7.38375) -> {880680199=2017846209509980, 2087390487=52442323945690, 1689826712=217244981720, 289890178=217244981720, 597022555=217244981720}]
[834690701(TR: 8.19772, TS: 7.34329) -> {880680199=2824984693313972, 2087390487=73419253523966, 1689826712=304142974408, 289890178=304142974408, 597022555=304142974408}]
[1329400449(TR: 8.19777, TS: 7.35847) -> {880680199=2017846209509980, 2087390487=52442323945690, 1689826712=217244981720, 289890178=217244981720, 597022555=217244981720}]
[2031683891(TR: 8.19803, TS: 7.37239) -> {880680199=3228553935215968, 2087390487=83907718313104, 1689826712=347591970752, 289890178=347591970752, 597022555=347591970752}]
[1597698958(TR: 8.19804, TS: 7.33016) -> {880680199=2017846209509980, 2087390487=52442323945690, 1689826712=217244981720, 289890178=217244981720, 597022555=217244981720}]
[1824389842(TR: 8.19844, TS: 7.41917) -> {880680199=2824984693313972, 2087390487=73419253523966, 1689826712=304142974408, 289890178=304142974408, 597022555=304142974408}]
[1265863878(TR: 8.19845, TS: 7.34960) -> {880680199=3382455019993106, 2087390487=87907493171788, 1689826712=364161239734, 289890178=364161239734, 597022555=364161239734}]
[2048017418(TR: 8.19851, TS: 7.38659) -> {880680199=1614276967607984, 2087390487=41953859156552, 1689826712=173795985376, 289890178=173795985376, 597022555=173795985376}]
[1916563013(TR: 8.19860, TS: 7.35647) -> {880680199=3894678498294118, 2087390487=101219800850094, 1689826712=419308149182, 289890178=419308149182, 597022555=419308149182}]
[1901359546(TR: 8.19866, TS: 7.36286) -> {880680199=1614276967607984, 2087390487=41953859156552, 1689826712=173795985376, 289890178=173795985376, 597022555=173795985376}]
[647415530(TR: 8.19877, TS: 7.35051) -> {880680199=5544011736727170, 2087390487=144084746442561, 1689826712=596878356291, 289890178=596878356291, 597022555=596878356291}]
[1313661990(TR: 8.19893, TS: 7.38319) -> {880680199=3228553935215968, 2087390487=83907718313104, 1689826712=347591970752, 289890178=347591970752, 597022555=347591970752}]
[1595143660(TR: 8.19910, TS: 7.35886) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[228103701(TR: 8.19910, TS: 7.37597) -> {880680199=2824984693313972, 2087390487=73419253523966, 1689826712=304142974408, 289890178=304142974408, 597022555=304142974408}]
[497660122(TR: 8.19924, TS: 7.31656) -> {880680199=4333304011021182, 2087390487=112619352075147, 1689826712=466531367259, 289890178=466531367259, 597022555=466531367259}]
[879561373(TR: 8.19933, TS: 7.40941) -> {880680199=4189593503797098, 2087390487=108884422750064, 1689826712=451059232422, 289890178=451059232422, 597022555=451059232422}]
[1955673449(TR: 8.19935, TS: 7.36289) -> {880680199=807138483803992, 2087390487=20976929578276, 1689826712=86897992688, 289890178=86897992688, 597022555=86897992688}]
[1039154640(TR: 8.19937, TS: 7.36180) -> {880680199=6611008955209074, 2087390487=171815211484892, 1689826712=711753210486, 289890178=711753210486, 597022555=711753210486}]
[1838114260(TR: 8.19951, TS: 7.36341) -> {880680199=4035692419019960, 2087390487=104884647891380, 1689826712=434489963440, 289890178=434489963440, 597022555=434489963440}]
[829072154(TR: 8.19985, TS: 7.37179) -> {880680199=6362338621922262, 2087390487=165352454257532, 1689826712=684980911509, 289890178=684980911509, 597022555=684980911509}]
[1278075427(TR: 8.19987, TS: 7.36458) -> {880680199=3228553935215968, 2087390487=83907718313104, 1689826712=347591970752, 289890178=347591970752, 597022555=347591970752}]
[1880049867(TR: 8.20027, TS: 7.35387) -> {880680199=3750936062327126, 2087390487=97484041723158, 1689826712=403832577574, 289890178=403832577574, 597022555=403832577574}]
