[453825363(TR: 10.50145, TS: 10.10371) -> {880680199=546, 2087390487=14}]
[129281513(TR: 10.50560, TS: 10.06474) -> {880680199=546, 2087390487=14}]
[127166584(TR: 10.50769, TS: 10.04876) -> {880680199=1092, 2087390487=28}]
[1670968720(TR: 10.50833, TS: 9.95361) -> {880680199=546, 2087390487=14}]
[510866683(TR: 10.51695, TS: 10.03040) -> {880680199=546, 2087390487=14}]
[1007294777(TR: 10.51719, TS: 10.03312) -> {880680199=546, 2087390487=14}]
[418996584(TR: 10.51787, TS: 10.06041) -> {880680199=546, 2087390487=14}]
[1021911954(TR: 10.51857, TS: 10.05351) -> {880680199=546, 2087390487=14}]
[1747630418(TR: 10.52184, TS: 10.05657) -> {880680199=546, 2087390487=14}]
[993664024(TR: 10.52233, TS: 10.04865) -> {880680199=546, 2087390487=14}]
[1469385111(TR: 10.52283, TS: 10.05752) -> {880680199=546, 2087390487=14}]
[78958636(TR: 10.52465, TS: 10.06734) -> {880680199=546, 2087390487=14}]
[1899267739(TR: 10.52518, TS: 10.06654) -> {880680199=1638, 2087390487=42}]
[436575865(TR: 10.52644, TS: 9.97379) -> {880680199=546, 2087390487=14}]
[1696855327(TR: 10.52692, TS: 10.03655) -> {880680199=5430, 2087390487=140}]
[1194617895(TR: 10.52780, TS: 10.04610) -> {880680199=1092, 2087390487=28}]
[308357636(TR: 10.52851, TS: 10.04019) -> {880680199=2730, 2087390487=70}]
[614570087(TR: 10.52927, TS: 10.05855) -> {880680199=1638, 2087390487=42}]
[1590692577(TR: 10.52976, TS: 10.03863) -> {880680199=5430, 2087390487=140}]
[987824200(TR: 10.52979, TS: 10.03764) -> {880680199=1638, 2087390487=42}]
[558578714(TR: 10.53008, TS: 9.99445) -> {880680199=1638, 2087390487=42}]
[159509236(TR: 10.53029, TS: 10.04194) -> {880680199=5430, 2087390487=140}]
[1473801767(TR: 10.53046, TS: 10.07570) -> {880680199=1638, 2087390487=42}]
[1695143892(TR: 10.53056, TS: 10.09951) -> {880680199=546, 2087390487=14}]
[492473475(TR: 10.53159, TS: 10.06576) -> {880680199=8082, 2087390487=208}]
[462033814(TR: 10.53387, TS: 10.03866) -> {880680199=546, 2087390487=14}]
[255324054(TR: 10.53397, TS: 10.01182) -> {880680199=546, 2087390487=14}]
[606809811(TR: 10.53551, TS: 10.05876) -> {880680199=1092, 2087390487=28}]
[1843171393(TR: 10.53576, TS: 10.05284) -> {880680199=1092, 2087390487=28}]
[645998799(TR: 10.53599, TS: 10.04622) -> {880680199=7364, 2087390487=192, 1689826712=1, 289890178=1, 597022555=1}]
[377108694(TR: 10.53653, TS: 10.04510) -> {880680199=7950, 2087390487=205}]
[1809498492(TR: 10.53687, TS: 10.03677) -> {880680199=1638, 2087390487=42}]
[1645021918(TR: 10.53740, TS: 10.07335) -> {880680199=1638, 2087390487=42}]
[1306886400(TR: 10.53872, TS: 10.08220) -> {880680199=4836, 2087390487=124}]
[169782498(TR: 10.53942, TS: 10.13865) -> {880680199=546, 2087390487=14}]
[930237948(TR: 10.53996, TS: 10.07101) -> {880680199=1638, 2087390487=42}]
[1034152502(TR: 10.54094, TS: 10.11551) -> {880680199=546, 2087390487=14}]
[1555009795(TR: 10.54120, TS: 10.09463) -> {880680199=546, 2087390487=14}]
[598302664(TR: 10.54163, TS: 10.10111) -> {880680199=546, 2087390487=14}]
[101837804(TR: 10.54176, TS: 10.02088) -> {880680199=546, 2087390487=14}]
[608260930(TR: 10.54271, TS: 10.13207) -> {880680199=546, 2087390487=14}]
[71760192(TR: 10.54409, TS: 10.13303) -> {880680199=1092, 2087390487=28}]
