[1709228339(TR: 8.72082, TS: 7.92257) -> {880680199=79025800898, 2087390487=2053821929, 1689826712=8508082, 289890178=8508082, 597022555=8508082}]
[1241059530(TR: 8.72753, TS: 7.90118) -> {880680199=79025800898, 2087390487=2053821929, 1689826712=8508082, 289890178=8508082, 597022555=8508082}]
[1412458938(TR: 8.72927, TS: 7.91340) -> {880680199=90911055788, 2087390487=2362710850, 1689826712=9787663, 289890178=9787663, 597022555=9787663}]
[185561778(TR: 8.72942, TS: 8.05450) -> {880680199=90911055788, 2087390487=2362710850, 1689826712=9787663, 289890178=9787663, 597022555=9787663}]
[1745208249(TR: 8.73231, TS: 7.95048) -> {880680199=126566820458, 2087390487=3289377613, 1689826712=13626406, 289890178=13626406, 597022555=13626406}]
[1778114867(TR: 8.73367, TS: 8.02445) -> {880680199=11885254890, 2087390487=308888921, 1689826712=1279581, 289890178=1279581, 597022555=1279581}]
[1939319899(TR: 8.73367, TS: 8.02445) -> {880680199=11885254890, 2087390487=308888921, 1689826712=1279581, 289890178=1279581, 597022555=1279581}]
[1045506063(TR: 8.73398, TS: 7.97324) -> {880680199=90911055788, 2087390487=2362710850, 1689826712=9787663, 289890178=9787663, 597022555=9787663}]
[1320896405(TR: 8.73447, TS: 8.00427) -> {880680199=90911055788, 2087390487=2362710850, 1689826712=9787663, 289890178=9787663, 597022555=9787663}]
[140856816(TR: 8.73555, TS: 8.04984) -> {880680199=35655764670, 2087390487=926666763, 1689826712=3838743, 289890178=3838743, 597022555=3838743}]
[1042401206(TR: 8.73560, TS: 7.90992) -> {880680199=90911055788, 2087390487=2362710850, 1689826712=9787663, 289890178=9787663, 597022555=9787663}]
[151490861(TR: 8.73612, TS: 7.95003) -> {880680199=35655764670, 2087390487=926666763, 1689826712=3838743, 289890178=3838743, 597022555=3838743}]
[496298103(TR: 8.73618, TS: 7.93580) -> {880680199=35655764670, 2087390487=926666763, 1689826712=3838743, 289890178=3838743, 597022555=3838743}]
[1069300984(TR: 8.73634, TS: 8.08022) -> {880680199=163635843026, 2087390487=4252773918, 1689826712=17617309, 289890178=17617309, 597022555=17617309}]
[252723406(TR: 8.73636, TS: 8.06325) -> {880680199=79025800898, 2087390487=2053821929, 1689826712=8508082, 289890178=8508082, 597022555=8508082}]
[975910648(TR: 8.73668, TS: 8.09166) -> {880680199=11885254890, 2087390487=308888921, 1689826712=1279581, 289890178=1279581, 597022555=1279581}]
[13018778(TR: 8.73673, TS: 8.07577) -> {880680199=114681565568, 2087390487=2980488692, 1689826712=12346825, 289890178=12346825, 597022555=12346825}]
[1589842310(TR: 8.73673, TS: 8.07266) -> {880680199=90911055788, 2087390487=2362710850, 1689826712=9787663, 289890178=9787663, 597022555=9787663}]
[1398287520(TR: 8.73674, TS: 8.04634) -> {880680199=398869803524, 2087390487=10366330113, 1689826712=42943117, 289890178=42943117, 597022555=42943117}]
[807881925(TR: 8.73725, TS: 7.95973) -> {880680199=11885254890, 2087390487=308888921, 1689826712=1279581, 289890178=1279581, 597022555=1279581}]
[90234413(TR: 8.73790, TS: 8.04050) -> {880680199=35655764670, 2087390487=926666763, 1689826712=3838743, 289890178=3838743, 597022555=3838743}]
[1139388454(TR: 8.73812, TS: 8.06605) -> {880680199=169936856686, 2087390487=4416532779, 1689826712=18295745, 289890178=18295745, 597022555=18295745}]
[1363589591(TR: 8.73819, TS: 7.98235) -> {880680199=146166346906, 2087390487=3798754937, 1689826712=15736583, 289890178=15736583, 597022555=15736583}]
[1536005726(TR: 8.73837, TS: 8.03520) -> {880680199=126566820458, 2087390487=3289377613, 1689826712=13626406, 289890178=13626406, 597022555=13626406}]
[1478470324(TR: 8.73848, TS: 8.00985) -> {880680199=79025800898, 2087390487=2053821929, 1689826712=8508082, 289890178=8508082, 597022555=8508082}]
[1459181841(TR: 8.73848, TS: 8.05200) -> {880680199=59426274450, 2087390487=1544444605, 1689826712=6397905, 289890178=6397905, 597022555=6397905}]
[840292888(TR: 8.73893, TS: 8.06069) -> {880680199=102796310678, 2087390487=2671599771, 1689826712=11067244, 289890178=11067244, 597022555=11067244}]
[94209378(TR: 8.73894, TS: 8.05427) -> {880680199=227729676032, 2087390487=5918525150, 1689826712=24517807, 289890178=24517807, 597022555=24517807}]
[552785263(TR: 8.73897, TS: 8.04502) -> {880680199=223062117476, 2087390487=5797218523, 1689826712=24015214, 289890178=24015214, 597022555=24015214}]
[1012867505(TR: 8.73929, TS: 8.16704) -> {880680199=67140546008, 2087390487=1744933008, 1689826712=7228501, 289890178=7228501, 597022555=7228501}]
[537327928(TR: 8.73930, TS: 8.07800) -> {880680199=11885254890, 2087390487=308888921, 1689826712=1279581, 289890178=1279581, 597022555=1279581}]
[1239011023(TR: 8.73949, TS: 8.01427) -> {880680199=71311529340, 2087390487=1853333526, 1689826712=7677486, 289890178=7677486, 597022555=7677486}]
[2142642998(TR: 8.73963, TS: 7.98600) -> {880680199=90911055788, 2087390487=2362710850, 1689826712=9787663, 289890178=9787663, 597022555=9787663}]
[975292376(TR: 8.73979, TS: 8.01696) -> {880680199=102796310678, 2087390487=2671599771, 1689826712=11067244, 289890178=11067244, 597022555=11067244}]
[762918557(TR: 8.74000, TS: 8.04312) -> {880680199=126566820458, 2087390487=3289377613, 1689826712=13626406, 289890178=13626406, 597022555=13626406}]
[718355019(TR: 8.74019, TS: 8.00174) -> {880680199=114681565568, 2087390487=2980488692, 1689826712=12346825, 289890178=12346825, 597022555=12346825}]
[1680872372(TR: 8.74032, TS: 8.02902) -> {880680199=59426274450, 2087390487=1544444605, 1689826712=6397905, 289890178=6397905, 597022555=6397905}]
[1343952877(TR: 8.74040, TS: 8.02472) -> {880680199=136818620244, 2087390487=3555814300, 1689826712=14730144, 289890178=14730144, 597022555=14730144}]
[884088493(TR: 8.74045, TS: 8.00181) -> {880680199=217477876246, 2087390487=5652088463, 1689826712=23414069, 289890178=23414069, 597022555=23414069}]
[395471122(TR: 8.74056, TS: 8.01828) -> {880680199=169936856686, 2087390487=4416532779, 1689826712=18295745, 289890178=18295745, 597022555=18295745}]
[1935369703(TR: 8.74096, TS: 7.93081) -> {880680199=251714788880, 2087390487=6541880685, 1689826712=27100165, 289890178=27100165, 597022555=27100165}]
[2079825950(TR: 8.74097, TS: 8.05713) -> {880680199=181822111576, 2087390487=4725421700, 1689826712=19575326, 289890178=19575326, 597022555=19575326}]
[1603571387(TR: 8.74114, TS: 8.02280) -> {880680199=126566820458, 2087390487=3289377613, 1689826712=13626406, 289890178=13626406, 597022555=13626406}]
[1531623074(TR: 8.74127, TS: 7.99939) -> {880680199=90911055788, 2087390487=2362710850, 1689826712=9787663, 289890178=9787663, 597022555=9787663}]
[1930855537(TR: 8.74142, TS: 8.03866) -> {880680199=35655764670, 2087390487=926666763, 1689826712=3838743, 289890178=3838743, 597022555=3838743}]
[900152669(TR: 8.74151, TS: 8.00517) -> {880680199=146166346906, 2087390487=3798754937, 1689826712=15736583, 289890178=15736583, 597022555=15736583}]
[1312660484(TR: 8.74187, TS: 8.00820) -> {880680199=215844421142, 2087390487=5609636229, 1689826712=23238226, 289890178=23238226, 597022555=23238226}]
[1078779079(TR: 8.74200, TS: 8.05728) -> {880680199=136818620244, 2087390487=3555814300, 1689826712=14730144, 289890178=14730144, 597022555=14730144}]
[121564595(TR: 8.74202, TS: 8.02976) -> {880680199=126566820458, 2087390487=3289377613, 1689826712=13626406, 289890178=13626406, 597022555=13626406}]
[201291228(TR: 8.74229, TS: 8.06690) -> {880680199=114681565568, 2087390487=2980488692, 1689826712=12346825, 289890178=12346825, 597022555=12346825}]
[687867163(TR: 8.74251, TS: 8.06246) -> {880680199=102796310678, 2087390487=2671599771, 1689826712=11067244, 289890178=11067244, 597022555=11067244}]
[260857368(TR: 8.74256, TS: 8.04678) -> {880680199=327988458482, 2087390487=8524176637, 1689826712=35311909, 289890178=35311909, 597022555=35311909}]
[2133813551(TR: 8.74282, TS: 8.03678) -> {880680199=282780820562, 2087390487=7349263613, 1689826712=30444745, 289890178=30444745, 597022555=30444745}]
[252617347(TR: 8.74292, TS: 7.94191) -> {880680199=259010310782, 2087390487=6731485771, 1689826712=27885583, 289890178=27885583, 597022555=27885583}]
[646928036(TR: 8.74297, TS: 8.13963) -> {880680199=102796310678, 2087390487=2671599771, 1689826712=11067244, 289890178=11067244, 597022555=11067244}]
[1260298483(TR: 8.74301, TS: 8.03784) -> {880680199=359567915836, 2087390487=9344903208, 1689826712=38711789, 289890178=38711789, 597022555=38711789}]
[1333583534(TR: 8.74317, TS: 8.02092) -> {880680199=114681565568, 2087390487=2980488692, 1689826712=12346825, 289890178=12346825, 597022555=12346825}]
[891058040(TR: 8.74331, TS: 8.03958) -> {880680199=268656860048, 2087390487=6982192358, 1689826712=28924126, 289890178=28924126, 597022555=28924126}]
[1778007305(TR: 8.74341, TS: 8.04391) -> {880680199=507483028922, 2087390487=13189107411, 1689826712=54636688, 289890178=54636688, 597022555=54636688}]
[1465713149(TR: 8.74345, TS: 8.04079) -> {880680199=126566820458, 2087390487=3289377613, 1689826712=13626406, 289890178=13626406, 597022555=13626406}]
[2122132502(TR: 8.74383, TS: 8.03461) -> {880680199=102796310678, 2087390487=2671599771, 1689826712=11067244, 289890178=11067244, 597022555=11067244}]
[671884054(TR: 8.74392, TS: 8.04988) -> {880680199=35655764670, 2087390487=926666763, 1689826712=3838743, 289890178=3838743, 597022555=3838743}]
[270942571(TR: 8.74397, TS: 7.99149) -> {880680199=175521097916, 2087390487=4561662839, 1689826712=18896890, 289890178=18896890, 597022555=18896890}]
[801896571(TR: 8.74398, TS: 8.10584) -> {880680199=192073911362, 2087390487=4991858387, 1689826712=20679064, 289890178=20679064, 597022555=20679064}]
[952200200(TR: 8.74413, TS: 8.00307) -> {880680199=151750588136, 2087390487=3943884997, 1689826712=16337728, 289890178=16337728, 597022555=16337728}]
[1906113685(TR: 8.74414, TS: 7.93372) -> {880680199=23770509780, 2087390487=617777842, 1689826712=2559162, 289890178=2559162, 597022555=2559162}]
[1402197716(TR: 8.74418, TS: 7.99509) -> {880680199=126566820458, 2087390487=3289377613, 1689826712=13626406, 289890178=13626406, 597022555=13626406}]
[594273533(TR: 8.74452, TS: 8.04799) -> {880680199=90911055788, 2087390487=2362710850, 1689826712=9787663, 289890178=9787663, 597022555=9787663}]
[276393396(TR: 8.74453, TS: 8.05123) -> {880680199=35655764670, 2087390487=926666763, 1689826712=3838743, 289890178=3838743, 597022555=3838743}]
[102191994(TR: 8.74456, TS: 8.04433) -> {880680199=11885254890, 2087390487=308888921, 1689826712=1279581, 289890178=1279581, 597022555=1279581}]
