[1732710710(TR: 9.93087, TS: 9.54330) -> {880680199=130366, 2087390487=3388, 1689826712=14, 289890178=14, 597022555=14}]
[108737271(TR: 9.95095, TS: 9.50814) -> {880680199=61922, 2087390487=1610, 1689826712=7, 289890178=7, 597022555=7}]
[1946282631(TR: 9.97204, TS: 9.57368) -> {880680199=61922, 2087390487=1610, 1689826712=7, 289890178=7, 597022555=7}]
[45270082(TR: 9.97346, TS: 9.53325) -> {880680199=68444, 2087390487=1778, 1689826712=7, 289890178=7, 597022555=7}]
[1518705542(TR: 9.97467, TS: 9.54107) -> {880680199=68444, 2087390487=1778, 1689826712=7, 289890178=7, 597022555=7}]
[1571007363(TR: 9.97959, TS: 9.54529) -> {880680199=170446, 2087390487=4426, 1689826712=17, 289890178=17, 597022555=17}]
[34657866(TR: 9.97991, TS: 9.55098) -> {880680199=457648, 2087390487=11889, 1689826712=47, 289890178=47, 597022555=47}]
[2034123101(TR: 9.98211, TS: 9.54736) -> {880680199=264524, 2087390487=6874, 1689826712=28, 289890178=28, 597022555=28}]
[1832524524(TR: 9.98413, TS: 9.59914) -> {880680199=130366, 2087390487=3388, 1689826712=14, 289890178=14, 597022555=14}]
[755325819(TR: 9.98528, TS: 9.63139) -> {880680199=61922, 2087390487=1610, 1689826712=7, 289890178=7, 597022555=7}]
[698575383(TR: 9.98536, TS: 9.60530) -> {880680199=130366, 2087390487=3388, 1689826712=14, 289890178=14, 597022555=14}]
[580707031(TR: 9.98541, TS: 9.63271) -> {880680199=61922, 2087390487=1610, 1689826712=7, 289890178=7, 597022555=7}]
[533487890(TR: 9.98563, TS: 9.63056) -> {880680199=61922, 2087390487=1610, 1689826712=7, 289890178=7, 597022555=7}]
[412434195(TR: 9.98622, TS: 9.55616) -> {880680199=194722, 2087390487=5058, 1689826712=20, 289890178=20, 597022555=20}]
[718540228(TR: 9.98708, TS: 9.62683) -> {880680199=293494, 2087390487=7628, 1689826712=32, 289890178=32, 597022555=32}]
[1864095763(TR: 9.98744, TS: 9.49158) -> {880680199=273306, 2087390487=7104, 1689826712=30, 289890178=30, 597022555=30}]
[329506835(TR: 9.98793, TS: 9.62054) -> {880680199=279002, 2087390487=7254, 1689826712=31, 289890178=31, 597022555=31}]
[587147475(TR: 9.98828, TS: 9.57549) -> {880680199=46648, 2087390487=1212, 1689826712=5, 289890178=5, 597022555=5}]
[684702565(TR: 9.98853, TS: 9.57156) -> {880680199=177014, 2087390487=4600, 1689826712=19, 289890178=19, 597022555=19}]
[430257455(TR: 9.98856, TS: 9.47879) -> {880680199=177014, 2087390487=4600, 1689826712=19, 289890178=19, 597022555=19}]
[353037680(TR: 9.98857, TS: 9.58419) -> {880680199=134158, 2087390487=3486, 1689826712=14, 289890178=14, 597022555=14}]
[1315497650(TR: 9.98890, TS: 9.78686) -> {880680199=130366, 2087390487=3388, 1689826712=14, 289890178=14, 597022555=14}]
[464091273(TR: 9.98899, TS: 9.58188) -> {880680199=300016, 2087390487=7796, 1689826712=32, 289890178=32, 597022555=32}]
[731200158(TR: 9.98910, TS: 9.57496) -> {880680199=115092, 2087390487=2990, 1689826712=12, 289890178=12, 597022555=12}]
[1773548529(TR: 9.98913, TS: 9.52706) -> {880680199=456556, 2087390487=11861, 1689826712=47, 289890178=47, 597022555=47}]
[1617040643(TR: 9.98918, TS: 9.50827) -> {880680199=108570, 2087390487=2822, 1689826712=12, 289890178=12, 597022555=12}]
[811553974(TR: 9.98941, TS: 9.54830) -> {880680199=268316, 2087390487=6972, 1689826712=28, 289890178=28, 597022555=28}]
[849136105(TR: 9.98995, TS: 9.62642) -> {880680199=251154, 2087390487=6528, 1689826712=27, 289890178=27, 597022555=27}]
[1785552368(TR: 9.99073, TS: 9.46358) -> {880680199=179138, 2087390487=4656, 1689826712=19, 289890178=19, 597022555=19}]
[441943987(TR: 9.99114, TS: 9.60497) -> {880680199=258884, 2087390487=6729, 1689826712=28, 289890178=28, 597022555=28}]
[1357355691(TR: 9.99118, TS: 9.56590) -> {880680199=46648, 2087390487=1212, 1689826712=5, 289890178=5, 597022555=5}]
[81838815(TR: 9.99243, TS: 9.57427) -> {880680199=46648, 2087390487=1212, 1689826712=5, 289890178=5, 597022555=5}]
[81956206(TR: 9.99246, TS: 9.51280) -> {880680199=338468, 2087390487=8791, 1689826712=34, 289890178=34, 597022555=34}]
[573503582(TR: 9.99377, TS: 9.57188) -> {880680199=46648, 2087390487=1212, 1689826712=5, 289890178=5, 597022555=5}]
[1315970162(TR: 9.99449, TS: 9.58132) -> {880680199=297802, 2087390487=7740, 1689826712=32, 289890178=32, 597022555=32}]
[1275382105(TR: 9.99457, TS: 9.49655) -> {880680199=46648, 2087390487=1212, 1689826712=5, 289890178=5, 597022555=5}]
[1553839178(TR: 9.99497, TS: 9.44443) -> {880680199=177234, 2087390487=4604, 1689826712=18, 289890178=18, 597022555=18}]
[161766287(TR: 9.99571, TS: 9.55441) -> {880680199=130366, 2087390487=3388, 1689826712=14, 289890178=14, 597022555=14}]
