[1822529243(TR: 9.55054, TS: 9.15008) -> {880680199=9120692, 2087390487=237040, 1689826712=982, 289890178=982, 597022555=982}]
[238287972(TR: 9.55057, TS: 9.13123) -> {880680199=25377366, 2087390487=659542, 1689826712=2733, 289890178=2733, 597022555=2733}]
[283969209(TR: 9.55077, TS: 9.11746) -> {880680199=18616026, 2087390487=483818, 1689826712=2004, 289890178=2004, 597022555=2004}]
[85217699(TR: 9.55087, TS: 9.03127) -> {880680199=63308284, 2087390487=1645320, 1689826712=6809, 289890178=6809, 597022555=6809}]
[1709377684(TR: 9.55092, TS: 9.14143) -> {880680199=30718004, 2087390487=798338, 1689826712=3307, 289890178=3307, 597022555=3307}]
[1956780176(TR: 9.55095, TS: 9.11255) -> {880680199=38821446, 2087390487=1008938, 1689826712=4179, 289890178=4179, 597022555=4179}]
[201457779(TR: 9.55099, TS: 9.10893) -> {880680199=36521166, 2087390487=949162, 1689826712=3933, 289890178=3933, 597022555=3933}]
[725405977(TR: 9.55103, TS: 9.09574) -> {880680199=16813054, 2087390487=436962, 1689826712=1811, 289890178=1811, 597022555=1811}]
[1449577282(TR: 9.55109, TS: 9.11880) -> {880680199=9184442, 2087390487=238696, 1689826712=988, 289890178=988, 597022555=988}]
[845430662(TR: 9.55109, TS: 9.14637) -> {880680199=15346326, 2087390487=398842, 1689826712=1653, 289890178=1653, 597022555=1653}]
[779722785(TR: 9.55121, TS: 9.18192) -> {880680199=8848198, 2087390487=229960, 1689826712=953, 289890178=953, 597022555=953}]
[1669335278(TR: 9.55124, TS: 9.11177) -> {880680199=31403538, 2087390487=816158, 1689826712=3381, 289890178=3381, 597022555=3381}]
[64807687(TR: 9.55126, TS: 9.09499) -> {880680199=12054148, 2087390487=313280, 1689826712=1298, 289890178=1298, 597022555=1298}]
[274167029(TR: 9.55126, TS: 9.08440) -> {880680199=37740752, 2087390487=980856, 1689826712=4063, 289890178=4063, 597022555=4063}]
[1942791798(TR: 9.55127, TS: 9.09803) -> {880680199=10257698, 2087390487=266592, 1689826712=1105, 289890178=1105, 597022555=1105}]
[275253145(TR: 9.55132, TS: 9.10769) -> {880680199=43060490, 2087390487=1119103, 1689826712=4633, 289890178=4633, 597022555=4633}]
[1950878280(TR: 9.55135, TS: 9.06036) -> {880680199=17260878, 2087390487=448594, 1689826712=1857, 289890178=1857, 597022555=1857}]
[1595091176(TR: 9.55138, TS: 9.10929) -> {880680199=12054148, 2087390487=313280, 1689826712=1298, 289890178=1298, 597022555=1298}]
[1232788074(TR: 9.55146, TS: 9.05696) -> {880680199=15682570, 2087390487=407578, 1689826712=1688, 289890178=1688, 597022555=1688}]
[436094995(TR: 9.55157, TS: 9.10377) -> {880680199=30461354, 2087390487=791663, 1689826712=3277, 289890178=3277, 597022555=3277}]
[768609070(TR: 9.55167, TS: 9.08675) -> {880680199=24467018, 2087390487=635882, 1689826712=2635, 289890178=2635, 597022555=2635}]
[1807884820(TR: 9.55168, TS: 9.09184) -> {880680199=21908204, 2087390487=569380, 1689826712=2359, 289890178=2359, 597022555=2359}]
[1962155148(TR: 9.55172, TS: 9.15670) -> {880680199=25798140, 2087390487=670478, 1689826712=2778, 289890178=2778, 597022555=2778}]
[522288337(TR: 9.55173, TS: 9.08716) -> {880680199=8425726, 2087390487=218982, 1689826712=908, 289890178=908, 597022555=908}]
[847613280(TR: 9.55192, TS: 9.11507) -> {880680199=8425726, 2087390487=218982, 1689826712=908, 289890178=908, 597022555=908}]
[1219353510(TR: 9.55202, TS: 9.13617) -> {880680199=733364, 2087390487=19060, 1689826712=79, 289890178=79, 597022555=79}]
[476687939(TR: 9.55210, TS: 9.14777) -> {880680199=30388282, 2087390487=789770, 1689826712=3272, 289890178=3272, 597022555=3272}]
